agenda_id,etiqueta,id,fecha,monto,cantidad_personas,estado_disponibilidad,puntos,correr_empleado,lugar_origen,lugar_llegada,capacidad,tiempo_estimado,precio_asiento,empresa,fecha_salida,fecha_llegada,tipo_bus,comodidades,escalas,clase,paradas,nombre_hospedaje,ubicacion,precio_noche,estrellas,fecha_checkin,fecha_checkout,politicas,nombre_anfitrion,contacto_anfitrion,descripcion_airbnb,piezas,camas,banos,nombre_panorama,duracion,precio_persona,restricciones,fecha_panorama
58310,Salida con Familia,78432,2025-06-29,-1974000,6,No disponible,282,,,,,,,,,,,"{Comida,""Servicio a la habitación"",""Asientos reclinables"",Wifi,Piscina}",{},,{},Six Senses Hotels Resorts Spas,Toledo,47000,4,2025-08-11,2025-08-18,"{""No se permiten mascotas"",""Check-out antes de las 11 AM"",""Silencio después de las 10 PM""}",,,,,,,,,,{},
58310,Salida con Familia,78433,2025-05-15,54000,6,No disponible,54,,,,44,,,Kuoni,,,,{},{},,{},,Toledo,,,,,{},,,Relájate en la playa,,,,Aventura,3,9000,{},2025-08-12
58310,Salida con Familia,78434,2025-02-02,,,No disponible,564,,,,45,,,Abercrombie & Kent,,,,,{},,{},,Toledo,,,,,{},,,Relájate en la playa,,,,Aventura,5,94000,,2025-08-13
58310,Salida con Familia,78435,2025-06-27,492000,6,No disponible,492,,,,,,,Globus,,,,{},{},,{},,Toledo,,,,,{},,,Aventúrate en la montaña,,,,Excursión,1,82000,{},2025-08-14
58310,Salida con Familia,78436,2025-03-20,258000,6,No disponible,258,,,,17,,,National Geographic Expeditions,,,,{},{},,{},,Toledo,,,,,{},,,Descubre la gastronomía local,,,,Excursión,6,43000,{},2025-08-15
58310,Salida con Familia,78437,2025-02-01,372000,6,No disponible,372,,,,39,,,Hays Travel,,,,{},{},,{},,Toledo,,,,,{},,,Disfruta de un día en la naturaleza,,,,Aventura,4,62000,,2025-08-16
58310,Salida con Familia,78438,2025-03-28,390000,6,No disponible,390,,,,2,,,Intrepid Travel,,,,{},{},,{},,Toledo,,,,,{},,,,,,,Tour,4,65000,{},2025-08-17
58310,Salida con Familia,78439,2025-08-04,888000,6,No disponible,888,Doloresroybal738@viajes.cl,Toledo,El Prat de LLobregat,93,3443,148000,ZFBH (Bosnia y Herzegovina),2025-08-18,2025-08-20,,"{""Asientos reclinables"",Baño,Comida,TV,Wifi,Calefacción}",{},,{},,,,,,,{},,,,,,,,,,{},
58310,Salida con Familia,78440,2025-01-15,732000,6,No disponible,732,jaime4680549@viajes.cl,El Prat de LLobregat,Parla,7,1369,-122000,VRZ (Croacia),2025-08-20,2025-08-20,,"{Calefacción,Comida,Baño}",{},,"{""Roquetas de Mar"",Málaga,Córdoba}",,,,,,,{},,,,,,,,,,{},
65218,Salida con Familia,78441,2026-02-07,560000,4,No disponible,560,sra.8471206@viajes.cl,Ponferrada,Torrevieja,82,,140000,Eurostar,2026-04-15,2026-04-15,,{},{},,"{Segovia,Logroño,""Alcalá de Guadaira"",""Dos Hermanas"",""Palma de Mallorca""}",,,,,,,{},,,,,,,,,,{},
65218,Salida con Familia,78442,2025-01-10,505000,4,No disponible,,,,,,,,,,,,"{Piscina,""Aire acondicionado"",Jacuzzi,Spa,Balcón}",{},,{},Habitación en Torrevieja,Torrevieja,,5,2026-04-15,,{},,+56 9 7562 8459,Aventúrate en la naturaleza y descansa en un lugar cómodo,6,5,3,,,,,
65218,Salida con Familia,78443,2025-10-07,160000,4,No disponible,160,,,,5,,,Trafalgar,,,,{},,,{},,Torrevieja,,,,,{},,,Aventúrate en la montaña,,,,Tour,4,40000,{},2026-04-16
65218,Salida con Familia,78444,2026-03-01,380000,4,,380,,,,7,,,CWT,,,,{},{},,{},,Torrevieja,,,,,{},,,Disfruta de un día en la naturaleza,,,,Paseo,3,95000,{},2026-04-17
65218,Salida con Familia,78445,2025-03-26,368000,4,No disponible,368,,,,39,,,Gray Line,,,,{},,,{},,Torrevieja,,,,,{},,,Disfruta de un día en la naturaleza,,,,Aventura,2,92000,{},2026-04-18
65218,Salida con Familia,78446,2025-01-24,,4,No disponible,320,,,,33,,,EF Tours,,,,{},{},,{},,Torrevieja,,,,,{},,,Conoce la historia de la ciudad,,,,Visita,7,80000,{},2026-04-19
56422,Salida con Amigos,78447,2025-03-16,,8,No disponible,1512,,Telde,Badajoz,37,733,189000,ETN Turistar,2026-02-25,2026-02-25,Cama,,{},,{},,,,,,,{},,,,,,,,,,,
56422,Salida con Amigos,78448,2025-07-20,1232000,8,No disponible,176,,,,,,,,,,,"{""Asientos reclinables"",Comida,Agua,""Servicio a la habitación"",Wifi}",{},,{},Best Western Hotels & Resorts,Badajoz,22000,1,2026-02-25,2026-03-04,"{""No se permiten mascotas"",""No se permiten fiestas"",""No se permite fumar""}",,,,,,,,,,{},
56422,Salida con Amigos,78449,2025-01-17,272000,8,No disponible,272,,,,31,,,Intrepid Travel,,,,{},{},,{},,Badajoz,,,,,{},,,,,,,Tour,6,,,2026-02-26
56422,Salida con Amigos,78450,2025-01-31,584000,8,,584,,,,39,,,Hays Travel,,,,{},{},,{},,Badajoz,,,,,{},,,Aventúrate en la montaña,,,,Aventura,4,73000,{},2026-02-27
56422,Salida con Amigos,78455,2025-10-12,1008000,8,No disponible,1008,,Badajoz,Huelva,34,4042,126000,ETN Turistar,2026-03-04,2026-03-06,Cama,"{Calefacción,Wifi,TV}",{},,{},,,,,,,{},,,,,,,,,,{},
56422,Salida con Amigos,78456,2025-02-15,3480000,8,,696,,,,,,,,,,,"{Agua,""Servicio a la habitación"",Gimnasio,Piscina,Spa}",{},,{},Caesars Entertainment,Huelva,87000,2,2026-03-06,2026-03-11,"{""Check-out antes de las 11 AM"",""No se permiten visitas"",""Check-in después de las 3 PM""}",,,,,,,,,,{},
56422,Salida con Amigos,78457,2026-02-20,128000,8,No disponible,128,,,,3,,,Gray Line,,,,{},{},,{},,Huelva,,,,,,,,Aventúrate en la montaña,,,,Aventura,4,16000,{},2026-03-07
56422,Salida con Amigos,78458,2026-02-08,-432000,8,No disponible,432,,,,31,,,Travel Leaders Group,,,,{},{},,{},,Huelva,,,,,{},,,Relájate en la playa,,,,Tour,3,54000,{},2026-03-08
56422,Salida con Amigos,78459,2025-10-18,520000,8,No disponible,520,,,,17,,,EF Tours,,,,{},{},,{},,Huelva,,,,,{},,,Disfruta de un día en la naturaleza,,,,Aventura,1,65000,{},2026-03-09
56422,Salida con Amigos,78460,2025-01-31,776000,8,No disponible,776,,,,20,,,Travel Leaders Group,,,,{},{},,,,Huelva,,,,,{},,,Disfruta de un día en la naturaleza,,,,Visita,2,97000,{},2026-03-10
58690,Salida con Amigos,78461,2025-11-15,520000,2,No disponible,520,ocfoco566@viajes.cl,Telde,Sabadell,42,3542,,Turkish Airlines,2026-03-01,2026-03-03,,{},{Burgos},Clase ejecutiva,{},,,,,,,{},,,,,,,,,,{},
58690,Salida con Amigos,78462,2025-10-25,190000,2,No disponible,,irjavá534@viajes.cl,Sabadell,Murcia,64,2432,,Alaska Airlines,,2026-03-04,,{},"{Linares,""Ciudad Real""}",Clase ejecutiva,{},,,,,,,{},,,,,,,,,,{},
58690,Salida con Amigos,78463,2025-12-15,240000,2,No disponible,60,,,,,,,,,,,"{Gimnasio,Calefacción,Spa,Piscina,""Asientos reclinables""}",{},,{},Marriott International,Murcia,30000,4,2026-03-04,2026-03-08,"{""No se permiten fiestas"",""Silencio después de las 10 PM"",""Check-out antes de las 11 AM""}",,,,,,,,,,{},
58690,Salida con Amigos,78464,2025-03-06,34000,2,No disponible,-34,,,,48,,,Apple Leisure Group,,,,{},{},,{},,Murcia,,,,,{},,,Conoce la historia de la ciudad,,,,Aventura,5,17000,{},2026-03-05
58690,Salida con Amigos,78465,2025-12-03,152000,2,No disponible,152,,,,18,,,CWT,,,,{},{},,{},,Murcia,,,,,{},,,Disfruta de un día en la naturaleza,,,,Visita,4,76000,{},2026-03-06
58690,Salida con Amigos,78466,2025-08-11,182000,2,,182,,,,19,,,Abercrombie & Kent,,,,{},{},,{},,Murcia,,,,,{},,,Descubre la gastronomía local,,,,Tour,7,91000,{},2026-03-07
64869,Salida con Familia,78467,2025-04-15,553000,7,No disponible,553,elpolo665@viajes.cl,Málaga,Gecho,40,,79000,Italo,2026-08-21,2026-08-21,,"{""Aire acondicionado"",TV,""Asientos reclinables""}",{},,"{Orihuela,León,Mijas,""Hospitalet de LLobregat""}",,,,,,,{},,,,,,,,,,{},
64869,Salida con Familia,78468,2026-01-19,2632000,7,No disponible,658,,,,,,,,,,,"{Calefacción,""Servicio a la habitación"",Wifi,Comida,Baño}",{},,,Wyndham Hotels & Resorts,Gecho,94000,1,2026-08-21,2026-08-25,"{""No se permiten visitas"",""Check-in después de las 3 PM"",""No se permiten mascotas""}",,,,,,,,,,{},
64869,,78469,2025-04-08,91000,7,No disponible,91,,,,1,,,Luxury Escapes,,,,{},{},,,,Gecho,,,,,{},,,Conoce la historia de la ciudad,,,,Aventura,1,13000,{},2026-08-22
64869,Salida con Familia,78470,2025-02-08,497000,7,No disponible,497,,,,24,,,Contiki,,,,{},{},,{},,Gecho,,,,,,,,Relájate en la playa,,,,Visita,5,71000,{},2026-08-23
64869,Salida con Familia,78471,2025-03-23,679000,7,No disponible,679,,,,40,,,Expedia Group,,,,{},{},,{},,Gecho,,,,,{},,,Disfruta de un día en la naturaleza,,,,Visita,3,97000,{},2026-08-24
64869,Salida con Familia,78472,2026-06-21,784000,7,No disponible,784,stmaancaca776@viajes.cl,Gecho,,34,2335,112000,AVE,2026-08-25,2026-08-26,,"{TV,Calefacción,Wifi,Baño,""Aire acondicionado""}",,,"{""Alcalá de Guadaira"",Barcelona,Santander}",,,,,,,{},,,,,,,,,,,
,Salida con Familia,78473,2026-08-14,504000,7,No disponible,504,Blancagarica831@viajes.cl,Las Palmas de Gran Canaria,Mataró,81,881,72000,Deutsche Bahn (DB),2026-08-26,2026-08-26,,"{TV,Agua,Calefacción}",{},,,,,,,,,{},,,,,,,,,,{},
64869,Salida con Familia,78474,2025-05-10,121000,7,No disponible,847,,,,,,,,,,,"{Chimenea,""Servicio a la habitación"",Gimnasio,""Asientos reclinables"",Spa}",{},,{},Villa en Mataró,Mataró,121000,3,2026-08-26,2026-08-27,{},Sr. Alberto Bermúdez Alonso,+56 9 4781 4651,Ubicación céntrica con fácil acceso a atracciones turísticas,4,5,3,,,,,
59970,Cena de Trabajo,78475,2025-10-26,188000,2,No disponible,-188,srsacona119@viajes.cl,Puertollano,Irún,32,688,94000,Chevallier,,,Cama,"{Comida,Baño,""Asientos reclinables""}",{},,{},,,,,,,{},,,,,,,,,,{},
59970,Cena de Trabajo,78476,2025-12-23,-1056000,2,No disponible,176,,,,,,,,,,,"{TV,""Asientos reclinables"",Piscina,Baño,Agua}",{},,{},The Ritz-Carlton,Irún,88000,2,2026-07-16,2026-07-22,"{""No se permiten fiestas"",""Check-in después de las 3 PM"",""No se permite fumar""}",,,,,,,,,,,
59970,Cena de Trabajo,78477,2025-02-07,162000,,No disponible,162,,,,35,,,Abercrombie & Kent,,,,{},{},,{},,Irún,,,,,{},,,Conoce la historia de la ciudad,,,,Visita,5,,{},2026-07-17
,Cena de Trabajo,78478,2025-10-04,,2,No disponible,60,,,,4,,,Luxury Escapes,,,,{},{},,{},,Irún,,,,,{},,,Disfruta de un día en la naturaleza,,,,Paseo,,30000,{},2026-07-18
59970,Cena de Trabajo,78479,2025-07-05,82000,2,No disponible,-82,,,,34,,,Insight Vacations,,,,{},{},,{},,Irún,,,,,{},,,Aventúrate en la montaña,,,,Paseo,,41000,{},2026-07-19
60934,Vacaciones,78483,,1251000,9,No disponible,1251,,,,,,,,,,,"{Comida,""Servicio a la habitación"",Baño,Gimnasio,TV}",{},,{},NH Hotel Group,Sevilla,,1,2025-11-25,2025-11-26,"{""No se permiten fiestas"",""No se permite fumar"",""Check-out antes de las 11 AM""}",,,,,,,,,,{},
56258,Salida con Familia,78484,2025-09-25,1557000,9,No disponible,1557,Rocioanguiano798@viajes.cl,Manresa,Badajoz,41,2996,173000,ETN Turistar,2025-12-09,2025-12-11,Cama,"{""Asientos reclinables"",Baño,Calefacción}",{},,{},,,,,,,,,,,,,,,,,{},
56258,Salida con Familia,78485,2025-01-02,495000,9,No disponible,495,noméru838@viajes.cl,Badajoz,Pontevedra,44,2948,55000,Megabus,2025-12-11,2025-12-13,Cama,"{Agua,Baño,Wifi}",{},,{},,,,,,,{},,,,,,,,,,{},
56258,Salida con Familia,78486,2025-07-15,963000,9,No disponible,,Sra.madrigal710@viajes.cl,Pontevedra,Avilés,33,2289,107000,Buses Nilahue,2025-12-13,2025-12-14,Cama,"{""Aire acondicionado"",""Asientos reclinables"",Baño}",{},,{},,,,,,,,,,,,,,,,,{},
56258,Salida con Familia,78487,2025-02-19,110000,9,No disponible,990,,,,,,,,,,,"{Spa,Calefacción,Balcón,""Vista al mar"",""Asientos reclinables""}",{},,{},Estudio en Avilés,Avilés,110000,5,2025-12-14,2025-12-15,{},Carla Leal Duarte,+56 2 5600 5239,Disfruta de una estadía en el corazón de la ciudad,6,4,,,,,{},
64804,Salida con Familia,78488,2025-04-07,200000,8,No disponible,-200,Doloresroybal738@viajes.cl,Mérida,Toledo,31,288,25000,Greyhound,2025-06-08,2025-06-08,Normal,"{Calefacción,Comida,""Aire acondicionado""}",,,{},,,,,,,{},,,,,,,,,,{},
64804,Salida con Familia,78489,2025-01-23,1000000,8,No disponible,1000,,Toledo,Pozuelo de Alarcón,49,3878,,BoltBus,,2025-06-10,Cama,"{Wifi,Baño,Agua}",{},,{},,,,,,,{},,,,,,,,,,{},
64804,Salida con Familia,,2025-01-22,9000,8,No disponible,,,,,,,,,,,,"{Calefacción,Chimenea,Spa,Piscina,""Aire acondicionado""}",{},,{},Villa en Pozuelo de Alarcón,Pozuelo de Alarcón,9000,5,2025-06-10,2025-06-11,{},Soledad Monroy Mojica,+56 9 2436 5545,Experimenta el lujo y la comodidad en este alojamiento,6,5,3,,,,,
,Salida con Familia,78491,2025-01-20,762000,3,No disponible,762,alcegá275@viajes.cl,Ciudad Real,Torrelavega,12,2499,,Iberia,2026-03-05,2026-03-06,,{},{},Primera clase,{},,,,,,,{},,,,,,,,,,{},
66118,Salida con Familia,78492,2025-09-25,501000,3,No disponible,501,Bernardoelizondo645@viajes.cl,Torrelavega,Motril,32,2955,167000,American Airlines,2026-03-06,2026-03-08,,{},"{Málaga,Pamplona}",Clase ejecutiva,{},,,,,,,{},,,,,,,,,,{},
66118,Salida con Familia,78493,2025-10-12,576000,3,No disponible,576,,Motril,Tarrasa,36,199,192000,Qantas,2026-03-08,2026-03-08,,{},,Clase económica,{},,,,,,,,,,,,,,,,,{},
58036,Vacaciones,78494,,1017000,9,No disponible,1017,Marcoharo601@viajes.cl,Las Palmas de Gran Canaria,Torrelavega,11,,113000,Singapore Airlines,2026-03-23,,,{},{Sabadell},Clase económica,{},,,,,,,{},,,,,,,,,,{},
58036,Vacaciones,78495,2025-05-13,615000,9,No disponible,1107,,,,,,,,,,,"{""Asientos reclinables"",Baño,Gimnasio,Spa,Chimenea}",,,{},Residencia en Torrelavega,Torrelavega,-123000,2,2026-03-23,2026-03-28,{},Juana Sisneros Varela,+56 2 5692 2230,Ideal para una escapada romántica,6,6,3,,,,{},
,Vacaciones,78496,2026-03-04,72000,9,No disponible,72,,,,8,,,Flight Centre Travel Group,,,,{},{},,{},,Torrelavega,,,,,{},,,Descubre la gastronomía local,,,,Excursión,,8000,{},2026-03-24
58036,Vacaciones,78497,2025-03-05,261000,,No disponible,261,,,,37,,,Klook,,,,{},{},,{},,Torrelavega,,,,,{},,,Relájate en la playa,,,,Visita,3,29000,{},2026-03-25
58036,,78498,2025-08-16,63000,9,No disponible,63,,,,18,,,CWT,,,,{},{},,{},,Torrelavega,,,,,{},,,Aventúrate en la montaña,,,,Visita,2,7000,{},2026-03-26
58036,Vacaciones,78499,2026-01-14,747000,9,No disponible,-747,,,,20,,,Luxury Escapes,,,,{},{},,{},,Torrelavega,,,,,{},,,Aventúrate en la montaña,,,,Paseo,5,83000,{},2026-03-27
57752,Aniversario,78500,2025-01-04,1557000,9,No disponible,1557,agvisa375@viajes.cl,Badajoz,Santa Coloma de Gramanet,46,1888,-173000,Trenitalia,2025-05-15,2025-05-16,,"{Comida,""Asientos reclinables"",TV,""Aire acondicionado""}",{},,{Valdemoro},,,,,,,{},,,,,,,,,,{},
57752,Aniversario,78501,2025-01-25,2367000,9,No disponible,2367,stniniba272@viajes.cl,Santa Coloma de Gramanet,Las Palmas de Gran Canaria,43,3168,263000,ZS (Eslovenia),2025-05-16,2025-05-18,,,{},,"{""Castellón de la Plana"",Madrid,Almería,""Mollet del Vallés""}",,,,,,,{},,,,,,,,,,{},
,Aniversario,78502,2025-02-08,1008000,9,No disponible,1296,,,,,,,,,,,"{Spa,Wifi,Comida,""Servicio a la habitación"",Baño}",{},,{},Casa en Las Palmas de Gran Canaria,Las Palmas de Gran Canaria,144000,2,2025-05-18,2025-05-25,{},Sta. María Luisa Negrete Casares,+56 2 2875 3475,Disfruta de una estadía en el corazón de la ciudad,4,6,4,,,,{},
57752,Aniversario,78503,2025-02-22,792000,9,No disponible,792,,,,41,,,Luxury Escapes,,,,{},{},,{},,Las Palmas de Gran Canaria,,,,,{},,,Disfruta de un día en la naturaleza,,,,Aventura,5,88000,{},2025-05-19
,Aniversario,78504,2025-03-13,441000,9,No disponible,441,,,,33,,,Contiki,,,,{},{},,{},,,,,,,{},,,Disfruta de un día en la naturaleza,,,,Aventura,1,49000,{},2025-05-20
57752,Aniversario,78505,2025-02-01,135000,9,No disponible,135,,,,2,,,Kuoni,,,,{},{},,{},,Las Palmas de Gran Canaria,,,,,{},,,Relájate en la playa,,,,Visita,5,15000,{},
57752,Aniversario,78506,2025-02-21,711000,9,No disponible,,,,,19,,,Kuoni,,,,{},{},,,,Las Palmas de Gran Canaria,,,,,{},,,Disfruta de un día en la naturaleza,,,,Paseo,7,79000,{},2025-05-22
57752,Aniversario,78508,2025-02-07,702000,9,No disponible,702,,,,20,,,Civitatis,,,,{},{},,{},,Las Palmas de Gran Canaria,,,,,{},,,Aventúrate en la montaña,,,,Excursión,2,78000,{},2025-05-24
57752,Aniversario,78509,2025-04-15,3996000,9,No disponible,3996,graciela4241218@viajes.cl,Las Palmas de Gran Canaria,Murcia,67,3629,444000,ZFBH (Bosnia y Herzegovina),2025-05-25,2025-05-27,,"{Calefacción,Comida,Baño,Agua,""Asientos reclinables"",Wifi,""Aire acondicionado""}",{},,"{""Mollet del Vallés""}",,,,,,,{},,,,,,,,,,{},
57752,Aniversario,78510,2025-05-23,738000,9,No disponible,738,,,,,,,,,,,,{},,,The Ritz-Carlton,Murcia,82000,3,2025-05-27,2025-05-28,"{""Silencio después de las 10 PM"",""Check-in después de las 3 PM"",""No se permiten mascotas""}",,,,,,,,,,{},
60218,Aniversario,78511,2026-06-23,339000,3,No disponible,339,jomaalma170@viajes.cl,Molina de Segura,,22,530,113000,AVE,2026-08-07,2026-08-07,,{},,,"{""Santa Lucía de Tirajana"",Zaragoza}",,,,,,,{},,,,,,,,,,{},
60218,Aniversario,78512,,1935000,3,No disponible,-387,,,,,,,,,,,"{Calefacción,Agua,Spa,""Aire acondicionado"",Comida}",{},,{},Belmond,Irún,129000,1,2026-08-07,2026-08-12,"{""No se permiten mascotas"",""Check-in después de las 3 PM"",""Check-out antes de las 11 AM""}",,,,,,,,,,{},
,Aniversario,78513,2026-02-25,45000,3,No disponible,,,,,32,,,Exodus Travels,,,,{},{},,{},,Irún,,,,,,,,Disfruta de un día en la naturaleza,,,,Paseo,5,15000,{},2026-08-08
60218,Aniversario,78514,2025-04-16,183000,3,No disponible,183,,,,23,,,Apple Leisure Group,,,,{},,,,,Irún,,,,,{},,,Aventúrate en la montaña,,,,Paseo,,61000,{},2026-08-09
60218,Aniversario,78515,2025-08-26,-195000,3,No disponible,195,,,,40,,,,,,,{},{},,{},,Irún,,,,,{},,,Descubre la gastronomía local,,,,Paseo,,,{},2026-08-10
60218,Aniversario,78516,2026-05-22,66000,3,No disponible,66,,,,,,,Exodus Travels,,,,{},{},,{},,Irún,,,,,{},,,Relájate en la playa,,,,Aventura,5,-22000,{},2026-08-11
60218,Aniversario,78517,2025-05-19,360000,3,No disponible,360,ricardo8340533@viajes.cl,Irún,Pamplona,31,2006,120000,ÖBB (Austria),2026-08-12,2026-08-13,,"{Agua,TV,""Aire acondicionado"",Wifi}",{},,{},,,,,,,{},,,,,,,,,,{},
60218,Aniversario,78518,2025-10-13,96000,3,No disponible,-288,,,,,,,,,,,"{Gimnasio,TV,Spa,Jacuzzi,""Vista al mar""}",{},,{},Villa en Pamplona,Pamplona,96000,1,2026-08-13,2026-08-14,{},Sra. Pablo Barreto Alicea,+56 2 1077 6872,Ubicación céntrica con fácil acceso a atracciones turísticas,3,3,2,,,,{},
64386,Vacaciones,78519,2025-05-19,210000,1,,210,sr.590458@viajes.cl,Cáceres,Alcalá de Guadaira,68,3455,210000,SJ (Suecia),2025-12-18,2025-12-20,,"{""Aire acondicionado"",TV,Baño,Comida,""Asientos reclinables"",Calefacción}",{},,"{Tarragona,""San Sebastían de los Reyes""}",,,,,,,{},,,,,,,,,,{},
,Aniversario,78520,2025-02-25,119000,1,No disponible,119,srgebegr871@viajes.cl,Bilbao,Torremolinos,79,,119000,All Nippon Airways (ANA),2025-02-26,2025-02-27,,{},"{Murcia,""Santa Coloma de Gramanet""}",Clase ejecutiva,{},,,,,,,{},,,,,,,,,,{},
62297,Aniversario,78521,2025-01-14,274000,1,No disponible,137,,,,,,,,,,,"{Calefacción,Baño,""Asientos reclinables"",Wifi,Comida}",{},,{},,Torremolinos,137000,1,2025-02-27,2025-03-01,"{""No se permiten mascotas"",""Check-in después de las 3 PM"",""No se permiten fiestas""}",,,,,,,,,,{},
,Aniversario,,2025-01-12,83000,1,No disponible,83,,,,14,,,Exodus Travels,,,,{},{},,{},,Torremolinos,,,,,{},,,Descubre la gastronomía local,,,,Aventura,7,83000,{},2025-02-28
62127,Aniversario,78523,2025-04-09,644000,7,No disponible,644,Raquelholguín560@viajes.cl,Valencia,,39,3551,92000,ETN Turistar,2026-11-13,2026-11-15,Cama,"{Calefacción,""Aire acondicionado"",Comida}",{},,{},,,,,,,{},,,,,,,,,,{},
62127,Aniversario,78524,2025-08-28,826000,7,No disponible,826,arroqu741@viajes.cl,Majadahonda,El Puerto de Santa María,34,598,118000,Monbus,2026-11-15,2026-11-15,Semi-cama,"{TV,Baño,""Aire acondicionado""}",{},,{},,,,,,,{},,,,,,,,,,{},
62127,Aniversario,78525,2026-10-05,475000,7,No disponible,665,,,,,,,,,,,"{Chimenea,""Aire acondicionado"",Calefacción,Comida,Jacuzzi}",{},,{},Casa en El Puerto de Santa María,El Puerto de Santa María,95000,3,2026-11-15,2026-11-20,,Sra. Isabela Pineda Bueno,+56 2 3066 5148,Experimenta el lujo y la comodidad en este alojamiento,3,4,2,,,,{},
62127,Aniversario,78526,2026-03-16,70000,7,No disponible,70,,,,23,,,Civitatis,,,,{},{},,{},,El Puerto de Santa María,,,,,{},,,Disfruta de un día en la naturaleza,,,,Tour,3,10000,{},2026-11-16
62127,Aniversario,78527,2025-07-05,252000,7,No disponible,252,,,,24,,,Booking Holdings,,,,{},{},,{},,El Puerto de Santa María,,,,,{},,,Descubre la gastronomía local,,,,Aventura,6,36000,{},2026-11-17
62127,Aniversario,78528,2026-01-05,189000,7,No disponible,189,,,,33,,,GetYourGuide,,,,{},,,{},,El Puerto de Santa María,,,,,{},,,Relájate en la playa,,,,Aventura,3,27000,{},2026-11-18
62127,Aniversario,78529,2025-08-30,364000,7,No disponible,364,,,,4,,,Expedia Group,,,,{},{},,{},,El Puerto de Santa María,,,,,{},,,Relájate en la playa,,,,Visita,1,52000,{},2026-11-19
61892,Salida con Familia,78530,2025-02-22,302000,1,,302,elsa2245643@viajes.cl,Ciudad Real,Roquetas de Mar,22,3568,302000,SBB (Suiza),2025-07-05,2025-07-07,,"{Wifi,TV,Comida,""Asientos reclinables"",""Aire acondicionado"",Baño}",{},,"{""Talavera de la Reina"",Getafe,""Sanlúcar de Barrameda"",""Pozuelo de Alarcón"",Gecho}",,,,,,,{},,,,,,,,,,{},
57365,Cena de Trabajo,78557,2025-01-15,792000,8,No disponible,792,srjofrmé741@viajes.cl,Lugo,Reus,35,2021,-99000,Chevallier,2025-06-09,2025-06-10,,"{""Asientos reclinables"",Comida,""Aire acondicionado""}",{},,{},,,,,,,{},,,,,,,,,,{},
61892,Salida con Familia,78531,,-447000,1,No disponible,149,,,,,,,,,,,,{},,{},Belmond,Roquetas de Mar,149000,1,2025-07-07,2025-07-10,"{""No se permiten mascotas"",""No se permiten visitas"",""No se permite fumar""}",,,,,,,,,,{},
