correo_usuario,puntos,reserva_id,tipo_seguro,valor_seguro,clausula,empresa_seguro,estrellas,descripcion
sr.3104119@tourket.com,9563,78866,,52000,"Indemnización por retraso en la entrega de equipaje, Cobertura de artículos electrónicos bajo ciertos límites",Consorcio Nacional de Seguros Vida S.A.,,
goheco319@edubus.cal,21065,78871,Seguro de Cancelación de Viaje,34000,"Reembolso por cancelaciones laborales imprevistas, Cobertura de penalidades por cambio de vuelo",Vida Cámara S.A.,3,Podría mejorar
,-13681,,,,,,2,No me convenció del todo
sraltacu152@wass.com,14654,78887,Seguro de Equipaje y Efectos Personales,,"Asistencia para reemplazo de documentos de viaje perdidos, Cobertura por pérdida, robo o daño de equipaje",Liberty Compañía de Seguros Generales S.A.,2,Regular
guadalupe5137759@edubus.cal,5472,78889,,,,,,Completamente decepcionado
maría320378@tourket.com,5960,78896,Seguro de Cancelación de Viaje,78000,"Cobertura por cancelaciones debido a desastres naturales o disturbios, Reembolso por cancelación debido a enfermedad, accidente o fallecimiento",Renta Nacional Compañía de Seguros Generales S.A.,,
maría320378@tourket.com,5960,78897,,,,,,
Joaquíngirón813@marmol.com,5755,78906,Seguro por Demoras en el Viaje,62000,"Indemnización por pérdida de conexiones debido a retrasos, Cobertura de alojamiento y alimentación por retrasos prolongados",Vida Cámara S.A.,3,Aceptable
sra.8431340@tourket.com,5990,78907,,,,,,
sra.8431340@tourket.com,5990,78908,Seguro de Asistencia Médica,30000,"Hospitalización y cirugías de emergencia, Cobertura de gastos médicos por enfermedad o accidente",Renta Nacional Compañía de Seguros Generales S.A.,4,"Satisfecho, pero hay detalles por mejorar"
juana193791@marmol.com,7645,78910,,,,,1,Completamente decepcionado
Sra.camarillo587@edubus.cal,9081,78916,Seguro de Responsabilidad Civil,67000,"Gastos legales en caso de demandas civiles, Cobertura por daños a terceros durante el viaje",Confuturo S.A.,,
Sra.camarillo587@edubus.cal,9081,78918,,,,,4,Bueno
Martacenteno679@marmol.com,20441,78921,,,,,1,No vuelvo más
masaor254@tourket.com,20837,78928,Seguro por Demoras en el Viaje,32000,"Indemnización por pérdida de conexiones debido a retrasos, Reembolso de gastos adicionales por retrasos en vuelos",BICE Vida Compañía de Seguros S.A.,3,Podría mejorar
agustín6701648@edubus.cal,19933,78944,Seguro de Asistencia Médica,60000,"Cobertura de gastos médicos por enfermedad o accidente, Hospitalización y cirugías de emergencia",Renta Nacional Compañía de Seguros Generales S.A.,3,Aceptable
,19933,78951,Seguro de Equipaje y Efectos Personales,95000,"Indemnización por retraso en la entrega de equipaje, Asistencia para reemplazo de documentos de viaje perdidos",Renta Nacional Compañía de Seguros Generales S.A.,3,"Cumplió con mis expectativas, pero sin destacar"
agustín6701648@edubus.cal,,78953,Seguro por Demoras en el Viaje,60000,"Cobertura de alojamiento y alimentación por retrasos prolongados, Reembolso de gastos adicionales por retrasos en vuelos",BICE Vida Compañía de Seguros S.A.,,
,19933,78954,Seguro de Asistencia Médica,99000,"Cobertura de gastos médicos por enfermedad o accidente, Cobertura de medicamentos recetados",MAPFRE Compañía de Seguros Generales de Chile S.A.,2,No me convenció del todo
agustín6701648@edubus.cal,19933,78958,,,,,2,No me convenció del todo
Sra.sanabria958@edubus.cal,19774,78969,Seguro de Cancelación de Viaje,95000,"Cobertura por cancelaciones debido a desastres naturales o disturbios, Cobertura de penalidades por cambio de vuelo",MAPFRE Compañía de Seguros Generales de Chile S.A.,5,Servicio de primera
Sra.sanabria958@edubus.cal,19774,78971,,,,,5,Excelente
sancho9254644@outluc.com,9902,78972,Seguro de Cancelación de Viaje,84000,"Cobertura de penalidades por cambio de vuelo, Reembolso por cancelaciones laborales imprevistas",Liberty Compañía de Seguros Generales S.A.,,
Samuelalmonte447@tourket.com,11804,78977,Seguro de Interrupción del Viaje,84000,"Reembolso de gastos no utilizados por interrupción del viaje, Compensación por imprevistos que obliguen a detener el viaje",MetLife Chile Seguros de Vida S.A.,3,Aceptable
Samuelalmonte447@tourket.com,11804,78981,Seguro de Cancelación de Viaje,6000,"Cobertura por cancelaciones debido a desastres naturales o disturbios, Reembolso por cancelaciones laborales imprevistas",Vida Cámara S.A.,,"Satisfecho, pero hay detalles por mejorar"
susana9334818@viajesanma.com,3478,78984,,,,,4,Buena experiencia en general
susana9334818@viajesanma.com,3478,78985,Seguro de Cancelación de Viaje,46000,"Cobertura de penalidades por cambio de vuelo, Reembolso por cancelaciones laborales imprevistas",BICE Vida Compañía de Seguros S.A.,,
susana9334818@viajesanma.com,-3478,78992,,,,,3,
susana9334818@viajesanma.com,3478,78995,,,,,,Hubo varios problemas
miguel2832441@edubus.cal,,78998,,64000,"Indemnización por retraso en la entrega de equipaje, Cobertura de artículos electrónicos bajo ciertos límites",Liberty Compañía de Seguros Generales S.A.,4,Me atendieron bien
sr.3525257@outluc.com,10080,79007,,,,,2,
sr.3525257@outluc.com,10080,79008,Seguro de Interrupción del Viaje,78000,"Compensación por imprevistos que obliguen a detener el viaje, Reembolso de gastos no utilizados por interrupción del viaje",MetLife Chile Seguros de Vida S.A.,,Buena experiencia en general
sr.3525257@outluc.com,10080,79009,,,,,1,Muy insatisfecho
sr.3525257@outluc.com,10080,79016,,,,,5,Superó mis expectativas
sr.3525257@outluc.com,10080,79017,,,,,1,Completamente decepcionado
sr.3525257@outluc.com,10080,,Seguro de Cancelación de Viaje,55000,"Cobertura de penalidades por cambio de vuelo, Reembolso por cancelación debido a enfermedad, accidente o fallecimiento",Consorcio Nacional de Seguros Vida S.A.,5,Sin duda volveré
Sta.cardenas262@viajesanma.com,37863,79026,Seguro de Cancelación de Viaje,7000,"Cobertura por cancelaciones debido a desastres naturales o disturbios, Reembolso por cancelación debido a enfermedad, accidente o fallecimiento",HDI Seguros S.A.,64,Aceptable
Sta.cardenas262@viajesanma.com,37863,,Seguro de Responsabilidad Civil,42000,"Gastos legales en caso de demandas civiles, Cobertura de daños a propiedades alquiladas",Liberty Compañía de Seguros Generales S.A.,,
Sta.cardenas262@viajesanma.com,37863,,,,,,4,Bueno
Soniarodríguez549@outluc.com,,79044,Seguro de Cancelación de Viaje,90000,"Cobertura de penalidades por cambio de vuelo, Reembolso por cancelación debido a enfermedad, accidente o fallecimiento",Consorcio Nacional de Seguros Vida S.A.,5,Sin duda volveré
srracaal432@wass.com,14873,79048,,,,,4,Bueno
sra.1772343@outluc.com,24278,79054,Seguro de Asistencia Médica,12000,"Hospitalización y cirugías de emergencia, Evacuación y repatriación sanitaria",Renta Nacional Compañía de Seguros Generales S.A.,,
Benitomena938@outluc.com,5586,79056,,,,,5,Muy satisfecho
Benitomena938@outluc.com,5586,,,,,,1,No vuelvo más
srroguti835@tourket.com,9751,79062,,,,,1,Completamente decepcionado
srroguti835@tourket.com,9751,79064,,,,,2,Hubo varios problemas
joalta315@viajesanma.com,18851,79067,,,,,3,Aceptable
joalta315@viajesanma.com,18851,79069,,,,,2,No lo recomendaría
maméle199@edubus.cal,8564,79073,,,,,1,Pésimo
maméle199@edubus.cal,8564,79075,Seguro por Demoras en el Viaje,44000,"Indemnización por pérdida de conexiones debido a retrasos, Reembolso de gastos adicionales por retrasos en vuelos",BICE Vida Compañía de Seguros S.A.,5,Excelente
maméle199@edubus.cal,-8564,79077,Seguro de Cancelación de Viaje,29000,"Reembolso por cancelación debido a enfermedad, accidente o fallecimiento, Cobertura de penalidades por cambio de vuelo",Seguros Generales Suramericana S.A.,2,Hubo varios problemas
maméle199@edubus.cal,8564,79078,Seguro de Interrupción del Viaje,74000,"Reembolso de gastos no utilizados por interrupción del viaje, Compensación por imprevistos que obliguen a detener el viaje",Confuturo S.A.,1,No vuelvo más
Emiliaarmijo452@marmol.com,6765,79079,,,,,5,Excelente
inayze239@marmol.com,21426,79083,,,,,5,Sin duda volveré
inayze239@marmol.com,21426,79086,Seguro de Interrupción del Viaje,40000,"Compensación por imprevistos que obliguen a detener el viaje, Cobertura de costos adicionales por regreso anticipado",Renta Nacional Compañía de Seguros Generales S.A.,5,Excelente
inayze239@marmol.com,21426,79089,,,,,,
sr.5323939@outluc.com,10514,79096,,,,,82,Servicio de primera
sr.5323939@outluc.com,10514,79098,Seguro de Asistencia Médica,45000,"Hospitalización y cirugías de emergencia, Cobertura de gastos médicos por enfermedad o accidente",Renta Nacional Compañía de Seguros Generales S.A.,,
sr.5323939@outluc.com,10514,79100,Seguro de Responsabilidad Civil,91000,"Cobertura de daños a propiedades alquiladas, Cobertura por daños a terceros durante el viaje",MAPFRE Compañía de Seguros Generales de Chile S.A.,,
ánsama367@viajesanma.com,10845,79103,,,,,61,No vuelvo más
ánsama367@viajesanma.com,10845,79107,,,,,1,Pésimo
ánsama367@viajesanma.com,,79109,,,,,1,Completamente decepcionado
ánsama367@viajesanma.com,,79110,Seguro de Interrupción del Viaje,44000,"Reembolso de gastos no utilizados por interrupción del viaje, Compensación por imprevistos que obliguen a detener el viaje",BICE Vida Compañía de Seguros S.A.,3,Servicio regular
ánsama367@viajesanma.com,10845,79113,Seguro de Cancelación de Viaje,60000,"Cobertura de penalidades por cambio de vuelo, Reembolso por cancelación debido a enfermedad, accidente o fallecimiento",,3,"Cumplió con mis expectativas, pero sin destacar"
Normabahena565@outluc.com,21060,79118,Seguro de Cancelación de Viaje,100000,"Reembolso por cancelaciones laborales imprevistas, Cobertura por cancelaciones debido a desastres naturales o disturbios",Renta Nacional Compañía de Seguros Generales S.A.,2,No lo recomendaría
Carolinamagaña828@wass.com,8814,79131,Seguro de Interrupción del Viaje,67000,"Cobertura de costos adicionales por regreso anticipado, Compensación por imprevistos que obliguen a detener el viaje",Renta Nacional Compañía de Seguros Generales S.A.,5,Servicio de primera
Carolinamagaña828@wass.com,8814,79133,,,,,,
srmatoro508@wass.com,9988,79137,,,,,,
srmatoro508@wass.com,9988,79139,,,,,,Buena experiencia en general
Liliacolunga414@tourket.com,8630,79148,,25000,"Hospitalización y cirugías de emergencia, Evacuación y repatriación sanitaria",,,
