nombre,run,dv,correo,nombre_usuario,contrasena,telefono_contacto,jornada,isapre,contrato,codigo_reserva,codigo_agenda,fecha,monto,cantidad_personas,estado_disponibilidad,numero_viaje,lugar_origen,lugar_llegada,fecha_salida,fecha_llegada,capacidad,tiempo_estimado,precio_asiento,empresa,tipo_de_bus,comodidades,escalas,clase,paradas
"Sra. Pablo Peres Urías",26678941,6,Sra.urOAas@viajes.cl,sra.1967,CzAQFv77olnVz4n,+56-2-2029-2245,Diurno,Consalud,"Part time",536277,69779,2025-04-22,520000,4,"No disponible",41200,Tarragona,Elda,2026-01-28,2026-01-29,31,1477,130000,Turbus,Cama,"{Wifi,""Aire acondicionado"",Baño}",{},,{}
"Sra. Luz Longoria Urbina",17509515,2,srlulour@viajes.ceele,sra.5851,iA9q4qiJ3Y1R,"+56 9 1857 2387",Nocturno,Banmédica,"Part time",536278,69779,2026-01-24,680000,4,"No disponible",93251,elda#,Estepona,2026-01-29,2026-01-31,33,4082,170000,"Condor Bus",Cama,"{Wifi,Comida,Agua}",{},,{}
"Emilio Armendáriz Carrera",2.580.601,8,emilio4779@viajes.cl,emilio5598,79b0UzdFyCZCWO,"+56 9 5008 5606",Nocturno,Consalud,"Part time",536279,69779,2025/08/24,-512000,4,"No disponible",17005,estepona#,Badajoz,2026/01/31,2026/02/02,39,3944,128000,Greyhound,Cama,"{Wifi,Baño,""Asientos reclinables""}",{},,{}
"Gustavo Guerrero Girón",25116498,3,gugugi@viajes.cl,gugugi,90aZNBpKub6y1IUS,"+56 2 7784 1095",Diurno,Banmédica,"Part time",536280,64727,2025-04-19,158000,2,"No disponible",81566,Mataró,Granollers,2025-07-28,2025-07-29,27,2145,79000,"Ethiopian Airlines",,{},{},"Clase ejecutiva",{}
"Emilia Aragón Villagómez",26542261,6,EmiliavillagOImez@viajes.cl,emarvi,rX2c3sEqo6jhs,"+56 9 2375 2128",Diurno,Colmena,"Full time",536281,64727,2025-03-12,232000,2,"No disponible",89446,Granollers,Elda,2025-07-29,2025-07-29,54,1203,116000,"Etihad Airways",,{},{},"Clase económica",{}
"Norma Ontiveros Rolón",22.056.481,9,noonro@@viajes.cl,Normarolón,PFZvDp9Pl4uCuiO8,"+56 2 4124 5239",Diurno,"Más vida","Full time",536289,64727,2025-02-24,-164000,2,"No disponible",68426,Elda,MANRESA!!!,2025-08-05,2025-08-06,23,2093,82000,"Delta Air Lines",,{},{Algeciras},"Clase económica",{}
"Luis Reynoso Villareal",8150313,3,lurevi@viajes.cl,lurevi,ySVqgCWEg1CEv4DY,"+56 2 4773 1330",Diurno,Colmena,"Full time",536297,66951,2025-08-24,104000,1,"No disponible",9351,"Chiclana de la Frontera",Salamanca,2026-10-28,2026-10-30,50,3583,104000,"Buses Bio Bio",Cama,"{TV,""Aire acondicionado"",""Asientos reclinables""}",{},,{}
"Alejandro Rubio Carvajal",10711906,0,alruca@viajes.cl,alejandro1460,uH4u17wzHc6i,+56-9-5349-6089,,Colmena,"Full time",536298,66951,2026-05-02,131000,,"No disponible",95234,Salamanca,VALENCIA!!!,,2026-10-31,,2734,131000,Avanza,Cama,"{Wifi,Baño,""Aire acondicionado""}",{},,{}
"Sta. Martín Pagan Tamez",29388751,9,stmapata@viajes.ceele,Sta.tamez,ZutYU48Osn3,"+56 2 9421 6113",Nocturno,Colmena,"Part time",536299,66951,,82000,1,"No disponible",,Valencia,,2026-10-31,2026-10-31,47,1141,82000,"Buses Nilahue",Cama,"{Agua,Wifi,TV}",,,
"Inés Cardenas Feliciano",,1,inOos9109@viajes.ceele,Inésfeliciano,e4pPdz1Q76DY,"+56 9 0649 1218",Nocturno,"Más vida",,536300,66492,2026-04-25,1932000,7,"No disponible",44924,Badalona,,2026-11-22,2026-11-24,41,2892,276000,,,,{},,"{""Mollet del Vallés"",Ponferrada,Zamora}"
"José Luis Venegas Quiroz",29050390,6,JosOoquiroz@viajes.cl,joluvequ,33DVlbBvXvQ,"+56 2 2709 2039",Diurno,"Más vida","Part time",536305,65420,2026-01-12,178000,2,"No disponible",46163,Algeciras,Majadahonda,2026-11-01,2026-11-01,51,584,89000,Emirates,,{},{},"Clase económica",{}
"César Vázquez Esquibel",2318598,9,COosaresquibel@viajes.cl,céváes,A1b88wn05oSPx,"+56 2 0217 4063",Nocturno,Consalud,"Part time",536310,71022,2026-01-28,1592000,8,"No disponible",88879,Gecho,Albacete,2026-06-10,2026-06-12,49,4176,199000,"El Rápido Internacional",Cama,"{""Asientos reclinables"",Wifi,Calefacción}",{},,{}
"Esteban Acuña Aponte",17346194,1,esteban8714@viajes.cl,esteban5115,l5X8kj7u,+56-2-3264-4488,Diurno,Fonasa,"Full time",536316,71022,2025-04-15,864000,8,"No disponible",55237,Albacete,"Mollet del Vallés",2026-06-17,2026-06-18,40,1450,108000,ADO,Cama,"{""Asientos reclinables"",Calefacción,Baño}",{},,{}
"Gerardo Segura Tijerina",5358146,3,gerardo2022@viajes.cl,Gerardotijerina,iYQ5BHpQG5o,"+56 2 2050 8856",Diurno,"Más vida","Part time",536317,71022,2025-01-26,488000,8,"No disponible",69306,"Mollet del Vallés",Lorca,2026-06-18,2026-06-18,30,1356,61000,"Buses Nilahue",Cama,"{Baño,""Aire acondicionado"",Comida}",{},,{}
"Raquel Colón Espino",17037138,0,Raquelespino@viajes.cl,Raquelespino,t5eBbbtg7Wt0L,"+56 2 7428 8990",Nocturno,Fonasa,"Part time",536318,71613,2025-11-08,1974000,7,"No disponible",32930,Segovia,Jaén,2026-01-27,2026-01-28,7,2476,282000,"VR (Finlandia)",,"{""Aire acondicionado"",Agua,TV,Wifi,Baño}",{},,"{""Collado Villalba"",Arrecife,""Dos Hermanas"",Gecho,Valdemoro}"
"Mateo Mejía Borrego",20147551,1,mateo3420@viajes.cl,mateo7042,H5QeaIi0,"+56 2 8998 5744",Nocturno,Consalud,"Full time",536323,71613,2025-11-11,1211000,7,"No disponible",10060,Jaén,"San Cristróbal de la Laguna",2026-02-01,2026-02-02,78,2103,173000,"Nederlandse Sp",,"{Calefacción,Agua,Baño,TV}",{},,"{Estepona,Cádiz,Granada,Fuengirola}"
"Timoteo Montaño Jimínez",17705640,5,TimoteojimOAnez@viajes.cl,timoteo9925,oBboi6O9ESpvIcD,"+56 9 6583 8294",Nocturno,Banmédica,"Part time",536324,71613,2026-01-23,861000,7,"No disponible",67001,"San Cristróbal de la Laguna","La Coruña",2026-02-02,2026-02-04,58,3212,123000,Amtrak,,"{""Aire acondicionado"",Comida,""Asientos reclinables"",Wifi,Agua,Baño}",{},,"{Valdemoro,Telde,Sevilla,Oviedo}"
"César Collado Roque",2899442,7,cOocoro@viajes.cl,césar3259,pZM5TJ1znS,"+56 2 3263 9634",Nocturno,"Más vida","Full time",536328,65151,2025-07-04,800000,5,"No disponible",63727,"La Línea de la Concepción",Majadahonda,2026-01-23,2026-01-25,17,3587,160000,Ryanair,,{},"{Paterna,Burgos}","Primera clase",{}
"María Luisa Delrío Arias",1939794,7,marOAa9727@viajes.cl,maludear,Zv8biph4WQAFzuN,"+56 2 9847 2914",Nocturno,"Más vida","Full time",536332,65151,2025-01-23,-1870000,5,"No disponible",59373,Majadahonda,PAMPLONA!!!,2026-01-28,2026-01-30,3,2905,374000,"Copa Airlines",,{},"{Majadahonda,""El Prat de LLobregat""}","Clase ejecutiva",{}
"Federico Niño Banda",5742513,0,Federicobanda@viajes.cl,Federicobanda,81NYCPcln,"+56 2 7276 2303",Diurno,Fonasa,"Full time",536333,62494,2026-03-15,330000,2,"No disponible",84900,Tarrasa,Gecho,2026-05-03,2026-05-05,44,3935,165000,"Condor Bus",Cama,"{Baño,TV,""Aire acondicionado""}",{},,{}
"Sancho Flórez Téllez",25144062,0,SanchotOollez@viajes.cl,Sanchotéllez,uqxbb8l3Wv4bB,"+56 2 2418 5979",Nocturno,Fonasa,"Part time",536340,71671,2025-05-09,148000,2,"No disponible",86637,Cádiz,Irún,2026-07-27,2026-07-27,42,437,74000,"ETN Turistar",Semi-cama,"{""Aire acondicionado"",Agua,Calefacción}",{},,{}
"Alfredo Ávila Macías",26836254,1,AlfredomacOAas@viajes.cl,alfredo456,q1rfk6f7NwOT,"+56 2 8662 5676",Nocturno,Consalud,"Full time",536341,71671,2026-07-14,294000,2,"No disponible",20276,Irún,"Mollet del Vallés",2026-07-27,2026-07-29,34,2932,147000,"Buses Romani",Cama,"{Calefacción,TV,""Asientos reclinables""}",{},,{}
"Norma Franco Téllez",20681627,9,NormatOollez@viajes.cl,Normatéllez,g93klybSQU5rEZc4,"+56 2 4741 3121",Diurno,"Más vida","Full time",536342,71671,2026-06-11,,2,,27476,"Mollet del Vallés",ESTEPONA!!!,,,42,3593,190000,JetSur,Cama,"{""Aire acondicionado"",Agua,Baño}",{},,{}
"Rosario Rangel Holguín",8318621,6,roraho@viajes.ceele,roraho,5Ah9aUmU1DB7NCJ,"+56 9 2401 0021",Diurno,Colmena,"Part time",536343,65376,2025/02/19,-3310000,10,"No disponible",44471,"Talavera de la Reina",Paterna,2026/04/21,2026/04/23,76,4155,331000,"Wizz Air",,{},"{Getafe,Tarrasa,Logroño,Tarragona}","Primera clase",{}
"Rosalia Villaseñor Madrid",4322584,7,Rosaliamadrid@viajes.cl,rovima,nD62QTdr2VTt69,"+56 9 9130 2923",Diurno,Banmédica,"Part time",536344,71135,2025-01-12,888000,4,"No disponible",46798,Murcia,"El Puerto de Santa María",2025-07-13,2025-07-15,50,3368,222000,Iberia,,{},"{""Mollet del Vallés"",Zamora,""La Línea de la Concepción"",Zamora}","Clase ejecutiva",{}
"Francisco Valadez Gaitán",23086770,4,francisco4064@viajes.cl,francisco1477,ChsiFrsGQAa13h,"+56 2 9713 2320",Nocturno,Consalud,"Part time",536347,71135,2025-03-22,352000,4,"No disponible",59065,"El Puerto de Santa María",Pontevedra,2025-07-17,2025-07-18,6,2320,88000,"Air Canada",,{},{Valladolid},"Clase ejecutiva",{}
"Cecilia Ferrer Pedraza",13067740,1,cecilia2735@viajes.cl,Ceciliapedraza,,"+56 2 1373 8749",Diurno,Colmena,"Full time",,65035,2025-09-11,1665000,9,"No disponible",76786,Majadahonda,Vigo,,2026-10-05,34,4271,185000,"Crucero del Norte",,"{Agua,Wifi,Calefacción}",{},,{}
"Sra. Rubén Narváez Sosa",6575083,0,srrunaso@viajes.cl,srrunaso,35Mrn7w5,"+56 9 8622 8791",Diurno,Consalud,"Full time",536354,65035,2026-07-18,783000,9,"No disponible",69169,Vigo,Telde,2026-10-10,2026-10-11,42,1885,87000,"EME Bus",Cama,"{Wifi,Calefacción,""Aire acondicionado""}",{},,{}
"Sra. Sancho Arenas Pagan",4808509,1,sra.4066@@viajes.cl,srsaarpa,mnN0g7TrNL4jDLyb,"+56 9 8780 6263",Diurno,Fonasa,"Part time",536356,65035,2025-02-20,684000,9,"No disponible",6033,Telde,Córdoba,2026-10-12,2026-10-12,37,772,76000,Monbus,Cama,"{Agua,Baño,Wifi}",{},,{}
"Sra. Sara Villareal Lebrón",27637253,0,srsavile@viajes.cl,sra.3082,2q68hfXuo,+56-2-3393-6914,Diurno,Banmédica,"Full time",536357,61924,2025/02/02,450000,3,"No disponible",9912,"Chiclana de la Frontera",Huelva,2025/04/15,2025/04/15,49,887,150000,"El Rápido Internacional",Cama,"{Calefacción,""Aire acondicionado"",""Asientos reclinables""}",{},,{}
"Sra. Sancho Urías Sosa",28870474,0,sra.5340@viajes.cl,Sra.sosa,DvP9VXICjtH,"+56 2 0181 1659",Diurno,Colmena,"Part time",536365,62940,2025-01-05,1344000,7,"No disponible",29364,Badalona,Granada,2025-04-21,2025-04-22,34,1696,192000,"Flecha Bus",Cama,"{""Asientos reclinables"",Calefacción,Wifi}",{},,{}
"José Luis Alva Almanza",14251467,2,JosOoalmanza@@viajes.cl,josé8665,cbAx4jThPl,"+56 9 0758 9733",Diurno,Consalud,"Part time",536373,64510,2025-05-18,3360000,10,"No disponible",43267,pamplona#,"Santa Lucía de Tirajana",2026-06-22,2026-06-24,87,3610,336000,"Deutsche Bahn (DB)",,"{Agua,Calefacción,""Aire acondicionado"",""Asientos reclinables"",Baño,Comida,TV}",{},,"{""Torrejón de Ardoz"",Granada,""Molina de Segura"",""Castellón de la Plana""}"
,10055027,,sra.3913@viajes.cl,Sra.rojo,z8FEvzEG1x,"+56 2 5780 6065",Nocturno,Consalud,,536378,69128,2025-05-24,-490000,10,"No disponible",92462,,BADAJOZ!!!,2025-07-22,2025-07-22,77,1335,,Aeroméxico,,{},"{""Castellón de la Plana""}","Clase económica",{}
"Sergio Samaniego Ramos",9530802,3,Sergioramos@viajes.cl,Sergioramos,SmM12kz8apM,"+56 2 5741 4943",Diurno,"Más vida","Full time",536379,69128,2025-06-20,2800000,10,"No disponible",96851,Badajoz,"Jerez de la Frontera",2025-07-22,2025-07-24,95,3219,280000,Ryanair,,{},"{Fuenlabrada,""Molina de Segura"",Granada}","Clase ejecutiva",{}
"Francisca Sáenz Delgado",11738398,9,frsOede@viajes.cl,Franciscadelgado,PSui8pc7MsCi,"+56 2 9629 5155",Diurno,Fonasa,"Part time",536381,61245,2025-06-19,2304000,6,"No disponible",90996,"Sanlúcar de Barrameda",Ávila,2026-01-19,2026-01-21,87,3091,384000,Eurostar,,"{Wifi,Baño,""Aire acondicionado"",Calefacción,Agua,""Asientos reclinables""}",{},,"{Benidorm,Móstoles,""Mollet del Vallés"",""Molina de Segura""}"
"Isabela Almaraz Loya",22590571,1,isallo@viajes.cl,Isabelaloya,eNjywPulDPqJ4g,"+56 9 6117 8791",Nocturno,Consalud,"Full time",536388,66088,2025-02-03,3353000,7,"No disponible",28190,Algeciras,Barcelona,2025-04-15,2025-04-17,7,3789,479000,"SNCB (Bélgica)",,"{Wifi,Comida,Baño,Calefacción,TV,Agua,""Aire acondicionado""}",{},,"{""Hospitalet de LLobregat"",Sagunto}"
"Josefina Pabón Rico",6293911,7,josefina2243@viajes.cl,jopari,JxW4jPaQxfDwUf,"+56 2 8786 1110",Nocturno,Banmédica,"Full time",536389,66088,2025-01-28,1603000,7,"No disponible",48433,Barcelona,Benalmádena,2025-04-17,2025-04-19,73,3797,229000,"Deutsche Bahn (DB)",,"{Wifi,TV,Calefacción,Baño,""Aire acondicionado"",Comida,""Asientos reclinables""}",{},,"{Salamanca,Reus,Mérida,""Sanlúcar de Barrameda""}"
"Jorge Luis Corrales Alaniz",15694726,1,jolucoal@viajes.cl,jolucoal,fz6FZ1QOf4,"+56 2 2248 5753",Nocturno,Banmédica,"Full time",536396,66088,2025-04-03,1407000,7,"No disponible",84509,Benalmádena,Badalona,2025-04-25,2025-04-27,39,3190,201000,"ÖBB (Austria)",,"{""Asientos reclinables"",Wifi,""Aire acondicionado"",Agua,Baño,TV}",{},,{}
"Miguel Yáñez Puente",16749665,2,miguel4767@viajes.cl,miyápu,vH9vKOOX3H,"+56 2 0073 1309",Nocturno,Consalud,"Full time",536404,71624,2025-02-14,406000,2,"No disponible",83513,"Dos Hermanas",Vigo,2025-02-19,2025-02-20,93,2344,203000,"NSB (Noruega)",,"{Calefacción,Wifi,Comida,""Aire acondicionado"",Agua}",{},,"{""Collado Villalba"",Telde,Estepona,""Castellón de la Plana"",Coslada}"
"Rosario Cervántez Calderón",9474132,7,RosariocalderOIn@viajes.cl,Rosariocalderón,Ppa7FEsynWTb3uZQ,"+56 9 2627 1678",Nocturno,Colmena,"Full time",536410,62370,2026-01-21,2597000,7,"No disponible",21065,Ferrol,Segovia,2026-08-23,2026-08-25,56,3596,371000,"Air Canada",,{},{Avilés},"Clase ejecutiva",{}
"Sra. Luis Vela Ozuna",5200479,9,sra.7161@viajes.ceele,srluveoz,n6BttpslS,"+56 2 2138 8705",Nocturno,Fonasa,"Part time",536411,68538,2025/03/16,336000,3,"No disponible",39811,Tarrasa,Torremolinos,2025/07/18,2025/07/19,45,2370,112000,"Condor Bus",Cama,"{Baño,Agua,TV}",{},,{}
"Florencia Gamez Arias",3134790,4,Florenciaarias@viajes.cl,florencia5166,,,Nocturno,Consalud,,536415,71738,2025-05-05,2832000,8,"No disponible",,Gerona,"El Puerto de Santa María",2026-07-03,2026-07-05,82,,354000,"TGV (SNCF)",,"{Calefacción,Agua,Comida,Baño,""Asientos reclinables"",TV,""Aire acondicionado""}",{},,"{Lorca,Ferrol,Mataró}"
"Maricarmen Rodríquez Franco",8995711,7,Maricarmenfranco@viajes.cl,Maricarmenfranco,wvPJO6m2AN893u,"+56 2 8548 1443",Nocturno,Banmédica,"Full time",536416,66157,2025-03-26,114000,1,"No disponible",93383,Valencia,Fuengirola,2025-07-09,2025-07-10,58,1724,114000,Trenitalia,,"{Wifi,Calefacción,""Asientos reclinables"",Agua}",{},,"{Estepona,Torrelavega,Calahorra,Vitoria}"
"José Luis Véliz Cepeda",29127478,1,josOo7730@viajes.cl,joluvéce,AeGsBEjbvDl04,"+56 9 0802 8883",Diurno,"Más vida","Full time",536417,70574,2026-09-09,1566000,9,"No disponible",32509,Bilbao,"Cerdañola del Vallés",2026-10-05,2026-10-05,49,672,174000,"Buses Nilahue",Cama,"{""Aire acondicionado"",Agua,Wifi}",{},,{}
"Ramón Casares Sepúlveda",13908721,6,RamOInsepOUlveda@viajes.cl,racase,o2Orhhy3Ahw5Ydlf,"+56 2 4098 2055",Nocturno,Consalud,"Part time",536418,70574,2026-06-28,369000,9,"No disponible",39703,"Cerdañola del Vallés",Majadahonda,2026-10-05,2026-10-05,39,502,41000,ADO,Semi-cama,"{Wifi,Baño,Agua}",{},,{}
