id,agenda_id,fecha,monto,cantidad_personas,estado_disponibilidad,puntos_booked,correo_empleado,lugar_origen,lugar_llegada,capacidad,tiempo_estimado,precio_asiento,empresa,fecha_salida,fecha_llegada,comodidades,paradas
147851,,,,,Disponible,0,alfonso9925642@viajes.cl,Majadahonda,Chiclana de la Frontera,,2565,267000,Lufthansa,2025-04-02,2025-07-17,{},
144323,59801,2025-08-17,1413000,9,No disponible,1413,alirsa833@viajes.cl,Pamplona,León,45,2973,157000,Pullman Bus,2026-09-28,2026-09-30,"{Baño,Agua,Comida}",
144967,,,,,Disponible,0,almomo841@viajes.cl,Alcobendas,Santiago de Compostela,37,3285,141000,Andesmar,2025-01-20,,"{Calefacción,Agua,Comida}",
83588,58673,2025-06-29,2493000,9,No disponible,2493,amalia1638984@viajes.cl,Orense,Torrevieja,86,2248,277000,Southwest Airlines,2026-11-26,2026-11-27,{},
118297,59475,2025-03-10,840000,8,No disponible,840,ana1890804@viajes.cl,Torrevieja,La Línea de la Concepción,32,724,105000,Aeroméxico,2025-03-16,2025-03-16,{},
145883,,,,,Disponible,0,ana2996618@viajes.cl,Almería,,48,3015,183000,Condor Bus,2026-04-22,,"{Wifi,Agua,""Asientos reclinables""}",
107022,57203,2025-09-05,660000,2,No disponible,660,angoac972@viajes.cl,Orihuela,Cádiz,17,3564,330000,Spirit Airlines,2025-11-06,2025-11-08,{},
147789,,,,,Disponible,0,arabma748@viajes.cl,Murcia,Segovia,58,3534,287000,Delta Air Lines,2025-09-29,2026-02-23,{},
99717,65848,2025-02-27,1472000,8,No disponible,1472,benjamín9439784@viajes.cl,Córdoba,Benalmádena,34,3803,184000,BoltBus,2025-08-28,2025-08-30,"{Calefacción,Comida,Agua}",
86248,57991,2025-01-06,180000,10,No disponible,180,bepaba265@viajes.cl,Zamora,Benalmádena,97,535,18000,Alaska Airlines,2026-02-09,2026-02-09,{},
145181,,,,,Disponible,0,carlos3776747@viajes.cl,Benidorm,Coslada,40,481,131000,El Rápido Internacional,2025-03-08,,"{""Asientos reclinables"",Agua,""Aire acondicionado""}",
149734,,,,,Disponible,0,cecapa266@viajes.cl,San Fernando,Cerdañola del Vallés,23,2891,119000,NSB (Noruega),2025-08-04,2025-12-02,"{Wifi,Agua,""Asientos reclinables"",Baño,Comida,""Aire acondicionado""}",
146509,,,,,Disponible,0,cristian8155942@viajes.cl,Santa Lucía de Tirajana,Reus,35,1474,76000,EME Bus,2026-09-30,,"{Baño,""Asientos reclinables"",""Aire acondicionado""}",
126142,61908,2026-03-18,1080000,8,No disponible,1080,cristina9421356@viajes.cl,,,45,981,135000,Monbus,2026-09-30,2026-09-30,"{Agua,Calefacción,""Aire acondicionado""}",
140621,57652,2025-05-25,1578000,6,No disponible,1578,cristobal8378989@viajes.cl,Móstoles,Paterna,19,2674,263000,Frontier Airlines,2026-03-18,2026-03-19,{},
126334,62505,2025-07-19,231000,3,No disponible,231,fesoma882@viajes.cl,Burgos,Mérida,91,1061,77000,BDZ (Bulgaria),2026-01-04,2026-01-04,"{Agua,""Asientos reclinables"",Calefacción}",
125859,58818,2025-01-02,725000,5,No disponible,725,gabriel9153539@viajes.cl,Tarragona,Arrecife,49,2377,145000,Greyhound,2025-01-11,2025-01-12,"{Comida,Wifi,""Asientos reclinables""}",
94093,57118,2025-06-09,2970000,6,No disponible,2970,huciap119@viajes.cl,Motril,Zamora,23,4255,495000,Qantas,2026-09-08,2026-09-10,{},
94816,55947,2025-08-27,180000,2,No disponible,180,iscamo647@viajes.cl,Zaragoza,Toledo,56,1801,90000,HŽ (Croacia),2025-11-21,2025-11-22,"{""Asientos reclinables"",Agua,Baño,""Aire acondicionado""}",
145344,,,,,Disponible,0,jabani241@viajes.cl,,Ferrol,40,1409,178000,FlixBus,2025-02-12,,"{""Asientos reclinables"",""Aire acondicionado"",Calefacción}",
147242,,,,,Disponible,0,jamava511@viajes.cl,Estepona,Sevilla,23,1090,65000,Lufthansa,2026-02-02,2026-03-19,{},
147475,,,,,Disponible,0,jerónimo9185109@viajes.cl,Cáceres,Chiclana de la Frontera,85,3815,216000,EasyJet,2025-02-05,2025-07-13,{},
147370,,,,,Disponible,0,joedmopo307@viajes.cl,Palencia,Rivas-Vaciamadrid,56,3046,145000,EasyJet,2025-04-22,2025-08-26,{},
93452,60352,2025-01-09,260000,2,No disponible,260,jomacaol823@viajes.cl,Lérida,Calahorra,16,595,130000,WestJet,2025-02-08,2025-02-08,{},
141210,56413,2025-05-31,945000,9,No disponible,945,josé6262364@viajes.cl,Granollers,Palma de Mallorca,50,3334,105000,Buses Bio Bio,2025-08-14,2025-08-16,,
87466,66390,2025-03-03,1780000,10,No disponible,1780,juan5148253@viajes.cl,Sevilla,Hospitalet de LLobregat,56,1551,178000,MÁV (Hungría),2025-10-14,2025-10-15,"{Calefacción,Wifi,Agua,Comida}",
122932,60280,2025-05-17,1476000,9,No disponible,1476,lijáca667@viajes.cl,Puertollano,Zaragoza,49,4196,164000,Damas,2025-11-07,2025-11-09,"{""Asientos reclinables"",Baño,""Aire acondicionado""}",
129771,64201,2025-07-16,578000,2,No disponible,578,liágmi129@viajes.cl,Lérida,Telde,32,2426,289000,Thalys,2026-03-27,2026-03-28,"{""Asientos reclinables"",Wifi,Comida,TV,Calefacción}",
132498,56787,2026-03-17,1512000,7,No disponible,1512,losema775@viajes.cl,Huelva,Guadalajara,75,2789,216000,VR (Finlandia),2026-03-22,2026-03-23,,
146385,,,,,Disponible,0,lualba442@viajes.cl,Gecho,Orense,42,3040,75000,Turbus,2025-03-11,,"{Baño,Wifi,Agua}",
149714,,,,,Disponible,0,manuel2099816@viajes.cl,Collado Villalba,Alcorcón,5,1530,141000,DSB (Dinamarca),2025-09-18,2025-11-20,"{Comida,""Asientos reclinables"",""Aire acondicionado"",Wifi}",
92929,57998,2025-04-25,1700000,10,No disponible,1700,maría8269925@viajes.cl,Torremolinos,,26,518,170000,SJ (Suecia),2025-07-12,2025-07-12,{},
145399,,,,,Disponible,0,mayte2420464@viajes.cl,Castellón de la Plana,Lugo,39,4137,69000,ETN Turistar,2025-07-05,,"{Agua,""Aire acondicionado"",Baño}",
99104,56691,2025-03-10,400000,2,No disponible,400,olivia854628@viajes.cl,Lérida,Zaragoza,77,1963,200000,JetBlue,2025-07-23,2025-07-24,{},
147991,,,,,Disponible,0,picaba895@viajes.cl,Vitoria,Paterna,48,4012,430000,Ethiopian Airlines,2025-04-14,2025-09-28,{},
127521,62536,2025-01-16,480000,5,No disponible,480,ramona1701167@viajes.cl,Chiclana de la Frontera,Collado Villalba,40,372,96000,Flecha Bus,2025-04-28,2025-04-28,"{Agua,Comida,Wifi}",
128700,55880,2025-01-03,915000,5,No disponible,915,ramón7363256@viajes.cl,Collado Villalba,Elche,50,3460,183000,Flecha Bus,2025-01-06,2025-01-08,"{Agua,TV,Wifi}",
119313,66366,2025-03-24,1269000,9,No disponible,1269,ravime379@viajes.cl,Pozuelo de Alarcón,Lorca,32,491,141000,Damas,2025-10-18,2025-10-18,"{""Asientos reclinables"",TV,Baño}",
104498,58014,2025-12-15,1432000,8,No disponible,1432,raúl9381742@viajes.cl,Oviedo,Burgos,49,2754,179000,Avanza,2026-01-14,2026-01-15,"{TV,Baño,Calefacción}",
147656,,,,,Disponible,0,rigipa534@viajes.cl,Sagunto,Alcalá de Henares,57,2151,126000,British Airways,2026-05-23,2026-08-20,{},
134982,65138,2025-01-03,544000,2,No disponible,544,sr.2527428@viajes.cl,Ferrol,Logroño,15,2171,272000,PKP (Polonia),2025-01-18,2025-01-19,"{TV,""Asientos reclinables"",Agua,Wifi,Comida}",
91650,63940,2025-03-17,530000,5,No disponible,530,sr.2886831@viajes.cl,Santa Lucía de Tirajana,Majadahonda,37,1682,106000,Estrella Roja,2026-02-06,2026-02-07,"{TV,""Aire acondicionado"",""Asientos reclinables""}",
147284,,,,,Disponible,0,sr.8656807@viajes.cl,San Sebastían de los Reyes,El Puerto de Santa María,45,980,54000,United Airlines,2025-12-25,2026-02-03,{},
89379,65118,2025-01-27,372000,3,No disponible,372,sra.5633370@viajes.cl,Murcia,Toledo,48,1523,124000,Condor Bus,2026-09-06,2026-09-07,"{Comida,Baño,""Aire acondicionado""}",
105580,63355,2025-03-25,705000,5,No disponible,705,sra.8023957@viajes.cl,Elda,Mérida,40,779,141000,Monbus,2025-07-05,2025-07-05,"{Comida,""Aire acondicionado"",Baño}",
86848,62303,2025-06-30,162000,6,No disponible,162,sralbabu154@viajes.cl,Sanlúcar de Barrameda,Rivas-Vaciamadrid,57,417,27000,EasyJet,2026-06-09,2026-06-09,{},
110930,57872,2026-02-11,458000,2,No disponible,458,srdaalco692@viajes.cl,Burgos,Leganés,42,2543,229000,Deutsche Bahn (DB),2026-07-10,2026-07-11,"{Calefacción,Wifi,Comida,TV,Agua}",
94942,58022,2025-03-02,1060000,10,No disponible,1060,srgepili368@viajes.cl,Burgos,Alcorcón,87,2128,106000,Frontier Airlines,2025-03-23,2025-03-24,{},
147823,,,,,Disponible,0,srluququ687@viajes.cl,Torrelavega,Ceuta,89,596,68000,,2025-08-03,2025-08-27,{},
139779,62714,2025-04-09,620000,4,No disponible,620,srmajopémi861@viajes.cl,La Coruña,San Fernando,9,3670,155000,TGV (SNCF),2025-12-27,2025-12-29,"{Comida,Agua,Calefacción,Baño,""Asientos reclinables"",TV,Wifi}",
136484,59846,2025-06-30,780000,4,No disponible,780,srnisolu819@viajes.cl,Ceuta,Alcalá de Guadaira,33,1982,195000,Primera Plus,2025-08-25,2025-08-26,"{Agua,Wifi,Calefacción}",
141211,62504,2025-08-30,133000,1,No disponible,133,sta.4527340@viajes.cl,Inca,Burgos,39,4286,133000,Buses Romani,2026-05-07,2026-05-09,"{TV,Baño,""Asientos reclinables""}",
122486,65380,2025-08-06,105000,3,No disponible,105,stararal347@viajes.cl,Parla,,94,125,35000,Trenitalia,2025-10-10,2025-10-10,{},
145361,,,,,Disponible,0,Ceciliaflórez371@viajes.cl,Motril,Ceuta,42,3464,133000,El Rápido Internacional,2026-10-06,,"{Baño,""Asientos reclinables"",""Aire acondicionado""}",
119887,59735,2025-08-29,447000,3,No disponible,447,Doloresvanegas563@viajes.cl,Huelva,Baracaldo,37,1265,149000,Plusmar,2026-09-17,,"{""Aire acondicionado"",Wifi,Calefacción}",
146353,,,,,Disponible,0,Gracielachacón334@viajes.cl,Granollers,Parla,46,4013,65000,Chevallier,2025-03-31,,"{""Asientos reclinables"",Wifi,TV}",
145192,,,,,Disponible,0,Guillerminaprado737@viajes.cl,Paterna,Málaga,34,3937,136000,Via Bariloche,2026-05-12,,"{TV,""Asientos reclinables"",Agua}",
88083,58740,2026-01-10,540000,10,No disponible,540,Jerónimolara380@viajes.cl,Gandía,Zaragoza,48,3178,54000,Alsa,2026-07-02,2026-07-04,"{Agua,""Asientos reclinables"",Comida}",
114558,62289,2026-08-05,644000,4,No disponible,644,Julioprieto485@viajes.cl,Gerona,Badalona,42,1792,161000,Condor Bus,2026-11-11,2026-11-12,"{Baño,Agua,Comida}",
97137,57982,2025-04-23,1557000,9,No disponible,1557,Luisasalazar159@viajes.cl,Guadalajara,Alcorcón,33,1011,173000,,2026-09-25,2026-09-25,"{Comida,TV,""Aire acondicionado""}",
94419,62052,2026-05-05,920000,8,No disponible,920,Raúlcorrales716@viajes.cl,Oviedo,San Cristróbal de la Laguna,45,2583,115000,Turbus,2026-08-12,2026-08-13,"{Comida,Calefacción,Agua}",
113760,59656,2025-12-18,390000,6,No disponible,390,Sr.cornejo722@viajes.cl,Cáceres,Coslada,32,4064,65000,JetSur,2026-03-22,2026-03-24,"{Baño,""Aire acondicionado"",Agua}",
133324,61233,2025-08-12,392000,2,No disponible,392,Sra.porras732@viajes.cl,Sanlúcar de Barrameda,,43,2795,196000,Turbus,2026-09-01,2026-09-02,"{Baño,""Aire acondicionado"",""Asientos reclinables""}",
142684,62049,2025-03-11,300000,6,No disponible,300,Timoteolara285@viajes.cl,León,Cornellá de Llobregat,45,1803,50000,Alsa,2026-11-01,2026-11-02,"{""Asientos reclinables"",Wifi,Comida}",
123615,57720,2025-01-17,195000,3,No disponible,195,Vicenteangulo491@viajes.cl,Málaga,Getafe,34,324,65000,Turbus,2025-02-10,2025-02-10,"{""Asientos reclinables"",""Aire acondicionado"",Baño}",
145806,,,,,Disponible,0,adán8981286@viajes.cl,Granollers,Orense,32,3175,132000,ADO,2026-04-24,,"{Agua,Wifi,TV}",
144323,59801,2025-08-17,1413000,9,No disponible,1413,alirsa833@viajes.cl,Pamplona,León,45,2973,157000,Pullman Bus,2026-09-28,2026-09-30,"{Baño,Agua,Comida}",
144967,,,,,Disponible,0,almomo841@viajes.cl,Alcobendas,Santiago de Compostela,37,3285,141000,Andesmar,2025-01-20,,"{Calefacción,Agua,Comida}",
145883,,,,,Disponible,0,ana2996618@viajes.cl,Almería,,48,3015,183000,Condor Bus,2026-04-22,,"{Wifi,Agua,""Asientos reclinables""}",
99717,65848,2025-02-27,1472000,8,No disponible,1472,benjamín9439784@viajes.cl,Córdoba,Benalmádena,34,3803,184000,BoltBus,2025-08-28,2025-08-30,"{Calefacción,Comida,Agua}",
145181,,,,,Disponible,0,carlos3776747@viajes.cl,Benidorm,Coslada,40,481,131000,El Rápido Internacional,2025-03-08,,"{""Asientos reclinables"",Agua,""Aire acondicionado""}",
146509,,,,,Disponible,0,cristian8155942@viajes.cl,Santa Lucía de Tirajana,Reus,35,1474,76000,EME Bus,2026-09-30,,"{Baño,""Asientos reclinables"",""Aire acondicionado""}",
126142,61908,2026-03-18,1080000,8,No disponible,1080,cristina9421356@viajes.cl,,,45,981,135000,Monbus,2026-09-30,2026-09-30,"{Agua,Calefacción,""Aire acondicionado""}",
125859,58818,2025-01-02,725000,5,No disponible,725,gabriel9153539@viajes.cl,Tarragona,Arrecife,49,2377,145000,Greyhound,2025-01-11,2025-01-12,"{Comida,Wifi,""Asientos reclinables""}",
145344,,,,,Disponible,0,jabani241@viajes.cl,,Ferrol,40,1409,178000,FlixBus,2025-02-12,,"{""Asientos reclinables"",""Aire acondicionado"",Calefacción}",
141210,56413,2025-05-31,945000,9,No disponible,945,josé6262364@viajes.cl,Granollers,Palma de Mallorca,50,3334,105000,Buses Bio Bio,2025-08-14,2025-08-16,,
122932,60280,2025-05-17,1476000,9,No disponible,1476,lijáca667@viajes.cl,Puertollano,Zaragoza,49,4196,164000,Damas,2025-11-07,2025-11-09,"{""Asientos reclinables"",Baño,""Aire acondicionado""}",
146385,,,,,Disponible,0,lualba442@viajes.cl,Gecho,Orense,42,3040,75000,Turbus,2025-03-11,,"{Baño,Wifi,Agua}",
145399,,,,,Disponible,0,mayte2420464@viajes.cl,Castellón de la Plana,Lugo,39,4137,69000,ETN Turistar,2025-07-05,,"{Agua,""Aire acondicionado"",Baño}",
127521,62536,2025-01-16,480000,5,No disponible,480,ramona1701167@viajes.cl,Chiclana de la Frontera,Collado Villalba,40,372,96000,Flecha Bus,2025-04-28,2025-04-28,"{Agua,Comida,Wifi}",
128700,55880,2025-01-03,915000,5,No disponible,915,ramón7363256@viajes.cl,Collado Villalba,Elche,50,3460,183000,Flecha Bus,2025-01-06,2025-01-08,"{Agua,TV,Wifi}",
119313,66366,2025-03-24,1269000,9,No disponible,1269,ravime379@viajes.cl,Pozuelo de Alarcón,Lorca,32,491,141000,Damas,2025-10-18,2025-10-18,"{""Asientos reclinables"",TV,Baño}",
104498,58014,2025-12-15,1432000,8,No disponible,1432,raúl9381742@viajes.cl,Oviedo,Burgos,49,2754,179000,Avanza,2026-01-14,2026-01-15,"{TV,Baño,Calefacción}",
91650,63940,2025-03-17,530000,5,No disponible,530,sr.2886831@viajes.cl,Santa Lucía de Tirajana,Majadahonda,37,1682,106000,Estrella Roja,2026-02-06,2026-02-07,"{TV,""Aire acondicionado"",""Asientos reclinables""}",
105580,63355,2025-03-25,705000,5,No disponible,705,sra.8023957@viajes.cl,Elda,Mérida,40,779,141000,Monbus,2025-07-05,2025-07-05,"{Comida,""Aire acondicionado"",Baño}",
136484,59846,2025-06-30,780000,4,No disponible,780,srnisolu819@viajes.cl,Ceuta,Alcalá de Guadaira,33,1982,195000,Primera Plus,2025-08-25,2025-08-26,"{Agua,Wifi,Calefacción}",
141211,62504,2025-08-30,133000,1,No disponible,133,sta.4527340@viajes.cl,Inca,Burgos,39,4286,133000,Buses Romani,2026-05-07,2026-05-09,"{TV,Baño,""Asientos reclinables""}",
145361,,,,,Disponible,0,Ceciliaflórez371@viajes.cl,Motril,Ceuta,42,3464,133000,El Rápido Internacional,2026-10-06,,"{Baño,""Asientos reclinables"",""Aire acondicionado""}",
119887,59735,2025-08-29,447000,3,No disponible,447,Doloresvanegas563@viajes.cl,Huelva,Baracaldo,37,1265,149000,Plusmar,2026-09-17,,"{""Aire acondicionado"",Wifi,Calefacción}",
146353,,,,,Disponible,0,Gracielachacón334@viajes.cl,Granollers,Parla,46,4013,65000,Chevallier,2025-03-31,,"{""Asientos reclinables"",Wifi,TV}",
145192,,,,,Disponible,0,Guillerminaprado737@viajes.cl,Paterna,Málaga,34,3937,136000,Via Bariloche,2026-05-12,,"{TV,""Asientos reclinables"",Agua}",
88083,58740,2026-01-10,540000,10,No disponible,540,Jerónimolara380@viajes.cl,Gandía,Zaragoza,48,3178,54000,Alsa,2026-07-02,2026-07-04,"{Agua,""Asientos reclinables"",Comida}",
114558,62289,2026-08-05,644000,4,No disponible,644,Julioprieto485@viajes.cl,Gerona,Badalona,42,1792,161000,Condor Bus,2026-11-11,2026-11-12,"{Baño,Agua,Comida}",
97137,57982,2025-04-23,1557000,9,No disponible,1557,Luisasalazar159@viajes.cl,Guadalajara,Alcorcón,33,1011,173000,,2026-09-25,2026-09-25,"{Comida,TV,""Aire acondicionado""}",
94419,62052,2026-05-05,920000,8,No disponible,920,Raúlcorrales716@viajes.cl,Oviedo,San Cristróbal de la Laguna,45,2583,115000,Turbus,2026-08-12,2026-08-13,"{Comida,Calefacción,Agua}",
113760,59656,2025-12-18,390000,6,No disponible,390,Sr.cornejo722@viajes.cl,Cáceres,Coslada,32,4064,65000,JetSur,2026-03-22,2026-03-24,"{Baño,""Aire acondicionado"",Agua}",
133324,61233,2025-08-12,392000,2,No disponible,392,Sra.porras732@viajes.cl,Sanlúcar de Barrameda,,43,2795,196000,Turbus,2026-09-01,2026-09-02,"{Baño,""Aire acondicionado"",""Asientos reclinables""}",
142684,62049,2025-03-11,300000,6,No disponible,300,Timoteolara285@viajes.cl,León,Cornellá de Llobregat,45,1803,50000,Alsa,2026-11-01,2026-11-02,"{""Asientos reclinables"",Wifi,Comida}",
123615,57720,2025-01-17,195000,3,No disponible,195,Vicenteangulo491@viajes.cl,Málaga,Getafe,34,324,65000,Turbus,2025-02-10,2025-02-10,"{""Asientos reclinables"",""Aire acondicionado"",Baño}",
145806,,,,,Disponible,0,adán8981286@viajes.cl,Granollers,Orense,32,3175,132000,ADO,2026-04-24,,"{Agua,Wifi,TV}",
144323,59801,2025-08-17,1413000,9,No disponible,1413,alirsa833@viajes.cl,Pamplona,León,45,2973,157000,Pullman Bus,2026-09-28,2026-09-30,"{Baño,Agua,Comida}",
144967,,,,,Disponible,0,almomo841@viajes.cl,Alcobendas,Santiago de Compostela,37,3285,141000,Andesmar,2025-01-20,,"{Calefacción,Agua,Comida}",
145883,,,,,Disponible,0,ana2996618@viajes.cl,Almería,,48,3015,183000,Condor Bus,2026-04-22,,"{Wifi,Agua,""Asientos reclinables""}",
99717,65848,2025-02-27,1472000,8,No disponible,1472,benjamín9439784@viajes.cl,Córdoba,Benalmádena,34,3803,184000,BoltBus,2025-08-28,2025-08-30,"{Calefacción,Comida,Agua}",
145181,,,,,Disponible,0,carlos3776747@viajes.cl,Benidorm,Coslada,40,481,131000,El Rápido Internacional,2025-03-08,,"{""Asientos reclinables"",Agua,""Aire acondicionado""}",
146509,,,,,Disponible,0,cristian8155942@viajes.cl,Santa Lucía de Tirajana,Reus,35,1474,76000,EME Bus,2026-09-30,,"{Baño,""Asientos reclinables"",""Aire acondicionado""}",
126142,61908,2026-03-18,1080000,8,No disponible,1080,cristina9421356@viajes.cl,,,45,981,135000,Monbus,2026-09-30,2026-09-30,"{Agua,Calefacción,""Aire acondicionado""}",
125859,58818,2025-01-02,725000,5,No disponible,725,gabriel9153539@viajes.cl,Tarragona,Arrecife,49,2377,145000,Greyhound,2025-01-11,2025-01-12,"{Comida,Wifi,""Asientos reclinables""}",
145344,,,,,Disponible,0,jabani241@viajes.cl,,Ferrol,40,1409,178000,FlixBus,2025-02-12,,"{""Asientos reclinables"",""Aire acondicionado"",Calefacción}",
141210,56413,2025-05-31,945000,9,No disponible,945,josé6262364@viajes.cl,Granollers,Palma de Mallorca,50,3334,105000,Buses Bio Bio,2025-08-14,2025-08-16,,
122932,60280,2025-05-17,1476000,9,No disponible,1476,lijáca667@viajes.cl,Puertollano,Zaragoza,49,4196,164000,Damas,2025-11-07,2025-11-09,"{""Asientos reclinables"",Baño,""Aire acondicionado""}",
146385,,,,,Disponible,0,lualba442@viajes.cl,Gecho,Orense,42,3040,75000,Turbus,2025-03-11,,"{Baño,Wifi,Agua}",
145399,,,,,Disponible,0,mayte2420464@viajes.cl,Castellón de la Plana,Lugo,39,4137,69000,ETN Turistar,2025-07-05,,"{Agua,""Aire acondicionado"",Baño}",
127521,62536,2025-01-16,480000,5,No disponible,480,ramona1701167@viajes.cl,Chiclana de la Frontera,Collado Villalba,40,372,96000,Flecha Bus,2025-04-28,2025-04-28,"{Agua,Comida,Wifi}",
128700,55880,2025-01-03,915000,5,No disponible,915,ramón7363256@viajes.cl,Collado Villalba,Elche,50,3460,183000,Flecha Bus,2025-01-06,2025-01-08,"{Agua,TV,Wifi}",
119313,66366,2025-03-24,1269000,9,No disponible,1269,ravime379@viajes.cl,Pozuelo de Alarcón,Lorca,32,491,141000,Damas,2025-10-18,2025-10-18,"{""Asientos reclinables"",TV,Baño}",
