id,agenda_id,fecha,monto,cantidad_personas,estado_disponibilidad,puntos_booked,correo_empleado,lugar_origen,lugar_llegada,capacidad,tiempo_estimado,precio_asiento,empresa,fecha_salida,fecha_llegada,comodidades,tipo_bus
105670,60488,2025-01-27,3830000,10,No disponible,3830,Marcocortez795@viajes.cl,Santander,Alicante,52,3204,383000,Etihad Airways,2025-06-08,2025-06-10,{},
122529,61791,2026-04-02,1210000,10,No disponible,1210,Marcoharo601@viajes.cl,Albacete,Alcoy,47,3493,121000,Spirit Airlines,2026-04-05,2026-04-07,{},
121637,60051,2025-05-10,892000,4,No disponible,892,Marcoscorrales762@viajes.cl,Fuengirola,Fuengirola,10,2369,223000,Air France,2026-02-18,,{},
149128,,,,,Disponible,0,Marcosledesma340@viajes.cl,Las Palmas de Gran Canaria,Coslada,77,2296,237000,Eurostar,2026-05-05,2026-08-08,"{""Asientos reclinables"",Wifi,Calefacción,""Aire acondicionado"",Comida}",
146130,,,,,Disponible,0,Marianoheredia641@viajes.cl,Ceuta,Lugo,37,1471,180000,Alsa,2026-08-15,,"{Agua,Wifi,Comida}",
107168,55812,2025-02-01,131000,1,No disponible,131,Maríabecerra494@viajes.cl,La Coruña,Barcelona,1,3075,131000,SJ (Suecia),2026-03-26,2026-03-28,"{TV,""Asientos reclinables"",Calefacción,""Aire acondicionado"",Agua,Wifi}",
118521,59229,2026-09-12,752000,8,No disponible,752,Maríacavazos182@viajes.cl,Cádiz,Lugo,81,166,94000,United Airlines,2026-11-27,2026-11-27,{},
150009,,,,,Disponible,0,Maríadelrío618@viajes.cl,Gijón,Orihuela,86,3780,378000,NSB (Noruega),2026-06-07,2026-11-11,"{Comida,""Aire acondicionado"",Wifi,TV,Agua,""Asientos reclinables"",Calefacción}",
143692,56836,2025-03-08,895000,5,No disponible,895,Maríadelvalle249@viajes.cl,Paterna,Estepona,42,1764,179000,ZS (Eslovenia),2025-03-16,2025-03-17,"{""Aire acondicionado"",Agua,Calefacción,TV}",
93677,66319,2025-01-02,4482000,9,No disponible,4482,Maríaespinoza975@viajes.cl,Torremolinos,Jaén,63,4102,498000,SBB (Suiza),2025-02-16,2025-02-18,"{Calefacción,TV,Agua,Wifi,""Asientos reclinables"",Comida,""Aire acondicionado""}",
89656,65703,2025-01-23,1421000,7,No disponible,1421,Maríarubio434@viajes.cl,Gerona,Córdoba,57,3021,203000,Ethiopian Airlines,2026-07-20,2026-07-22,,
104542,62830,2025-06-17,1456000,8,No disponible,1456,Maríasaldivar717@viajes.cl,Ponferrada,Roquetas de Mar,,2850,182000,DSB (Dinamarca),2026-01-31,2026-02-01,"{Wifi,Baño,Calefacción,""Aire acondicionado"",TV}",
107995,64659,2025-06-18,2830000,10,No disponible,2830,Mateofarías500@viajes.cl,Zamora,Santa Cruz de Tenerife,75,2879,283000,AVE,2025-08-31,2025-09-01,,
104328,62019,2025-06-12,1116000,6,No disponible,1116,Mayteaponte518@viajes.cl,Sanlúcar de Barrameda,Murcia,12,1655,186000,SBB (Suiza),2026-01-01,2026-01-02,,
114505,60837,2025-04-07,2051000,7,No disponible,2051,Octaviosanches648@viajes.cl,Zamora,Puertollano,88,2519,293000,,2025-10-18,2025-10-19,"{""Aire acondicionado"",TV,Comida,Baño,Wifi}",
88099,61215,2025-04-27,2574000,9,No disponible,2574,Pablonaranjo381@viajes.cl,Lugo,Benidorm,26,2812,286000,Spirit Airlines,2026-05-31,2026-06-01,{},
147853,,,,,Disponible,0,Patriciocerda695@viajes.cl,Reus,Huelva,62,3984,461000,,2025-02-09,2025-07-25,{},
115608,55955,2026-04-22,3008000,8,No disponible,3008,Pedrolugo488@viajes.cl,Vitoria,Sagunto,26,3227,376000,Air France,2026-05-05,2026-05-07,{},
137129,65042,2025-02-09,690000,10,No disponible,690,Pedromondragón963@viajes.cl,Torremolinos,Avilés,73,1752,69000,AVE,2025-02-11,2025-02-12,"{TV,Baño,Calefacción,Comida}",
128214,62236,2025-08-08,276000,1,No disponible,276,Ramirobarajas244@viajes.cl,Guadalajara,Molina de Segura,19,3562,276000,ŽFBH (Bosnia y Herzegovina),2026-03-25,2026-03-27,"{Comida,Agua,TV,""Aire acondicionado"",Wifi,Baño}",
148438,,,,,Disponible,0,Ramónverduzco522@viajes.cl,El Prat de LLobregat,Cuenta,78,874,69000,EasyJet,2025-09-12,2025-10-18,{},
149950,,,,,Disponible,0,Raquellira938@viajes.cl,,Almería,38,499,80000,,2025-09-29,2025-10-19,"{Wifi,TV,Baño,""Aire acondicionado"",Calefacción,Comida}",
129605,59142,2026-08-14,550000,10,No disponible,550,Raquelvillalobos916@viajes.cl,San Sebastián,Burgos,56,1321,55000,Air New Zealand,2026-10-23,2026-10-23,{},
148111,,,,,Disponible,0,Raúlbadillo577@viajes.cl,Torrevieja,Dos Hermanas,94,2127,89000,EasyJet,2025-05-30,2025-08-26,{},
117635,59163,2025-02-01,3105000,9,No disponible,3105,Robertosandoval817@viajes.cl,El Ejido,Móstoles,4,3619,345000,Lufthansa,2025-03-27,2025-03-29,{},
147501,,,,,Disponible,0,Rocioanguiano798@viajes.cl,Elda,Albacete,81,1384,86000,Aeroméxico,2026-07-27,2026-09-22,{},
130107,61049,2025-05-07,56000,1,No disponible,56,Rociomuro732@viajes.cl,Benalmádena,Segovia,91,1039,56000,ŽSSK (Eslovaquia),2026-04-14,2026-04-14,"{Wifi,Baño,Calefacción}",
102577,59540,2025-02-25,262000,2,No disponible,262,Rodrigosolís188@viajes.cl,Alicante,Lérida,96,3387,131000,Nederlandse Sp,2025-04-27,2025-04-29,"{Agua,Calefacción,""Aire acondicionado"",Wifi,""Asientos reclinables"",TV}",
92671,56790,2025-07-18,414000,3,No disponible,414,Rosaceballos545@viajes.cl,Logroño,,65,2277,138000,PKP (Polonia),2026-05-13,2026-05-14,"{Baño,Comida,""Asientos reclinables"",TV,Wifi}",
105115,56546,2025-05-08,124000,2,No disponible,124,Rubéngracia541@viajes.cl,Mollet del Vallés,Motril,39,4200,62000,Buses Nilahue,2025-11-21,2025-11-23,"{TV,Agua,Comida}",
143677,62411,2025-03-14,560000,7,No disponible,560,Samuelmenéndez181@viajes.cl,Alicante,Santa Cruz de Tenerife,1,2706,80000,Qatar Airways,2025-09-02,2025-09-03,{},
126014,65399,2026-06-02,408000,4,No disponible,408,Sanchobétancourt392@viajes.cl,Alicante,Vigo,95,258,102000,Wizz Air,2026-10-18,2026-10-18,{},
122661,64807,2025-08-04,253000,1,No disponible,253,Sanchoponce341@viajes.cl,Benalmádena,Jaén,90,3290,253000,Air France,2025-08-29,2025-08-31,{},
112021,65865,2025-03-23,805000,7,No disponible,805,Santiagorivas862@viajes.cl,Ávila,Torremolinos,99,2222,115000,VR (Finlandia),2026-06-29,2026-06-30,"{""Asientos reclinables"",TV,""Aire acondicionado"",Calefacción,Wifi}",
124824,57022,2025-04-10,2810000,10,No disponible,2810,Sergioromo646@viajes.cl,Alcalá de Henares,Rubí,50,2815,281000,Air New Zealand,2025-09-06,2025-09-07,{},
118018,60246,2025-08-12,560000,10,No disponible,560,Silviaarreola496@viajes.cl,Santa Lucía de Tirajana,Oviedo,83,417,56000,ŽFBH (Bosnia y Herzegovina),2026-08-19,2026-08-19,{},
102077,60499,2025-02-18,970000,5,No disponible,970,Silviasantacruz103@viajes.cl,Zamora,Zaragoza,82,3880,194000,Alaska Airlines,2025-12-12,2025-12-14,{},
149507,,,,,Disponible,0,Sofiaportillo314@viajes.cl,Gijón,Palencia,67,199,29000,TGV (SNCF),2026-07-05,2026-07-13,"{Calefacción,TV,""Asientos reclinables""}",
147544,,,,,Disponible,0,Sr.adorno886@viajes.cl,La Coruña,Granada,1,1399,43000,LATAM Airlines,2025-07-29,2025-09-25,{},
149778,,,,,Disponible,0,Sr.castañeda350@viajes.cl,Ferrol,Torremolinos,85,767,56000,SNCB (Bélgica),2026-11-22,2026-12-23,"{TV,Wifi,""Asientos reclinables""}",
127539,60407,2025-01-28,702000,6,No disponible,702,Sr.limón373@viajes.cl,Parla,Majadahonda,57,834,117000,Frontier Airlines,2026-09-18,2026-09-18,{},
149566,,,,,Disponible,0,Sr.soliz253@viajes.cl,Palencia,Leganés,43,3333,226000,Nederlandse Sp,2026-01-10,2026-05-28,"{Baño,Comida,TV,""Aire acondicionado"",Agua,Wifi}",
131950,60687,2025-12-17,1280000,10,No disponible,1280,Sr.treviño590@viajes.cl,Gandía,San Sebastían de los Reyes,79,1347,128000,NSB (Noruega),2026-05-12,2026-05-12,"{""Aire acondicionado"",TV,Agua}",
105407,60865,2026-08-11,524000,4,No disponible,524,Sra.collado965@viajes.cl,Getafe,Reus,37,3186,131000,Omnibus de México,2026-10-20,2026-10-22,"{Calefacción,Baño,""Asientos reclinables""}",
133857,65982,2025-12-13,1610000,7,No disponible,1610,Sra.escamilla417@viajes.cl,Toledo,Granollers,81,2701,230000,EasyJet,2026-03-21,2026-03-22,{},
109927,63596,2025-03-06,408000,4,No disponible,408,Sra.leyva287@viajes.cl,Baracaldo,Gijón,48,3899,102000,Via Bariloche,2025-04-21,2025-04-23,"{Baño,TV,Wifi}",
148463,,,,,Disponible,0,Sra.munguía627@viajes.cl,Getafe,Ciudad Real,92,2170,248000,Singapore Airlines,2025-03-31,2025-06-29,{},
142927,62375,2025-03-22,900000,9,No disponible,900,Sra.reyes599@viajes.cl,Granollers,Gecho,93,241,100000,MÁV (Hungría),2025-05-19,2025-05-19,{},
141398,62209,2025-01-07,1212000,6,No disponible,1212,Sra.toledo641@viajes.cl,Getafe,Palencia,95,2165,202000,Thalys,2026-03-15,2026-03-16,"{Wifi,Comida,""Aire acondicionado"",Baño,Agua}",
91157,66410,2025-02-20,51000,1,No disponible,51,Sta.casares518@viajes.cl,Gijón,Alcobendas,,1402,51000,British Airways,2025-11-27,2025-11-27,{},
146948,,,,,Disponible,0,Sta.colunga585@viajes.cl,Mijas,Vigo,,1175,63000,All Nippon Airways (ANA),2026-07-12,2026-08-29,{},
130128,61703,2025-03-19,780000,10,No disponible,780,Sta.contreras629@viajes.cl,Orihuela,La Línea de la Concepción,55,2104,78000,Southwest Airlines,2025-05-30,2025-05-31,{},
148359,,,,,Disponible,0,Sta.gaona818@viajes.cl,Alcalá de Guadaira,Cartagena,30,3221,320000,Air New Zealand,2025-05-29,2025-10-10,{},
146985,,,,,Disponible,0,Sta.mesa478@viajes.cl,Albacete,Badajoz,67,2863,297000,Southwest Airlines,2026-06-04,2026-10-01,{},
148109,,,,,Disponible,0,Sta.miranda323@viajes.cl,Viladecans,Ponferrada,4,2846,107000,KLM,2025-12-31,,{},
147524,,,,,Disponible,0,Sta.pantoja641@viajes.cl,Ponferrada,,13,2027,123000,Air Canada,2025-11-29,2026-02-21,{},
88276,59179,2025-03-03,993000,3,No disponible,993,Sta.valdez219@viajes.cl,,Cartagena,65,3918,331000,ZFBH (Bosnia y Herzegovina),2026-07-14,2026-07-16,"{Comida,Agua,TV,Baño,Calefacción,Wifi,""Aire acondicionado""}",
147339,,,,,Disponible,0,Timoteogodoy576@viajes.cl,Santa Coloma de Gramanet,Fuenlabrada,12,2295,220000,Wizz Air,2025-08-10,,{},
149590,,,,,Disponible,0,Timoteomercado843@viajes.cl,Huelva,Salamanca,20,1489,108000,Italo,2025-05-06,2025-07-07,"{Wifi,Agua,Baño,""Asientos reclinables""}",
111621,57776,2025-11-26,483000,3,No disponible,483,Timoteoortega395@viajes.cl,Ponferrada,Baracaldo,85,1872,161000,,2026-09-19,2026-09-20,"{""Asientos reclinables"",Wifi,TV,Calefacción}",
115613,61658,2025-01-13,960000,10,No disponible,960,Timoteoparra548@viajes.cl,Palencia,Ferrol,50,2241,96000,Air France,2025-03-30,2025-03-31,{},
104299,63094,2025-07-21,540000,6,No disponible,540,Vicenteescobar772@viajes.cl,Elda,Jaén,34,848,90000,All Nippon Airways (ANA),2025-09-05,2025-09-05,{},
89605,56451,2025-12-15,900000,9,No disponible,900,Virginiazepeda399@viajes.cl,Almería,Getafe,56,1961,100000,ZS (Eslovenia),2026-07-11,2026-07-12,"{Calefacción,Wifi,Agua,""Aire acondicionado""}",
90852,58421,2025-06-25,960000,5,No disponible,960,adbebé714@viajes.cl,Torrelavega,Pozuelo de Alarcón,48,1314,192000,Crucero del Norte,2025-09-17,2025-09-17,"{""Aire acondicionado"",""Asientos reclinables"",Wifi}",
136857,55574,2025-01-24,342000,9,No disponible,342,agustín1537237@viajes.cl,Gecho,Benidorm,42,1189,38000,CD (República Checa),2025-05-21,2025-05-21,"{TV,Calefacción,Agua}",
81457,64205,2025-07-29,199000,1,No disponible,199,agustín2891970@viajes.cl,Granada,Sanlúcar de Barrameda,72,2358,199000,Renfe,2026-05-14,2026-05-15,"{Agua,""Aire acondicionado"",Calefacción,Wifi,Baño}",
136184,57876,2025-03-30,624000,4,No disponible,624,alberto9508888@viajes.cl,Santa Lucía de Tirajana,Torrejón de Ardoz,15,3252,156000,Wizz Air,2026-08-10,2026-08-12,{},
110237,64920,2025-07-31,299000,1,No disponible,299,albuta656@viajes.cl,Torrejón de Ardoz,,7,3051,299000,Thalys,2026-04-08,2026-04-10,"{""Asientos reclinables"",Agua,Baño,Comida,TV,""Aire acondicionado""}",
102704,55784,2025-06-29,1070000,10,No disponible,1070,alejandra1046907@viajes.cl,Alcorcón,Oviedo,71,2880,107000,,2025-07-13,2025-07-15,"{TV,Calefacción,""Aire acondicionado"",Agua,""Asientos reclinables""}",
93715,58522,2025-10-22,994000,7,No disponible,994,alejandra5219541@viajes.cl,Huelva,Linares,47,2760,142000,SNCB (Bélgica),2026-01-23,2026-01-24,"{Baño,Comida,""Asientos reclinables"",TV,Wifi}",
136973,56259,2025-01-31,1134000,9,No disponible,1134,alejandra9343406@viajes.cl,Orihuela,Dos Hermanas,5,2711,126000,ŽSSK (Eslovaquia),2025-02-27,2025-02-28,"{Baño,""Aire acondicionado"",""Asientos reclinables"",Wifi,Agua}",
147851,,,,,Disponible,0,alfonso9925642@viajes.cl,Majadahonda,Chiclana de la Frontera,,2565,267000,Lufthansa,2025-04-02,2025-07-17,{},
94167,56839,2025-01-25,308000,2,No disponible,308,alraba458@viajes.cl,Málaga,,60,1759,154000,Alaska Airlines,2025-09-16,2025-09-17,,
147361,,,,,Disponible,0,alraga536@viajes.cl,Parla,Elda,100,1818,149000,Turkish Airlines,2025-06-10,,{},
83588,58673,2025-06-29,2493000,9,No disponible,2493,amalia1638984@viajes.cl,Orense,Torrevieja,86,2248,277000,Southwest Airlines,2026-11-26,2026-11-27,{},
149902,,,,,Disponible,0,amalia8518314@viajes.cl,La Coruña,Palencia,91,4206,195000,HŽ (Croacia),2026-01-29,2026-07-23,"{""Aire acondicionado"",Baño,Calefacción,""Asientos reclinables"",TV,Agua,Wifi}",
98098,57294,2025-02-08,300000,5,No disponible,300,andrés6213400@viajes.cl,Mérida,Torrejón de Ardoz,11,981,60000,Frontier Airlines,2025-03-26,2025-03-26,{},
