correo_usuario,reserva_id,tipo_seguro,valor_seguro,clausula,empresa_seguro
guraza832@wass.com,78703,,,,
Lorenaarguello179@edubus.cal,78709,,,,
Lorenaarguello179@edubus.cal,78713,,,,
Lorenaarguello179@edubus.cal,78714,,,,
céalbe602@outluc.com,78720,,,,
céalbe602@outluc.com,78723,,58000,"Reembolso de gastos no utilizados por interrupción del viaje, Compensación por imprevistos que obliguen a detener el viaje",MetLife Chile Seguros de Vida S.A.
Joséterán661@wass.com,,,,,
aggóca712@viajesanma.com,78738,,,,
aggóca712@viajesanma.com,78739,Seguro por Demoras en el Viaje,60000,"Indemnización por pérdida de conexiones debido a retrasos, Reembolso de gastos adicionales por retrasos en vuelos",
,78741,,,,
aggóca712@viajesanma.com,78743,,,,
aggóca712@viajesanma.com,78744,,,,
aggóca712@viajesanma.com,78750,,20000,"Hospitalización y cirugías de emergencia, Evacuación y repatriación sanitaria",Vida Cámara S.A.
aggóca712@viajesanma.com,78751,Seguro de Asistencia Médica,52000,"Cobertura de medicamentos recetados, Evacuación y repatriación sanitaria",Liberty Compañía de Seguros Generales S.A.
aggóca712@viajesanma.com,78752,,45000,"Gastos legales en caso de demandas civiles, Cobertura de daños a propiedades alquiladas",MetLife Chile Seguros de Vida S.A.
joaquín1510981@marmol.com,78756,,,,
mayte7853127@wass.com,78760,,,,
daparí324@edubus.cal,78766,Seguro por Demoras en el Viaje,81000,"Reembolso de gastos adicionales por retrasos en vuelos, Indemnización por pérdida de conexiones debido a retrasos",Consorcio Nacional de Seguros Vida S.A.
daparí324@edubus.cal,78768,,,,
daparí324@edubus.cal,78769,,,,
daparí324@edubus.cal,78771,,,,
glanbe559@tourket.com,78779,Seguro de Asistencia Médica,42000,"Evacuación y repatriación sanitaria, Cobertura de gastos médicos por enfermedad o accidente",HDI Seguros S.A.
glanbe559@tourket.com,78781,Seguro de Interrupción del Viaje,57000,"Compensación por imprevistos que obliguen a detener el viaje, Cobertura de costos adicionales por regreso anticipado",BICE Vida Compañía de Seguros S.A.
anmabarí968@tourket.com,78790,,,,
,78791,Seguro por Demoras en el Viaje,10000,"Indemnización por pérdida de conexiones debido a retrasos, Reembolso de gastos adicionales por retrasos en vuelos",MetLife Chile Seguros de Vida S.A.
anmabarí968@tourket.com,78792,Seguro de Responsabilidad Civil,34000,"Gastos legales en caso de demandas civiles, Cobertura de daños a propiedades alquiladas",
anmabarí968@tourket.com,78795,,,,
vicente7532610@tourket.com,78803,,,,
alfonso7804322@tourket.com,78815,,,,
alfonso7804322@tourket.com,78818,Seguro de Cancelación de Viaje,,"Cobertura por cancelaciones debido a desastres naturales o disturbios, Reembolso por cancelaciones laborales imprevistas",HDI Seguros S.A.
Sr.quezada287@outluc.com,,Seguro de Equipaje y Efectos Personales,20000,"Cobertura de artículos electrónicos bajo ciertos límites, Asistencia para reemplazo de documentos de viaje perdidos",Renta Nacional Compañía de Seguros Generales S.A.
Sr.quezada287@outluc.com,78824,Seguro de Asistencia Médica,63000,"Cobertura de medicamentos recetados, Cobertura de gastos médicos por enfermedad o accidente",Renta Nacional Compañía de Seguros Generales S.A.
,78826,Seguro de Asistencia Médica,50000,,Renta Nacional Compañía de Seguros Generales S.A.
Dianaregalado290@wass.com,,,,,
Amaliabarrientos651@viajesanma.com,78836,,,,
concepción7941327@tourket.com,78837,,,,
Aliciavelázquez168@tourket.com,78838,Seguro por Demoras en el Viaje,32000,"Cobertura de alojamiento y alimentación por retrasos prolongados, Indemnización por pérdida de conexiones debido a retrasos",HDI Seguros S.A.
daniel207325@outluc.com,78843,,,,
gumebe955@tourket.com,78849,,,,
Patriciaesquibel311@tourket.com,78855,Seguro de Responsabilidad Civil,44000,,BICE Vida Compañía de Seguros S.A.
sr.3104119@tourket.com,78861,,,,
sr.3104119@tourket.com,,Seguro por Demoras en el Viaje,6000,,BICE Vida Compañía de Seguros S.A.
sr.3104119@tourket.com,78866,,52000,"Indemnización por retraso en la entrega de equipaje, Cobertura de artículos electrónicos bajo ciertos límites",Consorcio Nacional de Seguros Vida S.A.
goheco319@edubus.cal,78871,Seguro de Cancelación de Viaje,34000,"Reembolso por cancelaciones laborales imprevistas, Cobertura de penalidades por cambio de vuelo",Vida Cámara S.A.
,,,,,
sraltacu152@wass.com,78887,Seguro de Equipaje y Efectos Personales,,"Asistencia para reemplazo de documentos de viaje perdidos, Cobertura por pérdida, robo o daño de equipaje",Liberty Compañía de Seguros Generales S.A.
guadalupe5137759@edubus.cal,78889,,,,
maría320378@tourket.com,78897,,,,
sra.8431340@tourket.com,78907,,,,
rogice917@wass.com,134886,,,,
juana193791@marmol.com,78910,,,,
Sra.camarillo587@edubus.cal,78918,,,,
Martacenteno679@marmol.com,78921,,,,
agustín6701648@edubus.cal,78944,Seguro de Asistencia Médica,60000,"Cobertura de gastos médicos por enfermedad o accidente, Hospitalización y cirugías de emergencia",Renta Nacional Compañía de Seguros Generales S.A.
,78951,Seguro de Equipaje y Efectos Personales,95000,"Indemnización por retraso en la entrega de equipaje, Asistencia para reemplazo de documentos de viaje perdidos",Renta Nacional Compañía de Seguros Generales S.A.
maricarmen6707206@tourket.com,80816,,,,
Sra.rodarte459@edubus.cal,80822,,,,
,133760,,,,
agustín6701648@edubus.cal,78953,Seguro por Demoras en el Viaje,60000,"Cobertura de alojamiento y alimentación por retrasos prolongados, Reembolso de gastos adicionales por retrasos en vuelos",BICE Vida Compañía de Seguros S.A.
,78954,Seguro de Asistencia Médica,99000,"Cobertura de gastos médicos por enfermedad o accidente, Cobertura de medicamentos recetados",MAPFRE Compañía de Seguros Generales de Chile S.A.
agustín6701648@edubus.cal,78958,,,,
Sra.sanabria958@edubus.cal,78969,Seguro de Cancelación de Viaje,95000,"Cobertura por cancelaciones debido a desastres naturales o disturbios, Cobertura de penalidades por cambio de vuelo",MAPFRE Compañía de Seguros Generales de Chile S.A.
Sra.sanabria958@edubus.cal,78971,,,,
sancho9254644@outluc.com,78972,Seguro de Cancelación de Viaje,84000,"Cobertura de penalidades por cambio de vuelo, Reembolso por cancelaciones laborales imprevistas",Liberty Compañía de Seguros Generales S.A.
Samuelalmonte447@tourket.com,78977,Seguro de Interrupción del Viaje,84000,"Reembolso de gastos no utilizados por interrupción del viaje, Compensación por imprevistos que obliguen a detener el viaje",MetLife Chile Seguros de Vida S.A.
Samuelalmonte447@tourket.com,78981,Seguro de Cancelación de Viaje,6000,"Cobertura por cancelaciones debido a desastres naturales o disturbios, Reembolso por cancelaciones laborales imprevistas",Vida Cámara S.A.
susana9334818@viajesanma.com,78984,,,,
susana9334818@viajesanma.com,78992,,,,
susana9334818@viajesanma.com,78995,,,,
miguel2832441@edubus.cal,78998,,64000,"Indemnización por retraso en la entrega de equipaje, Cobertura de artículos electrónicos bajo ciertos límites",Liberty Compañía de Seguros Generales S.A.
sr.3525257@outluc.com,79007,,,,
sr.3525257@outluc.com,79008,Seguro de Interrupción del Viaje,78000,"Compensación por imprevistos que obliguen a detener el viaje, Reembolso de gastos no utilizados por interrupción del viaje",MetLife Chile Seguros de Vida S.A.
sr.3525257@outluc.com,79009,,,,
sr.3525257@outluc.com,79016,,,,
sr.3525257@outluc.com,79017,,,,
sr.3525257@outluc.com,,Seguro de Cancelación de Viaje,55000,"Cobertura de penalidades por cambio de vuelo, Reembolso por cancelación debido a enfermedad, accidente o fallecimiento",Consorcio Nacional de Seguros Vida S.A.
Sta.cardenas262@viajesanma.com,79026,Seguro de Cancelación de Viaje,7000,"Cobertura por cancelaciones debido a desastres naturales o disturbios, Reembolso por cancelación debido a enfermedad, accidente o fallecimiento",HDI Seguros S.A.
Sta.cardenas262@viajesanma.com,,Seguro de Responsabilidad Civil,42000,"Gastos legales en caso de demandas civiles, Cobertura de daños a propiedades alquiladas",Liberty Compañía de Seguros Generales S.A.
Sta.cardenas262@viajesanma.com,,,,,
srracaal432@wass.com,79048,,,,
Benitomena938@outluc.com,79056,,,,
Benitomena938@outluc.com,,,,,
srroguti835@tourket.com,79062,,,,
srroguti835@tourket.com,79064,,,,
joalta315@viajesanma.com,79067,,,,
joalta315@viajesanma.com,79069,,,,
maméle199@edubus.cal,79073,,,,
maméle199@edubus.cal,79078,Seguro de Interrupción del Viaje,74000,"Reembolso de gastos no utilizados por interrupción del viaje, Compensación por imprevistos que obliguen a detener el viaje",Confuturo S.A.
Emiliaarmijo452@marmol.com,79079,,,,
luz4136884@tourket.com,138701,,,,
inayze239@marmol.com,79083,,,,
inayze239@marmol.com,79089,,,,
sr.5323939@outluc.com,79096,,,,
sr.5323939@outluc.com,79100,Seguro de Responsabilidad Civil,91000,"Cobertura de daños a propiedades alquiladas, Cobertura por daños a terceros durante el viaje",MAPFRE Compañía de Seguros Generales de Chile S.A.
ánsama367@viajesanma.com,79103,,,,
ánsama367@viajesanma.com,79107,,,,
ánsama367@viajesanma.com,79109,,,,
ánsama367@viajesanma.com,79110,Seguro de Interrupción del Viaje,44000,"Reembolso de gastos no utilizados por interrupción del viaje, Compensación por imprevistos que obliguen a detener el viaje",BICE Vida Compañía de Seguros S.A.
ánsama367@viajesanma.com,79113,Seguro de Cancelación de Viaje,60000,"Cobertura de penalidades por cambio de vuelo, Reembolso por cancelación debido a enfermedad, accidente o fallecimiento",
Carolinamagaña828@wass.com,79131,Seguro de Interrupción del Viaje,67000,"Cobertura de costos adicionales por regreso anticipado, Compensación por imprevistos que obliguen a detener el viaje",Renta Nacional Compañía de Seguros Generales S.A.
Carolinamagaña828@wass.com,79133,,,,
srmatoro508@wass.com,79137,,,,
srmatoro508@wass.com,79139,,,,
Liliacolunga414@tourket.com,79148,,25000,"Hospitalización y cirugías de emergencia, Evacuación y repatriación sanitaria",
Liliacolunga414@tourket.com,79149,Seguro por Demoras en el Viaje,96000,"Indemnización por pérdida de conexiones debido a retrasos, Cobertura de alojamiento y alimentación por retrasos prolongados",BICE Vida Compañía de Seguros S.A.
,79151,,,"Cobertura por pérdida, robo o daño de equipaje, Indemnización por retraso en la entrega de equipaje",
argabe875@marmol.com,79163,,,,
roalal895@marmol.com,79175,,53000,"Cobertura de costos adicionales por regreso anticipado, Reembolso de gastos no utilizados por interrupción del viaje",Renta Nacional Compañía de Seguros Generales S.A.
roalal895@marmol.com,,,,,
Carolinaborrego238@marmol.com,79180,,41000,"Reembolso de gastos no utilizados por interrupción del viaje, Compensación por imprevistos que obliguen a detener el viaje",Vida Cámara S.A.
saurar414@tourket.com,79183,,,,
sressoga952@tourket.com,79190,,,,
Cristinalaboy646@outluc.com,79192,,,,
Cristinalaboy646@outluc.com,79194,,,,
amlapo725@marmol.com,79201,Seguro de Interrupción del Viaje,,"Reembolso de gastos no utilizados por interrupción del viaje, Compensación por imprevistos que obliguen a detener el viaje",HDI Seguros S.A.
Anaarmas466@edubus.cal,79202,Seguro de Responsabilidad Civil,28000,"Cobertura de daños a propiedades alquiladas, Gastos legales en caso de demandas civiles",BICE Vida Compañía de Seguros S.A.
Anaarmas466@edubus.cal,79207,,,,
Rosalianegrete921@marmol.com,79214,Seguro por Demoras en el Viaje,16000,"Indemnización por pérdida de conexiones debido a retrasos, Reembolso de gastos adicionales por retrasos en vuelos",MetLife Chile Seguros de Vida S.A.
Rosalianegrete921@marmol.com,79216,Seguro de Interrupción del Viaje,66000,"Cobertura de costos adicionales por regreso anticipado, Compensación por imprevistos que obliguen a detener el viaje",Seguros Generales Suramericana S.A.
,133770,,,,
jucohu324@viajesanma.com,79226,Seguro de Cancelación de Viaje,31000,"Cobertura de penalidades por cambio de vuelo, Reembolso por cancelaciones laborales imprevistas",Confuturo S.A.
jucohu324@viajesanma.com,79227,,,,
jucohu324@viajesanma.com,79228,Seguro de Responsabilidad Civil,15000,"Cobertura por daños a terceros durante el viaje, Gastos legales en caso de demandas civiles",
jucohu324@viajesanma.com,79232,Seguro de Interrupción del Viaje,82000,"Reembolso de gastos no utilizados por interrupción del viaje, Compensación por imprevistos que obliguen a detener el viaje",HDI Seguros S.A.
jucohu324@viajesanma.com,,,,,
juan5231635@marmol.com,79238,Seguro por Demoras en el Viaje,47000,"Reembolso de gastos adicionales por retrasos en vuelos, Indemnización por pérdida de conexiones debido a retrasos",MetLife Chile Seguros de Vida S.A.
juan5231635@marmol.com,79239,Seguro de Interrupción del Viaje,82000,"Compensación por imprevistos que obliguen a detener el viaje, Reembolso de gastos no utilizados por interrupción del viaje",Confuturo S.A.
luvare678@marmol.com,79245,Seguro de Responsabilidad Civil,56000,"Gastos legales en caso de demandas civiles, Cobertura por daños a terceros durante el viaje",HDI Seguros S.A.
luvare678@marmol.com,79246,,,,
,86705,,,,
luvare678@marmol.com,,Seguro de Responsabilidad Civil,75000,"Cobertura por daños a terceros durante el viaje, Cobertura de daños a propiedades alquiladas",Consorcio Nacional de Seguros Vida S.A.
luvare678@marmol.com,79250,Seguro de Cancelación de Viaje,58000,"Reembolso por cancelación debido a enfermedad, accidente o fallecimiento, Reembolso por cancelaciones laborales imprevistas",
stdétepi368@edubus.cal,79275,Seguro por Demoras en el Viaje,11000,,Consorcio Nacional de Seguros Vida S.A.
Sta.arenas800@tourket.com,79278,,,,
Sta.botello773@outluc.com,79291,,,,
felipe8077959@edubus.cal,79298,Seguro de Interrupción del Viaje,94000,"Reembolso de gastos no utilizados por interrupción del viaje, Cobertura de costos adicionales por regreso anticipado",Renta Nacional Compañía de Seguros Generales S.A.
Franciscarivera438@wass.com,79305,,,,
marilu2791390@marmol.com,79314,,,,
racová412@tourket.com,79317,Seguro de Equipaje y Efectos Personales,,"Cobertura por pérdida, robo o daño de equipaje, Asistencia para reemplazo de documentos de viaje perdidos",HDI Seguros S.A.
carlos7811963@marmol.com,79322,,,,
Gabrielmatos922@marmol.com,79327,,27000,"Indemnización por retraso en la entrega de equipaje, Cobertura de artículos electrónicos bajo ciertos límites",Vida Cámara S.A.
Gabrielmatos922@marmol.com,79329,,,,
camaro709@wass.com,79332,,,,
coorse769@tourket.com,79339,,,,
Leonorroldán484@wass.com,79353,,,,
edcapa606@marmol.com,79360,,,,
Rosaliaespinal416@outluc.com,79389,,,,
Andreaguardado378@tourket.com,79393,Seguro de Interrupción del Viaje,52000,"Compensación por imprevistos que obliguen a detener el viaje, Reembolso de gastos no utilizados por interrupción del viaje",HDI Seguros S.A.
Andreaguardado378@tourket.com,79398,,,,
Rafaelvarela101@wass.com,79401,,58000,"Cobertura por daños a terceros durante el viaje, Gastos legales en caso de demandas civiles",Renta Nacional Compañía de Seguros Generales S.A.
alejandra4698273@wass.com,79402,Seguro de Interrupción del Viaje,9000,"Reembolso de gastos no utilizados por interrupción del viaje, Compensación por imprevistos que obliguen a detener el viaje",Seguros Generales Suramericana S.A.
Benitomedrano445@edubus.cal,79409,,,,
,79410,,,,
srsomete239@tourket.com,79413,Seguro por Demoras en el Viaje,80000,"Cobertura de alojamiento y alimentación por retrasos prolongados, Indemnización por pérdida de conexiones debido a retrasos",
srsomete239@tourket.com,79418,Seguro por Demoras en el Viaje,64000,"Cobertura de alojamiento y alimentación por retrasos prolongados, Reembolso de gastos adicionales por retrasos en vuelos",HDI Seguros S.A.
luisa3743655@tourket.com,79423,,,,
luisa3743655@tourket.com,79426,,,,
luisa1444805@edubus.cal,79427,,,,
,79433,,,,
raacsa929@edubus.cal,79436,Seguro de Asistencia Médica,71000,,MAPFRE Compañía de Seguros Generales de Chile S.A.
raacsa929@edubus.cal,79438,,,,
Andreaguardado378@tourket.com,79447,,,,
lomodo833@outluc.com,79449,,57000,"Cobertura de gastos médicos por enfermedad o accidente, Cobertura de medicamentos recetados",MAPFRE Compañía de Seguros Generales de Chile S.A.
lomodo833@outluc.com,79451,,,,
lomodo833@outluc.com,79453,,,,
,79455,,,,
adela6840459@wass.com,79457,,,,
damebo681@outluc.com,79462,Seguro de Interrupción del Viaje,5000,"Cobertura de costos adicionales por regreso anticipado, Compensación por imprevistos que obliguen a detener el viaje",MAPFRE Compañía de Seguros Generales de Chile S.A.
damebo681@outluc.com,79466,,,,
sra.6064514@outluc.com,96477,,,,
Franciscosantiago432@outluc.com,79468,,,,
Franciscosantiago432@outluc.com,,,,,
Franciscosantiago432@outluc.com,79474,,19000,"Evacuación y repatriación sanitaria, Hospitalización y cirugías de emergencia",Consorcio Nacional de Seguros Vida S.A.
rasose625@viajesanma.com,79480,Seguro por Demoras en el Viaje,76000,,MetLife Chile Seguros de Vida S.A.
rasose625@viajesanma.com,79487,,,,
Ángelamatías661@outluc.com,79489,Seguro por Demoras en el Viaje,92000,"Indemnización por pérdida de conexiones debido a retrasos, Reembolso de gastos adicionales por retrasos en vuelos",Consorcio Nacional de Seguros Vida S.A.
Ángelamatías661@outluc.com,79490,Seguro por Demoras en el Viaje,60000,"Indemnización por pérdida de conexiones debido a retrasos, Cobertura de alojamiento y alimentación por retrasos prolongados",Seguros Generales Suramericana S.A.
mateo1615222@outluc.com,79497,Seguro de Responsabilidad Civil,28000,"Cobertura de daños a propiedades alquiladas, Gastos legales en caso de demandas civiles",
claudia2190479@outluc.com,79510,,18000,"Reembolso de gastos adicionales por retrasos en vuelos, Indemnización por pérdida de conexiones debido a retrasos",Consorcio Nacional de Seguros Vida S.A.
caures757@viajesanma.com,79517,,,,
caures757@viajesanma.com,,,,,
caures757@viajesanma.com,79523,Seguro de Equipaje y Efectos Personales,22000,"Indemnización por retraso en la entrega de equipaje, Asistencia para reemplazo de documentos de viaje perdidos",MAPFRE Compañía de Seguros Generales de Chile S.A.
Salvadorpalacios290@viajesanma.com,81064,,,,
felipe8077959@edubus.cal,,,,,
esperanza714944@viajesanma.com,79528,,44000,"Cobertura por daños a terceros durante el viaje, Cobertura de daños a propiedades alquiladas",HDI Seguros S.A.
sta.9270840@edubus.cal,79533,,,,
sta.9270840@edubus.cal,79536,Seguro de Responsabilidad Civil,25000,"Cobertura por daños a terceros durante el viaje, Gastos legales en caso de demandas civiles",MetLife Chile Seguros de Vida S.A.
sta.9270840@edubus.cal,79540,,,,
,,Seguro de Asistencia Médica,67000,"Hospitalización y cirugías de emergencia, Cobertura de medicamentos recetados",
coongu568@marmol.com,79570,,,,
coongu568@marmol.com,79574,,,,
marco742783@edubus.cal,79577,,,,
ana570903@edubus.cal,79590,,,,
,79594,Seguro de Asistencia Médica,45000,"Cobertura de medicamentos recetados, Evacuación y repatriación sanitaria",BICE Vida Compañía de Seguros S.A.
Hernánespino970@edubus.cal,79603,,,,
diquec564@outluc.com,79608,Seguro de Responsabilidad Civil,13000,"Cobertura por daños a terceros durante el viaje, Cobertura de daños a propiedades alquiladas",Confuturo S.A.
diquec564@outluc.com,79609,,,,
diquec564@outluc.com,79611,Seguro de Equipaje y Efectos Personales,31000,"Cobertura por pérdida, robo o daño de equipaje, Indemnización por retraso en la entrega de equipaje",BICE Vida Compañía de Seguros S.A.
claudia8569766@viajesanma.com,79615,,,,
claudia8569766@viajesanma.com,79617,,,,
claudia8569766@viajesanma.com,,,,,
claudia8569766@viajesanma.com,79625,,,,
evanam172@wass.com,79628,Seguro de Cancelación de Viaje,79000,"Cobertura por cancelaciones debido a desastres naturales o disturbios, Cobertura de penalidades por cambio de vuelo",Renta Nacional Compañía de Seguros Generales S.A.
evanam172@wass.com,79629,Seguro de Equipaje y Efectos Personales,7000,"Indemnización por retraso en la entrega de equipaje, Cobertura por pérdida, robo o daño de equipaje",Liberty Compañía de Seguros Generales S.A.
grzama501@wass.com,,,,,
Sr.aragón402@wass.com,79643,Seguro de Responsabilidad Civil,18000,"Cobertura por daños a terceros durante el viaje, Gastos legales en caso de demandas civiles",Consorcio Nacional de Seguros Vida S.A.
Samuelflores464@marmol.com,80188,,,,
carlos8690348@marmol.com,79654,,,,
carlos8690348@marmol.com,79655,Seguro por Demoras en el Viaje,80000,"Reembolso de gastos adicionales por retrasos en vuelos, Indemnización por pérdida de conexiones debido a retrasos",Consorcio Nacional de Seguros Vida S.A.
carlos8690348@marmol.com,79659,,,,
carlos8690348@marmol.com,79660,,,,
,79667,Seguro de Cancelación de Viaje,74000,"Cobertura por cancelaciones debido a desastres naturales o disturbios, Reembolso por cancelaciones laborales imprevistas",BICE Vida Compañía de Seguros S.A.
reina2052916@wass.com,79671,,,,
Daniellara690@marmol.com,79680,,,,
Doroteaalba822@marmol.com,79681,,,,
joeddása312@wass.com,79686,,,,
joeddása312@wass.com,79688,,,,
