correo_usuario,reserva_id,estrellas,descripcion
,78741,,
aggóca712@viajesanma.com,78743,,
aggóca712@viajesanma.com,78751,,
aggóca712@viajesanma.com,78752,,
joaquín1510981@marmol.com,78756,1,Pésimo
mayte7853127@wass.com,78760,,
daparí324@edubus.cal,78766,4,Buena experiencia en general
daparí324@edubus.cal,78768,5,Servicio de primera
daparí324@edubus.cal,78769,4,Bueno
daparí324@edubus.cal,78771,,
glanbe559@tourket.com,78779,,
glanbe559@tourket.com,78781,4,Me atendieron bien
anmabarí968@tourket.com,78790,,
,78791,2,Regular
anmabarí968@tourket.com,78792,,
anmabarí968@tourket.com,78795,4,Buena experiencia en general
alfonso7804322@tourket.com,78815,73,Aceptable
Sr.quezada287@outluc.com,,4,
Sr.quezada287@outluc.com,78824,5,Servicio de primera
,78826,,
Amaliabarrientos651@viajesanma.com,78836,,
Aliciavelázquez168@tourket.com,78838,5,Superó mis expectativas
gumebe955@tourket.com,78849,1,No vuelvo más
Patriciaesquibel311@tourket.com,78855,,Podría mejorar
sr.3104119@tourket.com,78866,,
goheco319@edubus.cal,78871,3,Podría mejorar
sraltacu152@wass.com,78887,2,Regular
guadalupe5137759@edubus.cal,78889,,Completamente decepcionado
maría320378@tourket.com,78896,,
maría320378@tourket.com,78897,,
sra.8431340@tourket.com,78907,,
rogice917@wass.com,134886,,
Sra.camarillo587@edubus.cal,78916,,
Sra.camarillo587@edubus.cal,78918,4,Bueno
Martacenteno679@marmol.com,78921,1,No vuelvo más
agustín6701648@edubus.cal,78944,3,Aceptable
,78951,3,"Cumplió con mis expectativas, pero sin destacar"
agustín6701648@edubus.cal,78953,,
,78954,2,No me convenció del todo
agustín6701648@edubus.cal,78958,2,No me convenció del todo
Sra.sanabria958@edubus.cal,78969,5,Servicio de primera
Sra.sanabria958@edubus.cal,78971,5,Excelente
sancho9254644@outluc.com,78972,,
Samuelalmonte447@tourket.com,78977,3,Aceptable
Samuelalmonte447@tourket.com,78981,,"Satisfecho, pero hay detalles por mejorar"
susana9334818@viajesanma.com,78985,,
susana9334818@viajesanma.com,78992,3,
susana9334818@viajesanma.com,78995,,Hubo varios problemas
Gloriaochoa381@tourket.com,83961,,
miguel2832441@edubus.cal,78998,4,Me atendieron bien
sr.3525257@outluc.com,79008,,Buena experiencia en general
sr.3525257@outluc.com,79009,1,Muy insatisfecho
sr.3525257@outluc.com,79016,5,Superó mis expectativas
sr.3525257@outluc.com,79017,1,Completamente decepcionado
Sta.cardenas262@viajesanma.com,79026,64,Aceptable
Sta.cardenas262@viajesanma.com,,,
Sta.cardenas262@viajesanma.com,,4,Bueno
srracaal432@wass.com,79048,4,Bueno
sra.1772343@outluc.com,79054,,
srroguti835@tourket.com,79062,1,Completamente decepcionado
srroguti835@tourket.com,79064,2,Hubo varios problemas
joalta315@viajesanma.com,79069,2,No lo recomendaría
maméle199@edubus.cal,79078,1,No vuelvo más
Emiliaarmijo452@marmol.com,79079,5,Excelente
luz4136884@tourket.com,138701,,
inayze239@marmol.com,79083,5,Sin duda volveré
inayze239@marmol.com,79089,,
sr.5323939@outluc.com,79096,82,Servicio de primera
sr.5323939@outluc.com,79098,,
sr.5323939@outluc.com,79100,,
ánsama367@viajesanma.com,79103,61,No vuelvo más
ánsama367@viajesanma.com,79107,1,Pésimo
ánsama367@viajesanma.com,79110,3,Servicio regular
Carolinamagaña828@wass.com,79131,5,Servicio de primera
Carolinamagaña828@wass.com,79133,,
srmatoro508@wass.com,79137,,
srmatoro508@wass.com,79139,,Buena experiencia en general
Liliacolunga414@tourket.com,79148,,
Liliacolunga414@tourket.com,79149,5,Sin duda volveré
,79151,1,No vuelvo más
argabe875@marmol.com,79163,3,Podría mejorar
roalal895@marmol.com,79175,76,Hubo varios problemas
Carolinaborrego238@marmol.com,79180,5,Excelente
sressoga952@tourket.com,79190,,
,79191,,
Cristinalaboy646@outluc.com,79192,,
Cristinalaboy646@outluc.com,79194,,
amlapo725@marmol.com,79201,5,Muy satisfecho
Anaarmas466@edubus.cal,79202,5,
Anaarmas466@edubus.cal,79204,,Excelente
Anaarmas466@edubus.cal,79207,83,Regular
Rosalianegrete921@marmol.com,79214,1,No vuelvo más
Rosalianegrete921@marmol.com,79216,5,Superó mis expectativas
jucohu324@viajesanma.com,79226,1,Pésimo
jucohu324@viajesanma.com,79227,4,Me atendieron bien
jucohu324@viajesanma.com,79228,2,Regular
jucohu324@viajesanma.com,79232,5,Excelente
juan5231635@marmol.com,79238,,
juan5231635@marmol.com,79239,2,Regular
luvare678@marmol.com,79245,1,Pésimo
,86705,,
luvare678@marmol.com,79250,,Muy insatisfecho
alvihi145@tourket.com,79255,,
stdétepi368@edubus.cal,79275,3,"Cumplió con mis expectativas, pero sin destacar"
Sta.arenas800@tourket.com,79278,,
Sta.arenas800@tourket.com,79284,,Excelente
Sta.botello773@outluc.com,79291,2,No me convenció del todo
felipe8077959@edubus.cal,79298,2,Regular
marilu2791390@marmol.com,79314,4,Bueno
racová412@tourket.com,79317,5,Superó mis expectativas
carlos7811963@marmol.com,79322,,
Gabrielmatos922@marmol.com,79327,,
camaro709@wass.com,79332,5,Excelente
Leonorroldán484@wass.com,79345,,
edcapa606@marmol.com,79360,,
Andreaguardado378@tourket.com,79393,5,Servicio de primera
Andreaguardado378@tourket.com,79398,1,Malo
alejandra4698273@wass.com,79402,,
Benitomedrano445@edubus.cal,79409,5,Sin duda volveré
,79410,4,Bueno
srsomete239@tourket.com,79413,5,Sin duda volveré
srsomete239@tourket.com,79418,4,Me atendieron bien
luisa3743655@tourket.com,79423,,
luisa3743655@tourket.com,79426,5,Superó mis expectativas
luisa1444805@edubus.cal,79427,4,Buena experiencia en general
raacsa929@edubus.cal,79436,,
raacsa929@edubus.cal,79438,,
Andreaguardado378@tourket.com,79447,4,
lomodo833@outluc.com,79449,2,No me convenció del todo
lomodo833@outluc.com,79451,3,"Cumplió con mis expectativas, pero sin destacar"
lomodo833@outluc.com,79453,82,Muy satisfecho
,79455,3,Aceptable
adela6840459@wass.com,79459,,
damebo681@outluc.com,79462,1,Muy insatisfecho
damebo681@outluc.com,79466,,
sra.6064514@outluc.com,96477,,
Franciscosantiago432@outluc.com,79469,,
Franciscosantiago432@outluc.com,,,
Franciscosantiago432@outluc.com,79474,,
rasose625@viajesanma.com,79480,,
rasose625@viajesanma.com,79485,86,"Cumplió con mis expectativas, pero sin destacar"
rasose625@viajesanma.com,79487,3,Podría mejorar
Ángelamatías661@outluc.com,79489,8,Sin duda volveré
Ángelamatías661@outluc.com,79490,3,Podría mejorar
claudia2190479@outluc.com,79510,,
caures757@viajesanma.com,,8,"Cumplió con mis expectativas, pero sin destacar"
caures757@viajesanma.com,79523,3,Podría mejorar
esperanza714944@viajesanma.com,79528,2,Regular
sta.9270840@edubus.cal,79536,4,"Satisfecho, pero hay detalles por mejorar"
sta.9270840@edubus.cal,79543,,Pésimo
coongu568@marmol.com,79574,,
marco742783@edubus.cal,79577,,
ana570903@edubus.cal,79590,72,Malo
ana570903@edubus.cal,79591,,
,79594,,
Hernánespino970@edubus.cal,79603,,
diquec564@outluc.com,79608,4,
diquec564@outluc.com,79609,,
diquec564@outluc.com,79611,,
claudia8569766@viajesanma.com,79615,4,Bueno
claudia8569766@viajesanma.com,79617,2,No me convenció del todo
claudia8569766@viajesanma.com,,2,No me convenció del todo
claudia8569766@viajesanma.com,79625,,
evanam172@wass.com,79628,,
evanam172@wass.com,79629,3,Aceptable
grzama501@wass.com,,,
Sr.aragón402@wass.com,79643,1,Malo
carlos8690348@marmol.com,79654,,
carlos8690348@marmol.com,79655,3,Servicio regular
carlos8690348@marmol.com,79656,,
carlos8690348@marmol.com,79660,,
,79667,1,Malo
reina2052916@wass.com,79671,,
Doroteaalba822@marmol.com,79681,1,Muy insatisfecho
joeddása312@wass.com,79686,,
joeddása312@wass.com,79689,5,Superó mis expectativas
joeddása312@wass.com,79690,3,Podría mejorar
joeddása312@wass.com,79691,3,Aceptable
joeddása312@wass.com,79692,,
Jaimelongoria236@viajesanma.com,79694,3,Aceptable
raquel716617@viajesanma.com,79702,,
reyába475@edubus.cal,79708,4,Buena experiencia en general
Yolandatafoya606@marmol.com,79711,,
srtobeal705@outluc.com,79715,,
srtobeal705@outluc.com,79718,5,Muy satisfecho
vídere636@edubus.cal,,7,No lo recomendaría
vídere636@edubus.cal,79727,,
Susanaserrato707@outluc.com,79730,,
alfama854@outluc.com,79737,,
alfama854@outluc.com,79746,1,Completamente decepcionado
alfama854@outluc.com,79749,,
enrique915368@marmol.com,79758,,
sta.6560419@marmol.com,79765,,
sta.6560419@marmol.com,79767,3,Servicio regular
sta.6560419@marmol.com,79771,,
pablo8213860@tourket.com,79785,,
,82203,1,Malo
,79792,3,"Cumplió con mis expectativas, pero sin destacar"
lola8128314@outluc.com,79793,1,Pésimo
mónica8395890@wass.com,79813,,
mónica8395890@wass.com,79814,,
mónica8395890@wass.com,79818,,
Marianocanales677@outluc.com,79825,4,Bueno
mateo9956763@viajesanma.com,79828,4,Bueno
mateo9956763@viajesanma.com,79829,4,"Satisfecho, pero hay detalles por mejorar"
,,31,No vuelvo más
concepción7470878@wass.com,79842,,
concepción7470878@wass.com,79843,,
elcona993@viajesanma.com,79856,82,Sin duda volveré
virginia2661573@tourket.com,79866,2,Hubo varios problemas
virginia2661573@tourket.com,79868,,
srrabaag468@wass.com,79871,4,Buena experiencia en general
Vicentegallegos656@outluc.com,,5,Sin duda volveré
Vicentegallegos656@outluc.com,79882,2,No lo recomendaría
Vicentegallegos656@outluc.com,79883,3,Podría mejorar
Vicentegallegos656@outluc.com,79887,3,Podría mejorar
germán9680306@wass.com,79891,5,Excelente
germán9680306@wass.com,79899,4,Bueno
lola9204912@edubus.cal,79904,1,No vuelvo más
elmági200@wass.com,79914,3,Servicio regular
Sra.quezada158@viajesanma.com,79970,43,No vuelvo más
edhina669@viajesanma.com,79921,,
edhina669@viajesanma.com,79923,5,Superó mis expectativas
anarcó939@tourket.com,79952,1,Completamente decepcionado
elvira5287647@marmol.com,79958,1,Muy insatisfecho
Albertoacosta916@wass.com,79962,4,Bueno
Manuelcarrion396@outluc.com,79984,,
Sta.marín335@edubus.cal,80194,,Superó mis expectativas
Manuelcarrion396@outluc.com,79986,1,Completamente decepcionado
Manuelcarrion396@outluc.com,79987,,
Manuelcarrion396@outluc.com,79989,5,Muy satisfecho
Manuelcarrion396@outluc.com,79991,1,Pésimo
srjoemroze756@outluc.com,79997,,
srjoemroze756@outluc.com,80000,5,Excelente
srjoemroze756@outluc.com,80001,4,Bueno
Marianocanales677@outluc.com,80010,4,Buena experiencia en general
mercedes414953@viajesanma.com,80017,2,No lo recomendaría
Salvadorpalacios290@viajesanma.com,80026,,
gregorio8360443@wass.com,80043,5,Sin duda volveré
gregorio8360443@wass.com,80046,,
Fernandocortés200@wass.com,80055,5,Sin duda volveré
jomupo612@viajesanma.com,80057,4,"Satisfecho, pero hay detalles por mejorar"
jomupo612@viajesanma.com,80059,5,Sin duda volveré
Germánpelayo635@outluc.com,80062,,
Germánpelayo635@outluc.com,80067,,
Raúlcaraballo974@marmol.com,80082,2,Regular
antonio2796235@tourket.com,80087,4,
becoca620@tourket.com,80098,,
sra.531965@viajesanma.com,80106,,
srfeesce671@tourket.com,80117,,
Fernandodelao282@viajesanma.com,80124,5,Servicio de primera
reina2052916@wass.com,80132,,
lumidejegr954@edubus.cal,80141,76,Podría mejorar
lumidejegr954@edubus.cal,,,
lumidejegr954@edubus.cal,80152,2,Regular
laarpe870@tourket.com,80153,,
laarpe870@tourket.com,80157,,
,80163,2,No me convenció del todo
cafiol606@tourket.com,80166,3,"Cumplió con mis expectativas, pero sin destacar"
Bernardosaucedo591@viajesanma.com,80167,,
pedro635524@marmol.com,80173,,
Samuelflores464@marmol.com,80182,1,Muy insatisfecho
Samuelflores464@marmol.com,80184,,
julio6852990@edubus.cal,80981,,
Sra.mercado634@viajesanma.com,80219,5,Excelente
Sr.rivas330@outluc.com,80248,64,Me atendieron bien
daniel1491180@viajesanma.com,80232,,
Sr.rivas330@outluc.com,80235,,
Sr.rivas330@outluc.com,80243,,
Sr.rivas330@outluc.com,80250,49,"Cumplió con mis expectativas, pero sin destacar"
armando8798500@edubus.cal,80264,4,
ana6840583@wass.com,80269,,
ana6840583@wass.com,80270,1,No vuelvo más
Gustavoarias898@wass.com,80281,4,Bueno
Gustavoarias898@wass.com,80283,,
víctor2838763@viajesanma.com,80294,4,Me atendieron bien
teresa293918@wass.com,80320,,
teresa293918@wass.com,80323,17,Servicio regular
Martazepeda699@edubus.cal,80328,,
santiago1082892@wass.com,80333,1,No vuelvo más
santiago1082892@wass.com,80334,1,Muy insatisfecho
stcrurch737@wass.com,,,
Sta.deleón863@outluc.com,80345,3,Podría mejorar
Sta.deleón863@outluc.com,80347,4,Buena experiencia en general
looroq121@edubus.cal,80358,,
looroq121@edubus.cal,80359,1,
looroq121@edubus.cal,80365,,
elnavi874@viajesanma.com,80381,4,Me atendieron bien
sranmoac645@marmol.com,80386,,
sranmoac645@marmol.com,80387,,
Sr.archuleta598@edubus.cal,80399,1,Completamente decepcionado
Sr.archuleta598@edubus.cal,80403,2,No me convenció del todo
Sr.archuleta598@edubus.cal,80407,1,Pésimo
Germánpelayo635@outluc.com,80410,,
Germánpelayo635@outluc.com,80412,,
ana8305224@wass.com,80420,,
patricia2243343@tourket.com,80441,,
gloria8057209@marmol.com,80447,4,
estela7535658@outluc.com,80462,,Superó mis expectativas
,80463,,
Germánvélez748@outluc.com,80465,5,Servicio de primera
manaco947@edubus.cal,80476,1,
Estebancepeda983@outluc.com,80485,,Podría mejorar
Germánpedroza116@outluc.com,80496,98,Completamente decepcionado
Germánpedroza116@outluc.com,80500,,"Satisfecho, pero hay detalles por mejorar"
Germánpedroza116@outluc.com,80505,,
juan2084484@tourket.com,80507,,
Isabeltreviño375@edubus.cal,80512,3,Servicio regular
Isabeltreviño375@edubus.cal,80515,,
Isabeltreviño375@edubus.cal,80517,4,Buena experiencia en general
roques144@tourket.com,80519,3,"Cumplió con mis expectativas, pero sin destacar"
roques144@tourket.com,80521,5,Superó mis expectativas
Ricardoarevalo285@outluc.com,80524,,Hubo varios problemas
marisol5737307@viajesanma.com,80526,1,Muy insatisfecho
,80536,3,Podría mejorar
sr.1848142@outluc.com,80541,5,Excelente
,80547,2,No lo recomendaría
elsa2531473@wass.com,80554,1,Completamente decepcionado
essaca988@tourket.com,80555,,
essaca988@tourket.com,80557,4,Buena experiencia en general
essaca988@tourket.com,80559,2,
,80561,,
alfama854@outluc.com,80578,,
alfama854@outluc.com,80580,,
eva9441686@viajesanma.com,80590,,
lorenzo9604784@edubus.cal,80591,5,Superó mis expectativas
víguma940@marmol.com,80593,,
daniel8060396@viajesanma.com,80607,,
Octavioroldán829@edubus.cal,80612,,
Octavioroldán829@edubus.cal,80620,4,Buena experiencia en general
,80621,72,Regular
marilu1956967@wass.com,84987,,
luorgo179@outluc.com,80629,3,"Cumplió con mis expectativas, pero sin destacar"
luorgo179@outluc.com,80634,,
Guillermobueno239@wass.com,80642,1,Completamente decepcionado
berta7261434@outluc.com,80653,,
berta7261434@outluc.com,80654,,
berta7261434@outluc.com,80661,4,Bueno
berta7261434@outluc.com,80663,,
raroal891@viajesanma.com,80672,2,Hubo varios problemas
heesro210@viajesanma.com,80684,1,No vuelvo más
germán7896769@wass.com,80691,2,No lo recomendaría
germán7896769@wass.com,80696,5,Sin duda volveré
germán7896769@wass.com,80697,,
sta.2056184@viajesanma.com,80700,1,No vuelvo más
sta.2056184@viajesanma.com,80702,,
sta.2056184@viajesanma.com,80703,10,Aceptable
Sr.nazario703@marmol.com,80721,3,Servicio regular
berta3224899@edubus.cal,80726,2,Regular
,80727,,
,80745,,
disoes972@edubus.cal,80752,52,"Satisfecho, pero hay detalles por mejorar"
sr.9705134@edubus.cal,,2,Regular
sr.9705134@edubus.cal,80758,3,"Cumplió con mis expectativas, pero sin destacar"
sra.1772343@outluc.com,80761,,
sra.1772343@outluc.com,80764,,
papeba746@marmol.com,80772,,No me convenció del todo
berta455677@outluc.com,80787,,
srinmoca501@viajesanma.com,80794,4,
srinmoca501@viajesanma.com,80795,,
srinmoca501@viajesanma.com,80796,,
Sra.rodarte459@edubus.cal,80823,,
Sr.covarrubias178@viajesanma.com,80806,1,Completamente decepcionado
Sr.covarrubias178@viajesanma.com,80809,,
Sra.rodarte459@edubus.cal,80822,,Regular
ocsaso237@outluc.com,,,
anvafe456@outluc.com,94750,,
ocsaso237@outluc.com,80826,2,No lo recomendaría
joaquín6801476@tourket.com,80829,,
joaquín6801476@tourket.com,80832,,
joaquín6801476@tourket.com,80835,4,Bueno
esperanza714944@viajesanma.com,80840,2,No me convenció del todo
,80843,3,Servicio regular
hugo7939269@wass.com,80851,4,Buena experiencia en general
césar1419783@marmol.com,80864,,
Micaelalozada680@tourket.com,80877,,
Luisportillo880@marmol.com,80891,3,"Cumplió con mis expectativas, pero sin destacar"
Luisportillo880@marmol.com,80892,,
Luisportillo880@marmol.com,80895,,
sra.3720171@viajesanma.com,80911,4,Me atendieron bien
sra.3720171@viajesanma.com,80917,,
sra.3720171@viajesanma.com,80918,2,Regular
sra.3720171@viajesanma.com,80919,,
sra.3720171@viajesanma.com,,,
lorenzo9244665@wass.com,80922,4,"Satisfecho, pero hay detalles por mejorar"
lorenzo9244665@wass.com,80926,4,"Satisfecho, pero hay detalles por mejorar"
lorenzo9244665@wass.com,80931,1,Muy insatisfecho
lorenzo9244665@wass.com,80932,,
Ceciliamenchaca876@marmol.com,80934,96,Servicio regular
Ceciliamenchaca876@marmol.com,,65,Regular
Estebancepeda983@outluc.com,80947,,Hubo varios problemas
Estebancepeda983@outluc.com,80950,1,Completamente decepcionado
alesot998@viajesanma.com,80953,,
alesot998@viajesanma.com,80961,,
,80965,4,Buena experiencia en general
maría4964879@edubus.cal,80966,1,Malo
sr.3104119@tourket.com,80975,1,Malo
sr.3104119@tourket.com,80978,2,No me convenció del todo
Eloisadelacrúz836@viajesanma.com,80999,1,Pésimo
Eloisadelacrúz836@viajesanma.com,81002,5,Excelente
marilu1956967@wass.com,81006,2,No lo recomendaría
esteban6021415@edubus.cal,81018,1,Completamente decepcionado
esteban6021415@edubus.cal,81019,4,Buena experiencia en general
esteban6021415@edubus.cal,81020,,
esteban6021415@edubus.cal,81022,,
esteban6021415@edubus.cal,81026,,
esteban6021415@edubus.cal,81028,3,Aceptable
esteban6021415@edubus.cal,81031,2,No me convenció del todo
,81033,71,Muy insatisfecho
vípuor366@wass.com,,5,Excelente
vípuor366@wass.com,81044,,
alejandro997823@viajesanma.com,81054,5,Sin duda volveré
alejandro997823@viajesanma.com,81055,2,No lo recomendaría
alejandro997823@viajesanma.com,81056,1,No vuelvo más
alejandro997823@viajesanma.com,81057,3,Servicio regular
Salvadorpalacios290@viajesanma.com,81063,3,Servicio regular
Salvadorpalacios290@viajesanma.com,81064,2,No lo recomendaría
Salvadorpalacios290@viajesanma.com,81069,,
mabaes817@edubus.cal,81081,,
macara960@viajesanma.com,81096,4,
olivia6583239@outluc.com,81097,,
,81103,5,Superó mis expectativas
Micaelalozada680@tourket.com,81105,41,Malo
Micaelalozada680@tourket.com,81110,34,No me convenció del todo
concepción7941327@tourket.com,81118,,Podría mejorar
,81133,3,Podría mejorar
Esteracuña505@wass.com,81136,3,Servicio regular
Sta.nájera376@viajesanma.com,81141,,
Estebanvargas460@edubus.cal,81152,83,Muy insatisfecho
Horacioserna702@edubus.cal,81156,2,No me convenció del todo
cristobal4639571@wass.com,81162,,
Sr.alva715@wass.com,81349,4,Buena experiencia en general
Analomeli512@outluc.com,81167,,
sta.1931877@tourket.com,81173,,
sta.1931877@tourket.com,81174,,
Rodrigocervantes565@tourket.com,81185,,
Sra.cantú510@edubus.cal,81186,,
jucémalo234@wass.com,81198,1,
visaca599@outluc.com,81204,3,Servicio regular
visaca599@outluc.com,81206,2,Hubo varios problemas
visaca599@outluc.com,81209,,
Sta.prieto689@wass.com,81216,65,Regular
Rosalianieto404@viajesanma.com,81227,5,
juan4715798@outluc.com,81235,,
Ignacioceja226@viajesanma.com,81242,5,Superó mis expectativas
Ignacioceja226@viajesanma.com,,,
sta.5368684@edubus.cal,81251,18,Completamente decepcionado
sta.5368684@edubus.cal,81254,,
sta.5368684@edubus.cal,81255,,
guadalupe9639467@tourket.com,81263,2,No lo recomendaría
guadalupe9639467@tourket.com,81268,,
guadalupe9639467@tourket.com,81272,5,
horacio4338693@tourket.com,81277,,
Sta.acevedo242@tourket.com,81282,1,Pésimo
jomaceme982@marmol.com,81284,4,Me atendieron bien
jucasa710@tourket.com,81290,,
jucasa710@tourket.com,81291,2,Regular
jucasa710@tourket.com,81293,3,Aceptable
,81294,1,
jacobo6193596@outluc.com,,,
,81297,,Podría mejorar
Marisoltello847@tourket.com,81299,5,Excelente
Marisoltello847@tourket.com,81300,4,Me atendieron bien
enrique915368@marmol.com,81309,4,"Satisfecho, pero hay detalles por mejorar"
enrique915368@marmol.com,81310,,
natalia5271573@marmol.com,81322,1,Completamente decepcionado
,,,
srrotece660@tourket.com,81333,4,Bueno
natalia6974153@marmol.com,81339,2,Regular
isbale733@tourket.com,81342,4,Buena experiencia en general
,110419,,
Mariocarrion592@wass.com,81358,,
Mariocarrion592@wass.com,81361,3,"Cumplió con mis expectativas, pero sin destacar"
Mariocarrion592@wass.com,81362,,
stmaanpolu392@edubus.cal,81365,2,Regular
olivia1780401@outluc.com,81380,4,"Satisfecho, pero hay detalles por mejorar"
Alejandroaguilera226@tourket.com,81387,3,Aceptable
Déboracolón750@marmol.com,81393,3,"Cumplió con mis expectativas, pero sin destacar"
Déboracolón750@marmol.com,81395,,Aceptable
Déboracolón750@marmol.com,81397,2,Hubo varios problemas
Ricardogallegos900@viajesanma.com,81400,,
Ricardogallegos900@viajesanma.com,81401,3,Servicio regular
Ricardogallegos900@viajesanma.com,81403,1,Muy insatisfecho
julio865652@edubus.cal,81408,4,Me atendieron bien
raquel6455489@edubus.cal,81413,3,Aceptable
juan6709511@marmol.com,81418,,Sin duda volveré
juan6709511@marmol.com,81422,5,Excelente
ernesto9672607@viajesanma.com,81434,,
ernesto9672607@viajesanma.com,81439,,Muy insatisfecho
Sta.malave268@tourket.com,81447,89,
Verónicamaya872@marmol.com,81458,20,Me atendieron bien
Verónicamaya872@marmol.com,81461,,
Juanhurtado841@edubus.cal,81468,5,Superó mis expectativas
sra.4815900@wass.com,,,
sra.4815900@wass.com,81489,3,Aceptable
sra.4815900@wass.com,81490,5,Sin duda volveré
sra.4815900@wass.com,81491,3,Podría mejorar
sra.4815900@wass.com,81492,2,No me convenció del todo
sra.4815900@wass.com,81496,2,Hubo varios problemas
hesocr680@viajesanma.com,81498,,
,81499,4,"Satisfecho, pero hay detalles por mejorar"
hesocr680@viajesanma.com,81501,5,Servicio de primera
hesocr680@viajesanma.com,81504,,
Luismota517@outluc.com,81516,,
Benitorivera191@outluc.com,81518,4,Bueno
,81521,,
Andreavega325@tourket.com,82100,5,Sin duda volveré
stcrurch737@wass.com,81529,,
stcrurch737@wass.com,,3,"Cumplió con mis expectativas, pero sin destacar"
stcrurch737@wass.com,81532,1,Pésimo
,81542,53,Muy insatisfecho
jogrbr450@edubus.cal,,1,Muy insatisfecho
jogrbr450@edubus.cal,81544,,
jogrbr450@edubus.cal,81547,,
jogrbr450@edubus.cal,81548,5,Superó mis expectativas
jogrbr450@edubus.cal,81549,4,Bueno
Franciscaprado488@edubus.cal,81558,,
Franciscaprado488@edubus.cal,81561,3,Podría mejorar
natalia6974153@marmol.com,81564,3,Servicio regular
goalvé772@marmol.com,81577,3,Servicio regular
goalvé772@marmol.com,81579,,
elcece245@marmol.com,81583,63,Servicio regular
Soledadvaladez838@edubus.cal,81590,1,Muy insatisfecho
claudio8255363@edubus.cal,81594,4,Bueno
Pedrocontreras666@outluc.com,81596,2,No me convenció del todo
jogaes577@marmol.com,81608,,
Víctorquiñónez747@outluc.com,81622,2,Regular
empasa766@tourket.com,81623,,
sr.6831640@edubus.cal,81636,5,Muy satisfecho
sr.6831640@edubus.cal,81640,3,Aceptable
,81662,,
,81663,3,Aceptable
sra.3787531@marmol.com,81665,5,Excelente
sra.3787531@marmol.com,81667,88,Muy satisfecho
sra.3787531@marmol.com,81668,,Servicio de primera
hugo1217548@outluc.com,81677,4,"Satisfecho, pero hay detalles por mejorar"
hugo1217548@outluc.com,81685,,
claudia8569766@viajesanma.com,81690,1,Muy insatisfecho
clemente3647232@marmol.com,81701,,
gucovi741@edubus.cal,,,
julio865652@edubus.cal,81713,5,Sin duda volveré
Jerónimobatista813@edubus.cal,81717,2,No me convenció del todo
Sta.valdés689@tourket.com,81727,1,Pésimo
sr.8593595@viajesanma.com,81737,3,Aceptable
Esterbarreto257@marmol.com,81740,2,Regular
