id,agenda_id,fecha,monto,cantidad_personas,estado_disponibilidad,puntos_booked,correo_empleado,lugar_origen,lugar_llegada,capacidad,tiempo_estimado,precio_asiento,empresa,fecha_salida,fecha_llegada,clase,escalas
131950,60687,2025-12-17,1280000,10,No disponible,1280,Sr.treviño590@viajes.cl,Gandía,San Sebastían de los Reyes,79,1347,128000,NSB (Noruega),2026-05-12,2026-05-12,,{}
141079,61237,2025-01-28,2000000,10,No disponible,2000,Sr.valencia152@viajes.cl,Manresa,El Puerto de Santa María,42,3811,200000,JetSur,2026-04-21,2026-04-23,,{}
146250,,,,,Disponible,0,Sr.vega194@viajes.cl,Elche,Fuengirola,39,2965,181000,Buses Nilahue,2026-10-28,,,{}
145921,,,,,Disponible,0,Sra.peralta519@viajes.cl,Torrevieja,Santa Coloma de Gramanet,43,2678,95000,Chevallier,2025-08-13,,,{}
89620,66204,2025-05-26,1104000,6,No disponible,1104,Sra.rosado549@viajes.cl,Sabadell,Valladolid,47,1657,184000,Via Bariloche,2025-11-30,2025-12-01,,{}
98421,60425,2026-10-23,1010000,10,No disponible,1010,Sta.bueno636@viajes.cl,Tarragona,Cornellá de Llobregat,74,3150,101000,ŽFBH (Bosnia y Herzegovina),2026-11-20,2026-11-22,,{}
87083,61117,2025-06-20,696000,4,No disponible,696,Sta.covarrubias900@viajes.cl,San Sebastián,Gandía,37,998,174000,Buses Romani,2025-07-17,2025-07-17,,
88276,59179,2025-03-03,993000,3,No disponible,993,Sta.valdez219@viajes.cl,,Cartagena,65,3918,331000,ZFBH (Bosnia y Herzegovina),2026-07-14,2026-07-16,,{}
128597,64766,2025-11-27,1600000,8,No disponible,1600,Teodoropáez479@viajes.cl,Getafe,Cáceres,41,321,200000,Japan Airlines,2026-09-11,2026-09-11,Clase ejecutiva,
145729,,,,,Disponible,0,Timoteodomínguez465@viajes.cl,,San Sebastían de los Reyes,43,2153,94000,BoltBus,2026-05-25,,,{}
149590,,,,,Disponible,0,Timoteomercado843@viajes.cl,Huelva,Salamanca,20,1489,108000,Italo,2025-05-06,2025-07-07,,{}
144647,,,,,Disponible,0,Vicenteaponte297@viajes.cl,Zaragoza,Alcorcón,40,772,184000,Primera Plus,2025-02-25,,,{}
112894,59966,2025-04-17,690000,6,No disponible,690,adela7317294@viajes.cl,Ferrol,Benidorm,32,2234,115000,Primera Plus,2026-02-18,,,{}
94217,59829,2025-01-01,465000,5,No disponible,465,agroco155@viajes.cl,Jaén,,40,1203,93000,ETN Turistar,2025-06-04,2025-06-04,,{}
92143,55580,2026-07-26,900000,9,No disponible,900,alagsa402@viajes.cl,Mérida,Tarrasa,39,2228,100000,Avanza,2026-10-04,2026-10-05,,{}
122614,61821,2025-08-08,621000,9,No disponible,621,alfredo2747745@viajes.cl,,Zamora,34,1812,69000,Omnibus de México,2026-07-26,2026-07-27,,{}
144967,,,,,Disponible,0,almomo841@viajes.cl,Alcobendas,Santiago de Compostela,37,3285,141000,Andesmar,2025-01-20,,,{}
129978,59603,2025-03-28,1134000,6,No disponible,1134,ana252565@viajes.cl,Córdoba,Zamora,43,820,189000,Chevallier,2025-08-27,2025-08-27,,{}
103594,60407,2025-04-28,1242000,9,No disponible,1242,ana8819821@viajes.cl,,Ávila,39,4244,138000,Primera Plus,2025-09-12,2025-09-14,,{}
146631,,,,,Disponible,0,andrea6328405@viajes.cl,Sevilla,La Coruña,30,2540,163000,Omnibus de México,2026-08-25,,,{}
140460,61690,2025-08-29,805000,7,No disponible,805,andrés6545340@viajes.cl,Las Palmas de Gran Canaria,Arrecife,45,736,115000,NS International,2025-09-02,2025-09-02,,{}
120746,62826,2025-05-19,1712000,8,No disponible,1712,angaal636@viajes.cl,Málaga,Gecho,,4074,214000,ZS (Eslovenia),2026-10-27,2026-10-29,,{}
146387,,,,,Disponible,0,anmagamo784@viajes.cl,Orihuela,Telde,37,2757,131000,Avanza,2026-09-26,,,{}
119229,59348,2025-09-05,432000,3,No disponible,432,antonio6276571@viajes.cl,Tarragona,La Coruña,62,534,144000,Amtrak,2026-01-07,2026-01-07,,{}
105090,60075,2025-04-30,220000,10,No disponible,220,ariadna2612725@viajes.cl,Parla,Elda,85,675,22000,CD (República Checa),2026-01-29,,,{}
126383,61598,2025-01-15,985000,5,No disponible,985,bedíca294@viajes.cl,Barcelona,Puertollano,44,3286,197000,Chevallier,2025-01-17,2025-01-19,,{}
104101,60157,2025-01-15,616000,4,No disponible,616,bernardo5359194@viajes.cl,Madrid,El Prat de LLobregat,40,3784,154000,FlixBus,2025-03-04,2025-03-06,,{}
143274,62851,2025-03-21,72000,1,No disponible,72,cafiga949@viajes.cl,Jerez de la Frontera,Ferrol,36,3033,72000,El Rápido Internacional,2026-01-10,2026-01-12,,{}
104534,65217,2025-04-15,1164000,6,No disponible,1164,cagasa796@viajes.cl,Torrejón de Ardoz,Santa Cruz de Tenerife,,1534,194000,,2025-06-22,2025-06-23,,{}
101132,57126,2025-03-06,704000,4,No disponible,704,carmen9290607@viajes.cl,Gandía,Albacete,48,2420,176000,Alsa,2025-10-11,,,{}
148249,,,,,Disponible,0,caroba415@viajes.cl,Palma de Mallorca,Valencia,51,560,31000,JetBlue,2026-11-02,2026-11-25,Clase económica,
101275,57109,2025-01-17,64000,1,No disponible,64,cecilia2523556@viajes.cl,Valencia,Benidorm,44,2698,64000,ADO,2025-02-08,2025-02-09,,{}
135428,62764,2025-03-16,852000,3,No disponible,852,cehega692@viajes.cl,Alcorcón,Viladecans,,2318,284000,BDZ (Bulgaria),2026-02-25,2026-02-26,,{}
146025,,,,,Disponible,0,clhisa286@viajes.cl,Paterna,Cerdañola del Vallés,33,3008,82000,Omnibus de México,2026-05-14,,,{}
105013,58163,2025-11-15,358000,2,No disponible,358,clmeni227@viajes.cl,Huelva,San Sebastían de los Reyes,38,3597,179000,AVE,2026-02-10,2026-02-12,,{}
112341,58006,2025-01-13,978000,6,No disponible,978,clsepi736@viajes.cl,Zamora,Gandía,30,1839,163000,EME Bus,2025-07-25,2025-07-26,,{}
89532,65591,2025-03-15,495000,9,No disponible,495,concepción766750@viajes.cl,Sanlúcar de Barrameda,Inca,40,2761,55000,Flecha Bus,2025-04-01,2025-04-02,,{}
101567,64429,2025-03-19,1160000,10,No disponible,1160,cralfa791@viajes.cl,El Prat de LLobregat,Bilbao,67,1789,116000,CD (República Checa),2025-08-22,2025-08-23,,{}
133303,58220,2025-04-04,910000,7,No disponible,910,cristobal780844@viajes.cl,Rubí,Sabadell,,2104,130000,Greyhound,2025-11-26,2025-11-27,,{}
140621,57652,2025-05-25,1578000,6,No disponible,1578,cristobal8378989@viajes.cl,Móstoles,Paterna,19,2674,263000,Frontier Airlines,2026-03-18,2026-03-19,,{}
82493,65063,2025-01-10,186000,2,No disponible,186,cérade760@viajes.cl,Irún,Arrecife,44,2614,93000,Damas,2025-02-11,2025-02-12,,{}
105106,59900,2025-02-26,972000,9,No disponible,972,david2434538@viajes.cl,Manresa,Ponferrada,39,3242,108000,Greyhound,2026-09-01,2026-09-03,,{}
149844,,,,,Disponible,0,diego1376309@viajes.cl,Dos Hermanas,Palma de Mallorca,21,729,78000,Renfe,2025-08-20,,,{}
84836,62172,2025-08-15,170000,5,No disponible,170,doabes349@viajes.cl,Murcia,Ceuta,47,207,34000,El Rápido Internacional,2026-01-18,2026-01-18,,{}
150003,,,,,Disponible,0,dolores6875267@viajes.cl,San Sebastián,Fuenlabrada,,3297,388000,ZSSK (Eslovaquia),2025-03-16,2025-07-31,,{}
144115,60468,2025-02-01,1705000,5,No disponible,1705,dorotea3969297@viajes.cl,Murcia,Cáceres,26,3928,341000,ŽSSK (Eslovaquia),2025-02-28,2025-03-02,,{}
146300,,,,,Disponible,0,eladfi277@viajes.cl,Paterna,Gijón,47,2100,112000,Alsa,2026-01-28,,,
102040,61278,2025-05-22,1116000,6,No disponible,1116,elisa6574220@viajes.cl,El Puerto de Santa María,Irún,37,3657,186000,Flecha Bus,2025-11-15,2025-11-17,,{}
110984,57498,2025-02-12,668000,4,No disponible,668,elmape385@viajes.cl,Molina de Segura,Santander,10,3836,167000,SBB (Suiza),2025-05-05,2025-05-07,,{}
104535,65217,2025-04-10,1476000,6,No disponible,1476,eloisa1741681@viajes.cl,Santa Cruz de Tenerife,Badalona,43,2878,246000,ZSSK (Eslovaquia),2025-06-23,,,{}
89000,55759,2025-01-02,528000,3,No disponible,528,elvira1368217@viajes.cl,Talavera de la Reina,La Coruña,48,3970,176000,Buses Nilahue,2025-01-05,2025-01-07,,{}
78861,62038,2025-10-12,255000,5,No disponible,255,emilio7599770@viajes.cl,Molina de Segura,Orihuela,,1939,51000,Estrella Roja,2026-05-16,2026-05-17,,
129172,61441,2025-02-17,459000,9,No disponible,459,ersave294@viajes.cl,Inca,Cornellá de Llobregat,17,1442,51000,Eurostar,2025-03-11,2025-03-12,,{}
89458,64421,2025-02-18,1288000,8,No disponible,1288,estela8832682@viajes.cl,Granollers,Córdoba,88,2210,161000,RZD (Rusia),2025-05-22,2025-05-23,,{}
87949,58558,2025-04-27,516000,3,No disponible,516,ester3534754@viajes.cl,,Castellón de la Plana,49,2496,172000,Alsa,2026-08-20,2026-08-21,,{}
114776,64830,2025-12-13,924000,6,No disponible,924,fesapé914@viajes.cl,Alcalá de Guadaira,Badalona,39,1046,154000,JetSur,2026-06-30,2026-06-30,,
126334,62505,2025-07-19,231000,3,No disponible,231,fesoma882@viajes.cl,Burgos,Mérida,91,1061,77000,BDZ (Bulgaria),2026-01-04,2026-01-04,,{}
149986,,,,,Disponible,0,francisco4781858@viajes.cl,Sagunto,Parla,,3656,436000,ÖBB (Austria),2025-06-29,2025-11-28,,{}
79916,59189,2025-02-16,371000,7,No disponible,371,gazaoj875@viajes.cl,Estepona,Barcelona,40,2043,53000,ETN Turistar,2025-10-14,2025-10-15,,{}
121471,62242,2025-01-21,1130000,10,No disponible,1130,gemodo459@viajes.cl,Mataró,Hospitalet de LLobregat,,1514,113000,ZSSK (Eslovaquia),2025-04-05,2025-04-06,,{}
85842,60892,2025-07-03,910000,5,No disponible,910,germán7240829@viajes.cl,Linares,Mataró,3,3427,182000,SJ (Suecia),2025-10-08,2025-10-10,,{}
142174,63015,2025-01-01,72000,1,No disponible,72,graciela7587437@viajes.cl,Valdemoro,Pamplona,25,1638,72000,CD (República Checa),2025-02-02,2025-02-03,,{}
109570,57856,2025-03-12,588000,7,No disponible,588,hehemo531@viajes.cl,Estepona,,,1777,84000,VR (Finlandia),2025-10-30,,,{}
93201,65944,2025-04-22,1062000,9,No disponible,1062,hoarfe244@viajes.cl,Toledo,Salamanca,50,2232,118000,Amtrak,2026-06-05,2026-06-06,,{}
93488,62032,2025-03-31,452000,4,No disponible,452,homero3729848@viajes.cl,Torremolinos,Lérida,46,1905,113000,Megabus,2026-03-19,2026-03-20,,{}
88913,56953,2026-10-02,171000,3,No disponible,171,huprar955@viajes.cl,Badalona,Mijas,48,837,57000,,2026-11-08,2026-11-08,,{}
146411,,,,,Disponible,0,inés1671557@viajes.cl,,Gecho,42,2234,65000,El Rápido Internacional,2025-07-27,,,{}
125322,61121,2025-07-23,1737000,9,No disponible,1737,inés5019540@viajes.cl,Torrevieja,Valladolid,30,3686,193000,Estrella Roja,2025-09-05,2025-09-07,,{}
144959,,,,,Disponible,0,irene2022687@viajes.cl,Madrid,Valladolid,37,3146,76000,Estrella Roja,2026-08-08,,,{}
97658,55681,2025-04-11,1088000,8,No disponible,1088,isabela200738@viajes.cl,Sabadell,Segovia,46,1440,136000,Plusmar,2026-07-06,2026-07-07,,{}
100581,60101,2025-03-13,798000,3,No disponible,798,iscamo240@viajes.cl,Elda,Tarragona,97,3278,266000,ZFBH (Bosnia y Herzegovina),2026-06-10,2026-06-12,,{}
132259,64921,2025-08-29,660000,3,No disponible,660,iszara805@viajes.cl,,Burgos,2,2273,220000,,2025-11-30,2025-12-01,,{}
98946,63836,2025-03-26,1080000,10,No disponible,1080,japasa758@viajes.cl,Murcia,Dos Hermanas,35,1187,108000,HŽ (Croacia),2026-05-05,,,{}
81340,64518,2025-04-28,1290000,10,No disponible,1290,joaquín6062886@viajes.cl,Arrecife,,75,413,129000,DSB (Dinamarca),2025-06-20,,,{}
128823,65701,2025-10-25,528000,6,No disponible,528,joaquín8251348@viajes.cl,Logroño,Coslada,42,4177,88000,Turbus,2026-04-03,2026-04-05,,{}
83911,56977,2025-05-09,792000,9,No disponible,792,jomaocoq384@viajes.cl,Alicante,Badalona,49,4190,88000,FlixBus,2025-05-28,,,{}
113772,60026,2025-01-21,1305000,9,No disponible,1305,jorge3732696@viajes.cl,Fuengirola,Estepona,,4056,145000,EME Bus,2025-08-22,2025-08-24,,{}
146861,,,,,Disponible,0,jorge4122526@viajes.cl,Gecho,La Coruña,31,1741,57000,Greyhound,2026-09-05,,,{}
142737,64524,2025-02-28,936000,6,No disponible,936,jorge8870623@viajes.cl,Marbella,Cornellá de Llobregat,53,4196,156000,Renfe,2026-03-06,2026-03-08,,{}
91626,61829,2025-04-12,128000,2,No disponible,128,josé1588166@viajes.cl,Fuenlabrada,,48,3783,64000,FlixBus,2026-03-11,2026-03-13,,{}
131564,62278,2025-02-26,805000,5,No disponible,805,josé4375225@viajes.cl,Talavera de la Reina,Valdemoro,51,4117,161000,TGV (SNCF),2025-12-01,2025-12-03,,{}
148882,,,,,Disponible,0,joulbe128@viajes.cl,Reus,Alcalá de Guadaira,91,2364,163000,HŽ (Croacia),2026-09-24,2026-12-31,,{}
132919,65009,2025-01-23,72000,4,No disponible,72,julia1347590@viajes.cl,Logroño,Alcoy,46,209,18000,Flecha Bus,2025-10-10,2025-10-10,,
124235,59621,2025-02-21,560000,5,No disponible,560,laura4786649@viajes.cl,Salamanca,Segovia,47,758,112000,Futura,2025-03-25,2025-03-25,,{}
146968,,,,,Disponible,0,lehiqu538@viajes.cl,San Fernando,Badajoz,52,2208,140000,Air France,2025-06-10,2025-09-10,,{Mijas}
86265,61683,2025-01-05,2570000,10,No disponible,2570,leluma183@viajes.cl,Segovia,Toledo,62,2273,257000,Renfe,2025-02-21,2025-02-22,,{}
123079,55600,2025-06-20,214000,2,No disponible,214,lesama482@viajes.cl,Granollers,Cerdañola del Vallés,45,3832,107000,Omnibus de México,2026-08-28,2026-08-30,,{}
79318,61525,2025-03-17,1485000,9,No disponible,1485,lirolo275@viajes.cl,,Majadahonda,,680,165000,FlixBus,2025-03-30,,,{}
130677,63811,2025-02-26,324000,1,No disponible,324,loalza265@viajes.cl,Elda,Estepona,7,3742,324000,CFR (Rumania),2026-07-23,2026-07-25,,{}
145953,,,,,Disponible,0,loecca129@viajes.cl,Alcoy,León,31,3212,111000,Turbus,2025-01-11,,,{}
143092,58293,2025-03-15,1296000,8,No disponible,1296,lola2604830@viajes.cl,Gerona,Gerona,40,1310,162000,Buses Romani,2026-04-06,2026-04-06,,{}
96820,61576,2026-05-26,1722000,6,No disponible,1722,lomato408@viajes.cl,Manresa,Orihuela,39,3650,287000,NS International,2026-06-04,,,{}
149390,,,,,Disponible,0,lucas4005174@viajes.cl,Pontevedra,Vitoria,63,1291,132000,SBB (Suiza),2025-07-01,2025-08-23,,{}
134351,60238,2025-07-10,152000,2,No disponible,152,luenhe662@viajes.cl,Linares,Molina de Segura,51,2147,76000,BDZ (Bulgaria),2026-02-07,,,{}
146557,,,,,Disponible,0,luulva107@viajes.cl,Marbella,Cáceres,46,2418,126000,Plusmar,2025-05-30,,,{}
125381,62447,2025-01-30,214000,1,No disponible,214,luvade652@viajes.cl,Viladecans,Viladecans,97,3673,214000,SNCB (Bélgica),2026-01-13,2026-01-15,,{}
145822,,,,,Disponible,0,luzaja127@viajes.cl,Alcalá de Guadaira,Puertollano,38,672,188000,EME Bus,2025-01-14,,,{}
147684,,,,,Disponible,0,maancare777@viajes.cl,Molina de Segura,Salamanca,87,2931,119000,Aeroméxico,2025-06-19,2025-10-19,Clase ejecutiva,
145029,,,,,Disponible,0,maanordean108@viajes.cl,Cornellá de Llobregat,Jerez de la Frontera,47,656,170000,BoltBus,2025-11-25,,,{}
83558,62440,2025-01-05,1170000,10,No disponible,1170,maanvaju254@viajes.cl,Vigo,Rubí,64,3250,117000,VRZ (Croacia),2025-02-10,2025-02-12,,{}
130555,62300,2025-05-08,298000,2,No disponible,298,mabadu448@viajes.cl,Pozuelo de Alarcón,Jerez de la Frontera,43,2431,149000,,2026-04-13,2026-04-14,,{}
145563,,,,,Disponible,0,macrcrlo627@viajes.cl,Cartagena,Cádiz,45,143,45000,Plusmar,2025-05-17,,,{}
149141,,,,,Disponible,0,maelabco272@viajes.cl,San Fernando,Alcalá de Guadaira,92,920,68000,SJ (Suecia),2026-08-01,2026-09-08,,
148835,,,,,Disponible,0,maespa877@viajes.cl,Sabadell,Huelva,26,1598,78000,VR (Finlandia),2026-09-09,2026-11-14,,{}
114758,64416,2025-08-10,302000,2,No disponible,302,mafitr540@viajes.cl,Puertollano,Paterna,10,4300,151000,ŽFBH (Bosnia y Herzegovina),2025-10-18,2025-10-20,,{}
145858,,,,,Disponible,0,malucaru511@viajes.cl,Gijón,Irún,48,3087,181000,Futura,2025-02-08,,,{}
