panorama_id,nombre,edad
78435,Ariadna Bravo Abeyta,51
78435,María del Carmen Pérez Arguello,18
78436,Timoteo Arriaga Ortega,64
78436,Raúl Adame Delgado,70
78436,Manuela Perea Reyna,85
78436,Manuel Sepúlveda Almaraz,82
78436,Catalina Almaraz Collazo,93
78437,Guillermina Llamas Marín,93
78437,Cecilia Tamayo Aguayo,110
78437,Ramón Lozada Acuña,84
78437,Eva Calderón Romo,78
78437,,68
78437,César Bernal Quintero,106
78438,Benjamín Barela Mota,15
78438,,104
78438,Germán Tapia Cabán,
78438,Sr. Eduardo Flores Linares,76
78438,,
78438,Samuel Delgadillo Delagarza,-18
78443,,103
78443,,56
78444,Luz Jáquez Abreu,33
78444,Diana Dávila Raya,38
78444,Octavio Aguayo Alcaraz,82
78444,Lilia Esparza Mateo,22
78446,,52
78446,Jerónimo Narváez Fuentes,81
78446,Mario Maestas Blanco,57
78446,Germán León Quintero,58
78449,Sra. Berta Mercado Saldivar,100
78449,,75
78449,Concepción Aguayo Almaraz,61
78449,Ana Rendón Pérez,94
80451,,24
78449,Verónica Maestas Santiago,57
78449,Lorenzo Sáenz Lovato,30
78449,Gabriel Polanco Padrón,
78450,Elisa Villareal Méndez,84
78450,Lourdes Blanco Garay,-60
78450,Victoria Maldonado Puga,57
78450,,99
78450,Rebeca Garibay Deleón,64
78450,Sta. Silvia Valdivia Fonseca,57
78450,Alberto Calvillo Tirado,17
78450,Mario Nájera Irizarry,20
78457,Adela Vanegas Lerma,
,,37
78458,Agustín Pagan Granados,43
78458,Leonor Godoy Oquendo,109
78458,Sra. Enrique Zepeda Serna,75
78458,Sr. César Echevarría Sauceda,-54
78458,Sra. Rubén Rodríquez Saldaña,92
78458,Sergio Ozuna Montañez,9
78458,Esperanza Meza Contreras,11
78458,Pablo Delarosa Jaramillo,80
78459,Marta Magaña Bernal,
78464,Sra. Lola Chapa Batista,9
78464,Irene Alaniz Delacrúz,31
78466,Lucas Bañuelos Valentín,51
78466,Jaime Negrete Calvillo,65
78469,Sr. Martín Terrazas Villarreal,-37
78469,Ángela Rojo Lucero,
78470,Conchita Delgado Polanco,-45
78471,,94
78471,Barbara Salas Valle,
78471,,67
78471,,110
78477,,62
78477,Lorenzo Rosado Navarro,101
78478,Sra. Homero Herrera Alba,9
78478,Eva Grijalva Vargas,5
78479,Verónica Guevara Pichardo,3
78479,Pablo Rolón Bétancourt,13
78496,Florencia Matías Rosas,-64
78496,Verónica Archuleta Zaragoza,32
78496,Sr. Cristina Carrasquillo Ocampo,57
78496,Sra. Raúl Lucio Serna,94
78496,María Soledad Escalante Ybarra,41
78496,Ramón Nazario Esquivel,17
78496,Jorge Luis Villareal Araña,
78496,,13
78496,Patricia Luevano Abrego,13
78497,Sta. Benjamín Pulido Urbina,92
78497,Bernardo Colunga Hinojosa,107
78497,Eva Cisneros Nájera,15
78497,Josefina Zavala Flores,23
78497,Julio Alicea Adame,92
78497,Sr. Daniela Santana Guardado,35
78497,Sra. Rubén Negrete Deleón,24
78497,Carmen Aponte Aguilera,106
78497,Lilia Montaño Fierro,56
78499,Sr. Mariana Mascareñas Palomo,94
78499,José Eduardo Dueñas Blanco,95
78499,Ariadna Serrato Ruelas,35
78499,Sr. Luis Miguel Flórez Tamez,13
78499,Federico Nava Roque,81
78499,Alfonso Aguirre Piña,63
78499,Sra. Claudio Muñoz Jaime,71
78499,Marisol Romero Canales,12
78499,Bernardo Nieves Chávez,94
78503,,4
78504,Tomás Roque Curiel,84
78504,Mónica Hurtado Briones,16
78504,,52
78504,Sonia Hernández Méndez,4
78504,Rosario Arroyo Barela,36
78504,Sra. Juana Sisneros Sosa,49
78504,Mónica Quiroz Arenas,79
78504,Alicia Salas Solorzano,110
78505,Sr. Hugo Vaca Zelaya,18
81026,,85
78505,Fernando Laureano Caballero,110
78505,Ariadna Gallardo Ceja,5
78505,Lorenzo Munguía Guardado,5
78505,Conchita Salcido Malave,31
78505,Sta. Gabriel Gastélum Balderas,83
78505,Sergio Paredes Carreón,65
78505,Yolanda Campos Griego,
78505,Leticia Solís Mayorga,91
78506,Elvira Villarreal Lozano,-105
,,8
78506,Luz Linares Vargas,64
78506,Lucas Ruelas Garibay,44
78506,Gregorio Soliz Arellano,58
78506,Luz Barajas Guardado,80
78506,,6
78506,Francisco Vázquez Alfaro,65
78508,,109
78508,Concepción Nazario Melgar,
78513,María Eugenia Hidalgo Guerra,42
78513,Jesús Bahena Ortiz,4
78513,Concepción Lemus García,80
78514,Carmen Chávez Henríquez,78
78514,Natalia Oquendo Castellanos,109
78514,Leonor Rosado Mercado,26
78515,Sr. Magdalena Garza Gómez,87
78515,Teresa Lebrón Delacrúz,55
78515,Sta. Gloria Juárez Granados,106
78516,Guadalupe Ávalos Segovia,17
78516,Sr. Pablo Rivero Velázquez,105
78516,Sonia Benítez Miramontes,
78522,Manuel Orozco Espinosa,58
78528,Pilar Guerrero Rascón,-68
78528,,27
78529,Alejandro Rosales Delarosa,-35
,Benjamín Gonzales Solorio,
78536,María Pichardo Ponce,95
78537,Cecilia Jaramillo Lara,-110
78538,Pedro Cornejo Barraza,87
78539,Laura Esquibel Palomo,4
78540,Gerardo Valadez Rosario,82
78541,Sra. Homero Ramírez Méndez,13
78546,Natalia Castellanos Estrada,85
78546,Dorotea Deleón Blanco,43
78546,Alberto Gaytán Agosto,37
78546,Gregorio Espinosa Concepción,36
78546,Sofia Farías Rangel,8
78546,Ana Luisa Tórrez Arteaga,18
78546,Sra. Catalina Calderón Barraza,43
78546,Mercedes Leiva Pabón,
78547,Sta. Marilu Briseño Zayas,52
78547,Sr. Raquel Meléndez Maldonado,109
78547,Silvia Escobedo Urrutia,75
78547,,54
78547,Sra. Luz Alanis Lara,
78547,Sr. Inés Sánchez Nieves,43
78547,Juana Osorio Villegas,69
78548,Sta. Lola Escobar Patiño,10
78548,Josefina Pérez Cavazos,66
78548,Sr. Adela Alva Verdugo,58
78548,Jacobo Cavazos Pagan,41
78548,Magdalena Fuentes Escamilla,76
78548,Nicolás Fajardo Valladares,66
78548,Sr. Soledad Velázquez Baca,25
78548,Carlos Hernández Mojica,13
78549,Lucas Vigil Armenta,95
,Verónica Arevalo Saavedra,
78549,Sta. Elena Ballesteros Roybal,70
78549,Horacio Saiz Holguín,104
78549,Juan Carrera Valadez,26
78549,Graciela Sotelo Caraballo,105
,Fernando Valentín Peña,-25
78553,Laura Cabrera Fajardo,58
78553,,38
78553,Josefina Calderón Torres,87
78553,Cristobal Ortiz Alarcón,8
78553,Gloria Arredondo Arteaga,11
78553,Sr. Bernardo Araña Armas,53
78553,Sra. Marisol Rincón Torres,101
78553,Lorena Rodarte Rentería,73
78554,Clemente Reyes Rodrígez,
78554,Alfonso Quezada Valdivia,59
78554,Sra. Conchita Aguirre Armas,95
78554,Luis Miguel Farías Negrete,27
78554,Sra. Martín Nieves Cintrón,73
78554,Silvia Zaragoza Escobar,6
78554,Hernán Regalado Bahena,92
78554,Sra. Mariana Duran Casillas,108
,Dorotea Carrion Jáquez,
78555,Patricio Serrato Vélez,-86
78555,Daniela Guajardo Sanches,100
78555,Ángela Negrete Jimínez,57
78555,Concepción Zamora Loera,21
78555,María Cristina Gamez Santana,28
,,88
78555,Lucas Ávila Narváez,30
78555,Benjamín Nevárez Valenzuela,
78556,Carlos Corrales Salinas,-74
78556,Santiago Sarabia Franco,-105
78556,Timoteo Calvillo Rodrígez,88
78556,Florencia Fernández Carrasco,81
78556,Gabriela Montalvo Mena,76
78556,Guadalupe Botello Espinoza,28
78556,Sta. Norma Alcala Mojica,14
78556,Samuel Gaona Garibay,44
78571,Marta Ocampo Mercado,38
78572,Javier Abreu Segovia,19
78577,Sta. Verónica Alarcón Razo,-6
78583,Soledad Abeyta Olivera,79
78583,Lorena Téllez Villalobos,62
78583,Sra. Alberto Guajardo Malave,53
78583,Marisol Mireles Cardona,57
78583,Alejandro Escalante Avilés,
78584,Daniela Barrera Alicea,43
78584,Ramón Valverde Granados,90
78584,Estela Mota Cadena,
78584,Benito Arroyo Batista,61
78584,Sta. Caridad Casares Vela,12
78585,Felipe Ceballos Soto,29
78585,Beatriz Burgos Herrera,64
78585,Sta. Isabel Preciado Lugo,37
78585,Ignacio Benítez Zarate,92
78585,Víctor Anaya Abrego,28
78588,,78
78589,María Cristina Rivero Rentería,28
78590,Ramón Saldivar Páez,47
78591,Benjamín Villaseñor Rodríguez,101
78594,Sonia Villarreal Valenzuela,-95
78599,Isabela Regalado Linares,
78600,Sr. María Mesa Preciado,93
78601,Jorge Luis Marín Alcaraz,40
78601,Gloria Gamez Delatorre,8
78602,Leticia Solorio Mares,62
78602,Sra. Santiago Escamilla Lozada,68
78606,Gloria Granados Ponce,33
78606,Manuel Contreras Luevano,87
78606,Inés Corona Luevano,59
78606,Rosario Valencia Corral,4
78606,,87
78606,Sancho Mora Espino,34
78607,Sofia Franco Prado,
,María Elena Mendoza Zamora,
78608,,3
78608,José Luis Contreras Santana,34
78608,Felipe Garza Alanis,61
78608,Josefina Guerrero Delagarza,12
78608,Benito Ruiz Zepeda,28
78608,Clara Camacho Moreno,54
78612,Homero Salcedo Garza,-44
78612,Eva Yáñez Casanova,104
78612,Clara Sandoval Sierra,7
78612,Ignacio Rivas Mejía,104
78612,Blanca Rodrígez Lara,
78612,Elsa Cavazos Guzmán,74
78616,Jorge Cortez Gil,72
78616,Sr. Berta Urrutia Delagarza,92
78616,Daniel Martínez Preciado,85
78616,Vicente Vélez Parra,10
78616,Patricio Guevara Cardona,61
78617,Sra. Pablo Ramón Villanueva,8
78617,Elisa Frías Agosto,31
78617,Lorena Montoya Salgado,32
78617,,63
78618,Mariana Ozuna Salas,22
78618,Luisa Valadez Balderas,104
78618,Carolina Limón Vélez,52
78618,María Soledad Hernández Nazario,99
78618,Octavio Paredes Juárez,60
,Florencia Mena Morales,-63
78619,Cristian Leal Rubio,-13
78620,Mercedes Jiménez Aguayo,10
78620,Alejandra Gollum Muñiz,68
78620,Ramón Magaña Velásquez,73
78620,Gregorio Ulibarri Montes,58
78620,Francisca Acosta Espinal,35
78621,Manuela Saldivar Holguín,-108
78628,Mercedes Candelaria Riojas,63
78628,Sta. Soledad Lerma Acevedo,64
78628,Cristian Almonte Gastélum,51
78628,Sr. Cristobal Alemán Ceja,
78629,,28
,,104
78629,Ramón Delatorre Yáñez,39
78629,,56
78632,Berta Monroy Alaniz,32
78632,Verónica Jimínez Santacruz,46
78632,Sra. Elsa Cantú Sauceda,4
78635,Esteban Pedraza Reynoso,20
78635,Rafael Solorzano Delapaz,27
78635,Juan Carlos Preciado Valles,75
78635,Sra. Raquel Juárez Piña,18
78636,Julia Cabán Serna,89
78636,Lucia Estévez Quesada,21
78636,David Prieto Pérez,96
78636,,74
78640,Tomás Casares Padrón,97
78640,Roberto Montalvo Rael,57
78640,Óscar Robles Bustos,68
78641,José Eduardo Iglesias Espinosa,
78644,Nicolás Valle Irizarry,47
78644,Adán Pabón Vásquez,68
78644,Olivia Menchaca Ceja,47
78645,,108
78650,Luz Duarte Muro,88
78650,Miguel Ángel Roybal Linares,71
78650,Sr. Carlos Tovar Estrada,96
78650,Benito Segura Jaramillo,47
78650,María Teresa Lomeli Quiroz,5
78650,Sr. José María Luevano Mejía,57
78650,Teresa Anaya Serna,18
78651,Teodoro Roque Segura,90
78651,Josefina Quesada Olivares,110
78651,Fernando Maya Gamboa,57
78651,Gregorio Castillo Vigil,20
78651,Sta. Daniel Limón Parra,
78651,Marta Gil Pichardo,62
78651,Sta. Homero Cano Magaña,107
78653,Teodoro Hernández Guillen,46
78653,Sta. Benjamín Fernández Mesa,42
78653,Sr. Andrés Ruiz Alcaraz,21
78653,Sra. César Casas Sedillo,-15
78653,Germán Calvillo Caraballo,73
78653,Ricardo Longoria Lira,21
78656,Horacio Cabán Orozco,-30
78656,,83
78657,María Duran García,76
78657,,97
78657,Teodoro Hidalgo Villalpando,
78657,Ignacio Soliz Monroy,
78657,Sta. Pablo Villegas Noriega,101
78657,Sta. Soledad Armendáriz Ulibarri,10
78658,,7
78658,Raquel Baca Valencia,-110
78658,,44
78659,Gonzalo Duran Barrientos,8
78659,Teresa Tejada Sevilla,12
78659,Ramona Sotelo Chavarría,100
78659,Daniel Elizondo Barreto,
78659,Roberto Romero Caraballo,97
78659,Carmen Córdova Arevalo,108
78659,Manuel Garza Zúñiga,21
78660,Isabela Delarosa Bahena,43
78660,María José Domínquez Cintrón,-78
78660,Alejandro Salas Luna,49
78660,,76
78660,,107
78660,Rosa Valladares Carmona,101
78661,Jesús Salas Fernández,30
78661,Jesús Trujillo Maldonado,39
78661,Sra. Mercedes Gaytán Polanco,35
78661,Sra. Esperanza Armenta Barela,18
78661,Eloisa Mateo Carvajal,75
78661,Sra. Esperanza Terrazas Jurado,13
78671,Santiago Irizarry Aguayo,
78671,,19
78671,Mayte Calvillo Montez,9
78671,Gerardo Guerrero Correa,41
78672,Débora Saavedra Ontiveros,94
78672,Juana Toledo Hernández,16
78672,Sr. Arturo Menéndez Piña,108
78672,Rubén Feliciano Laboy,21
78673,Sr. Ariadna Serna Valencia,73
78673,Ana Robledo Villarreal,94
78673,Marilu Barragán Matos,63
78673,Martín Pagan Casas,-78
78674,Sr. Graciela Banda Alva,77
78674,Sergio Ozuna Sanabria,75
78674,Mateo Flores Arroyo,91
78675,Alejandro Alcaraz Nieves,15
78675,Sta. Ana Santacruz Flores,110
78675,Ángela Farías Soliz,16
78675,Felipe Mojica Valle,110
78678,Teresa Ruelas Cuellar,110
78678,Andrea Chávez Casas,9
78678,Mario Sisneros Blanco,90
78678,Carmen Olivo Olivares,19
83331,,30
78679,Juan Carlos Rincón Leyva,82
78679,Jacobo Niño Lucero,45
78679,María Concepción Viera,53
78679,Julio César Miranda Olivárez,9
78682,Hugo Macías Llamas,56
78682,Natalia Canales Ibarra,40
78682,Sta. César Ornelas Delarosa,5
78682,Sr. Víctor Alcántar Uribe,90
78682,Marcos Peralta Lucio,50
78683,Dorotea Jaime de Jesús,80
78683,,9
78683,Estela Corrales Tamayo,12
78686,Marcos Arenas Granado,52
78686,Dorotea Cervantes Zarate,92
78686,Clara Caballero Serrano,19
78686,Diego Rojo Fonseca,56
78687,María Menchaca Arreola,25
78687,Susana Covarrubias Quintanilla,81
78687,José Luis Corrales Guerra,79
78687,Sta. Guillermo Samaniego Granado,37
78687,Juan Carlos Verdugo Reyes,61
78688,Antonia Gallegos Chacón,
78688,Blanca Alcaraz Tejeda,55
78688,Sta. Sergio Mojica Rojo,56
78688,Elsa Fajardo Jiménez,14
78688,César Atencio Tafoya,92
78689,Sta. Patricia Barragán Cavazos,93
78689,Alejandro Arellano Olivo,14
78689,Sta. Ricardo Delvalle Muro,64
78689,Sra. Jorge Benavides Peralta,31
78689,Gonzalo Banda Apodaca,58
78692,Adán Armendáriz Delgado,
78693,,27
78694,Raquel Escamilla Cabán,15
78697,Vicente Reyes Gracia,74
78698,Carla Valladares Rosas,
78699,Martín Corona Castro,74
78700,Jacobo Alicea Villarreal,48
78701,Sr. Daniel Anaya Riojas,
78702,Raquel Garay Carrasco,29
78732,,66
78708,,77
78708,,39
78709,Sta. Diana Miranda Rangel,
78709,Horacio Collazo Quintanilla,-86
78710,Ignacio Bañuelos Arteaga,90
,María Teresa Luna Rodarte,
78710,Virginia Barragán Reyes,75
78710,Sta. Teresa Aguayo Cortez,90
78710,Sta. Sancho Gaytán Almaraz,48
78711,Antonio Caldera Rivas,
78711,Catalina Rodarte Matías,-31
78714,Sra. María Cristina Gaitán Valdivia,87
78714,,39
78714,Juan Sanabria Tello,48
78714,Adela Cervantes Collazo,14
78714,Marilu Galván Vásquez,19
78715,Ramona Tirado Venegas,36
78715,Sr. Florencia Aguayo Lozada,28
78715,Juan Sauceda Ulloa,104
78715,Guillermina Merino Rodarte,100
78715,Ramiro Tello Dávila,63
78720,Agustín Olivárez Calvillo,105
78720,Víctor Caraballo Nava,71
78720,Antonia Muro Pineda,17
78720,Clara Vigil Hernandes,34
78720,Gloria Melgar Villalobos,60
78721,Antonia Paz Razo,14
78721,Diego Bustamante Santana,61
78721,Teodoro Casas Velásquez,97
78721,Guadalupe Mondragón Padilla,54
78722,Sr. Isabela Saldivar Córdova,66
78722,Rosalia Salcedo Padrón,22
78722,Rebeca Salazar Sisneros,90
78722,Micaela Carranza Dueñas,110
78722,Débora Rosado Barrientos,25
78723,Rocio Valdés Solís,42
78723,Sra. Clemente Meza Angulo,81
78723,Sr. Agustín Herrera Ortiz,71
78723,Luis Miguel Roldán Ledesma,55
78723,José Emilio Guardado Ojeda,24
78724,Blanca Delarosa Granados,24
78724,Ramiro Grijalva Mares,102
78724,Octavio Briones Alarcón,101
78724,Elisa Vélez Limón,106
78724,Jerónimo Avilés Alanis,103
78725,Víctor Carrera Casares,63
78725,Armando Alvarez Chapa,19
78725,,74
78725,Sta. Fernando Ferrer Cedillo,24
78731,,23
78738,Lorena Cruz Puga,6
78738,Jesús Heredia Nazario,13
,,5
78739,Esteban Toledo Cadena,
78740,Manuela Camarillo León,37
78740,Verónica Núñez Rael,23
78745,Sta. Susana Riojas Madrid,79
78745,David Muñiz Castillo,65
78750,,-34
78751,Sergio Apodaca Caballero,12
78751,Reina Maestas Enríquez,105
78752,Carla de Anda Polanco,45
78752,Nicolás Berríos Uribe,69
84549,,80
78755,,90
78763,Teodoro Delrío Barela,
78763,Beatriz Negrón Curiel,93
78763,Fernando Zamora Marroquín,55
78764,Eduardo Véliz Farías,
78764,Raúl Sauceda Salcedo,108
78764,Santiago Alemán Ocasio,83
78765,Carla Guerra Arredondo,44
78765,Gabriel Rojas Palomo,22
78765,Miguel Griego Holguín,100
78766,Eduardo Tamez Bustamante,93
78766,Sr. Alejandra Rael Matías,96
78766,Sta. Antonia Negrón Salcedo,16
78767,Rebeca Brito Gamboa,29
78767,Catalina Ávila León,8
78770,Agustín Tejeda Jaramillo,-34
78770,Inés Candelaria Fonseca,53
78770,Daniel Duran Cuellar,60
78771,Carla Tovar Cruz,96
78776,Sta. María Luisa Sotelo Franco,15
78776,Carlos Galarza Quesada,81
78776,Ana María Mireles Agosto,71
78776,Sr. Salvador Polanco Sedillo,105
78776,Javier Salcedo Soliz,104
78776,Cristian Tijerina Sauceda,-45
78781,Sonia Acosta Irizarry,-12
78781,Óscar Adorno Cerda,75
78781,Jacobo Paz Villanueva,18
78781,Ana María Maestas Salcedo,100
78781,Jaime Sotelo Espino,19
78781,José Emilio Henríquez Posada,40
78782,Armando Uribe Lomeli,103
78782,Sra. Ariadna Echevarría Salgado,
78782,,52
78782,Sra. Homero Meléndez Carrasquillo,81
78782,Reina Galarza Verdugo,110
78782,Concepción Briones Hurtado,44
78785,Sta. Claudio Briseño Cornejo,
78785,,44
78789,Sr. Federico Gracia Henríquez,-106
78789,Ernesto Soto Negrón,55
78789,Jerónimo Soria Nazario,63
78789,Mateo Pulido Maya,
78789,Cristian Urbina Melgar,94
78789,Ramiro Puga Portillo,51
78789,Diana Cadena Espinosa,
78791,Soledad Enríquez Pedroza,48
78791,Reina Galván Gallardo,94
78791,Julio César Ramírez Delao,83
78791,Sr. Pilar Soto Guardado,80
78791,Daniel Contreras Laureano,16
78791,Sra. Víctor Urrutia Cortez,4
78791,Margarita Luevano Curiel,
78792,,16
78793,Arturo Verdugo Marrero,87
78793,Sra. Jesús Saavedra Parra,68
78793,Sra. Estela Prieto Riojas,7
78793,Mateo Deleón Garica,105
78793,Sra. Joaquín Olvera Medrano,99
78793,,102
78793,Francisca Matos Baeza,78
78798,Elvira Sierra Heredia,17
78798,Marco Antonio Armenta Zavala,26
78798,Timoteo Godínez Cavazos,109
78798,Blanca Hurtado Sánchez,42
78798,Catalina Gil Valdez,11
78798,César Jaime Tafoya,16
78799,,34
78800,Fernando Lucio Calvillo,67
78800,Mónica Urías Riojas,69
78800,Mario Ayala Lerma,24
78800,Patricia Girón Leal,21
78800,Marisol Canales Cantú,
78800,Federico Vanegas Arguello,61
78801,,31
78804,Octavio Heredia Escobedo,19
78804,Olivia Perea Delacrúz,63
78804,Guillermo Santillán Anaya,75
,Sr. Eloisa Llamas Pacheco,-10
78804,María del Carmen Villalobos Guevara,90
78804,Octavio Preciado Hurtado,
78805,Alberto Alcántar Espinosa,-49
78806,,67
78806,Martín Riojas Maestas,-48
78807,,106
78812,,8
78813,Ramiro Batista Amaya,38
78813,Olivia Ledesma Monroy,53
78813,Patricio Cadena Casárez,25
78813,Miguel Ángel Puga Estévez,68
78813,Sr. Federico Deleón Aranda,53
78813,Sra. Olivia Pulido Ureña,96
78813,Sta. Miguel Paredes Riojas,4
78813,Carolina Barraza Vergara,61
78813,Francisco Niño Abrego,13
78814,Blanca Alejandro Montañez,-68
78814,Jorge Luis Solorzano Anguiano,
78817,Antonia Guerra Soto,75
78817,Patricio Cuellar Quintero,10
78826,Sra. María Eugenia Madrid Lebrón,28
78826,Susana Acuña Meza,-54
78826,Blanca Colón Rodríguez,54
78826,Patricio Márquez Valdivia,100
78826,Lucia Pedroza Peres,53
78826,Sancho Valdivia Baca,26
78826,Sr. Juana Contreras Orozco,99
78826,Carmen Garibay Estrada,21
78826,Gilberto de Anda Pacheco,47
78826,Ana Águilar Ruiz,13
78827,Santiago Concepción Navarrete,35
78827,Yolanda Solorio Arguello,27
78827,Mateo Almaraz Escobedo,93
78827,Rubén Nieto Ceja,18
78827,Luz Segura Flores,109
78827,Mayte Luna Rodrígez,13
78827,Guadalupe Pagan Quintero,70
78827,Javier Villagómez Estrada,10
78827,Clemente Romo Velasco,84
78827,Alicia Bustos Granado,47
78830,Eloisa Treviño Adame,
78833,Francisca Tafoya Garay,-10
78833,,107
78846,Elena Valle Sandoval,
78846,Gilberto Gastélum Nava,
,Sra. Germán Chávez Mesa,-87
78847,Cristian Domínguez Trejo,
78848,Verónica Coronado Mercado,59
78848,Rodrigo Chapa Covarrubias,
78848,Marcela Brito Almaraz,25
78848,Sr. Estela Benavides Rivero,56
78848,Sta. Benjamín Ochoa Espino,35
78848,Vicente Henríquez Olivares,103
78848,Adela Pelayo Castañeda,89
78848,,53
78848,Ramona Corral Gamez,9
78855,Sta. Catalina Zúñiga Cerda,55
78855,Guadalupe Polanco Corral,43
78855,Sofia Araña Reséndez,8
78855,Sr. Rosa Navarrete Pérez,56
78855,José Luis Parra Valadez,16
78856,Ramiro Casas Adorno,75
78856,María Soledad Mena Galarza,19
78856,Marcela Menchaca Varela,104
78856,José Emilio Anguiano Garza,56
78857,,22
78864,,31
78864,Sra. Alicia Ybarra Olivo,
78866,Jacobo Montoya Hinojosa,-11
78867,Marcos Curiel Patiño,19
78867,Sr. Luis Miguel Salas Burgos,71
78867,Laura Medina Zepeda,74
78867,Jesús Badillo Villalpando,83
78867,Graciela Martínez Esparza,29
78870,Clara Godínez Ochoa,81
78870,Luis Cotto Medrano,54
78870,,58
78870,Sra. Rubén Cervántez Baca,65
78870,Jorge Luis Medina Casares,95
78870,,13
78870,Rosa Almaraz Villareal,13
78885,Sra. Víctor Arellano Zarate,86
78885,Lucia Cazares Orellana,
78885,Irene Rangel Porras,90
78885,Eva Alcántar Henríquez,51
78885,Alicia Miramontes Corrales,64
78885,José Eduardo Delao Carvajal,95
78885,Samuel Villalpando Henríquez,10
78885,Óscar Beltrán Anaya,87
78886,Sr. Soledad Aguilera Montoya,
78886,María Cristina Apodaca Guerrero,8
78886,Alfonso Ureña Alfaro,-75
78886,Guillermo Calderón Loya,16
78886,Rubén Carbajal Gómez,70
78886,Sr. Miguel Ángel Polanco Gálvez,22
78886,Sancho Ontiveros Domínguez,6
78886,Caridad Bonilla Griego,83
78887,,34
78887,Gonzalo Gaona Terrazas,20
78887,Francisco Aguilera Cordero,43
78887,Mariano Salgado Villagómez,12
78887,Micaela Delrío Olivares,69
78887,Sra. María Soledad Araña Santillán,59
78887,Inés Caballero Menchaca,78
78892,Carlota Leyva Zamora,98
78892,Carlos Anguiano Corral,83
78892,Sta. Silvia Rubio Cortés,81
78896,Caridad Romo Aparicio,
78896,Yolanda Tovar Castro,-87
78899,Jaime Ayala Mendoza,38
78899,Claudio Feliciano Medina,
78899,Felipe Anguiano Velázquez,89
78899,Sra. Luis Bañuelos Perales,104
78899,Alfonso Romo Saiz,17
78899,Carmen Cavazos Castillo,81
78899,Mayte Archuleta Villalpando,56
78903,Marcela Bueno Mena,96
78903,Sr. Homero Almonte Barrientos,20
78903,,74
78903,Gloria Montez Serrano,80
78903,Lola Ureña Bonilla,28
78903,,64
78903,Jerónimo Peralta Fernández,48
78904,José María Camacho Mondragón,13
78904,Alfredo Peres Zavala,41
78904,,79
78904,Sra. María Madera Domínguez,3
78904,Sra. Jorge Luis Ávalos Marrero,20
78904,Mario Rosales Verduzco,4
78904,Jerónimo Márquez Carreón,-90
78905,Ignacio Carvajal Cerda,-96
78915,Sr. Sergio Delgado Rosado,103
78915,Cecilia Narváez Espinal,-101
78915,Alicia Arevalo Torres,76
78917,Sra. Laura Delgado Delvalle,79
78917,Verónica Banda Orozco,69
78917,Ana Luisa Calvillo Loera,74
78918,Jorge Luis Aranda Canales,55
78918,Graciela Paredes Llamas,18
78919,Guadalupe Reynoso Guillen,69
78919,Gregorio Castellanos Mejía,-35
78919,Sr. Antonio Guerra Tórrez,58
,Adriana Rivera Preciado,
78922,Sancho Fuentes Balderas,12
78922,Alfredo Santana Garica,-95
78922,Lilia Candelaria Esparza,13
78922,Manuel Ureña Menéndez,56
78922,Arturo Carvajal Montaño,25
78922,Sra. Marilu Cantú Mata,45
78922,Mateo Delao Feliciano,
78923,Laura Godínez Espinal,-82
78924,Salvador Luna Vallejo,92
78924,Jacobo Banda Fuentes,80
78924,Marta Olivas Abeyta,78
78924,Clara Gurule Villa,104
