Nombre;Apellidos;Sexo;Edad;País de Origen;Fundación;Razón Tras la Donación;Fecha de Donación;Frecuencia de Participación
Ernesto;Peres Arellano;F;58;Chile;Fundación Crescendo;conciencia social;2024-08-31;anual
Mauro;Pichardo Puga;M;62;Chile;DKMS Chile;experiencia personal;2023-02-03;mensual
Fabiola;Montaño Dávila;F;28;Chile;Fundación Crescendo;conocido;2024-03-09;anual
Óliver;Valencia Lemus;M;43;Chile;Aldeas Infantiles SOS Chile;ayuda comunitaria;2023-05-04;trimestral
Guillermina;Piña Vélez;F;34;Chile;WWF Chile;responsabilidad empresarial;2022-04-14;única
Esperanza;Colunga Linares;M;74;Chile;Aldeas Infantiles SOS Chile;experiencia personal;2022-09-05;única
Esperanza;Limón Quintana;M;59;Chile;Coanil;conciencia social;2022-07-25;única
Pablo;Maestas Nájera;M;75;Chile;Aldeas Infantiles SOS Chile;responsabilidad empresarial;2024-10-11;mensual
Alicia;Jasso Calvillo;F;56;Chile;WWF Chile;responsabilidad empresarial;2023-10-12;única
José Luis;Sierra Morales;F;47;Chile;Coanil;ayuda comunitaria;2022-08-17;única
Emiliano;Echeverría Corral;M;40;Chile;Coanil;conciencia social;2020-05-17;única
Carlota;Arredondo Heredia;F;38;Chile;Aldeas Infantiles SOS Chile;experiencia personal;2021-12-11;mensual
Enrique;Tejeda Pineda;M;20;Chile;Fundación Sonrisas;responsabilidad empresarial;2025-01-17;trimestral
Jaqueline;Preciado Montero;M;19;Chile;Coanil;ayuda comunitaria;2024-12-26;mensual
Tomás;Olivares Bañuelos;F;42;Chile;WWF Chile;experiencia personal;2022-04-08;trimestral
Alonso;Esquivel Cervantes;M;58;Chile;WWF Chile;ayuda comunitaria;2023-11-16;anual
Cristal;Venegas Armas;M;64;Chile;Coanil;conocido;2021-06-15;anual
Sonia;Peralta Sotelo;F;45;Chile;Fundación Sonrisas;conciencia social;2020-11-21;única
Camila;Ponce Treviño;M;73;Chile;Fundación Crescendo;conocido;2021-05-12;única
Hugo;Vanegas Villaseñor;F;44;Chile;Coanil;conciencia social;2024-04-27;mensual
Clara;Fierro Posada;M;72;Chile;Fundación Crescendo;conciencia social;2023-05-10;trimestral
Esmeralda;Nevárez Padrón;F;73;Chile;Fundación Crescendo;ayuda comunitaria;2023-11-18;trimestral
Rolando;Mora Solano;F;42;Chile;WWF Chile;responsabilidad empresarial;2022-07-01;trimestral
Ignacio;Aranda Córdova;F;51;México;Aldeas Infantiles SOS Chile;conciencia social;2022-05-04;anual
Lucía;Godoy Almaraz;F;63;México;Aldeas Infantiles SOS Chile;ayuda comunitaria;2021-06-09;trimestral
Débora;Guajardo Benítez;M;48;México;DKMS Chile;conciencia social;2023-02-10;trimestral
Salma;Vélez Nava;F;64;México;Aldeas Infantiles SOS Chile;responsabilidad empresarial;2024-11-08;anual
Magdalena;Rosas Centeno;F;54;México;Fundación Crescendo;conciencia social;2022-12-25;única
Elvia;Leiva Trujillo;M;69;México;Fundación Crescendo;experiencia personal;2023-01-29;mensual
Concepción;Godínez Báez;M;27;México;Fundación Sonrisas;conciencia social;2023-04-06;anual
Jaime;Cardenas Rodríquez;F;73;México;Aldeas Infantiles SOS Chile;experiencia personal;2022-06-23;trimestral
Porfirio;Lucero Romero;M;69;México;Coanil;conocido;2023-07-03;mensual
Barbara;Madera Velasco;F;24;México;Aldeas Infantiles SOS Chile;conocido;2022-11-13;trimestral
Hugo;Acosta Ulloa;F;28;México;Fundación Crescendo;conocido;2021-08-21;anual
Marisela;Núñez Guevara;M;68;México;WWF Chile;conciencia social;2021-02-15;mensual
Florencia;Cotto Preciado;F;25;México;Fundación Sonrisas;ayuda comunitaria;2024-03-18;mensual
Claudia;Sierra Baeza;M;61;México;Fundación Sonrisas;responsabilidad empresarial;2020-06-15;trimestral
Mauricio;Montañez Beltrán;M;29;México;Fundación Crescendo;conocido;2021-02-04;única
Michael;Duncan Porter;M;69;Colombia;WWF Chile;conciencia social;2021-01-19;anual
Meredith;Baker Bradley;F;26;Colombia;Coanil;conocido;2024-08-23;anual
Jasmine;Wilson Horne;M;65;Colombia;Fundación Crescendo;experiencia personal;2022-03-19;mensual
Jason;Gray Johnson;F;36;Colombia;Aldeas Infantiles SOS Chile;experiencia personal;2023-06-06;trimestral
Tammy;Yates Berry;M;29;Colombia;Coanil;conciencia social;2021-01-22;única
Kirsten;Rivera Jones;F;33;Colombia;Fundación Crescendo;responsabilidad empresarial;2023-01-13;trimestral
Kristen;Morris Ortiz;M;46;Colombia;Aldeas Infantiles SOS Chile;conciencia social;2023-01-29;mensual
Donald;Olsen Sanders;M;73;Colombia;Coanil;ayuda comunitaria;2024-12-14;mensual
Daniel;Wilson Nelson;M;74;Colombia;DKMS Chile;conciencia social;2021-03-26;mensual
Rachel;Romero Huff;M;28;Colombia;Coanil;conocido;2022-04-22;anual
John;Wilson Mckay;M;49;Colombia;Fundación Crescendo;experiencia personal;2025-04-23;trimestral
Steven;Wells Whitney;M;45;Colombia;Fundación Crescendo;responsabilidad empresarial;2022-09-07;anual
Marissa;Ramirez Ortiz;M;62;Colombia;WWF Chile;conciencia social;2020-10-13;trimestral
Tammy;Henderson Brooks;F;21;Colombia;Fundación Crescendo;experiencia personal;2022-12-30;anual
Jesus;Jones Walker;F;32;Colombia;Fundación Sonrisas;ayuda comunitaria;2020-11-16;anual
Sébastien;Bonnet;M;26;Francia;Fundación Crescendo;responsabilidad empresarial;2024-10-14;trimestral
Luc;Carlier;F;48;Francia;Aldeas Infantiles SOS Chile;conocido;2025-04-27;trimestral
Christophe;Techer;F;21;Francia;WWF Chile;ayuda comunitaria;2022-11-13;mensual
Auguste;Masson;M;34;Francia;WWF Chile;ayuda comunitaria;2020-10-09;anual
Luc;Thomas;M;36;Francia;Coanil;conocido;2020-07-14;mensual
Frédérique;Roger;M;70;Francia;Coanil;conocido;2024-05-14;única
Simone;Launay;F;52;Francia;Fundación Sonrisas;ayuda comunitaria;2022-11-14;trimestral
Benjamin;Diallo;F;49;Francia;DKMS Chile;conocido;2024-04-14;mensual
Lorraine;Dos Santos;F;67;Francia;WWF Chile;responsabilidad empresarial;2022-08-08;única
Bernard;Boulay;M;71;Francia;DKMS Chile;experiencia personal;2022-04-13;anual
Tammy;Marquez Rogers;F;43;Bolivia;Coanil;ayuda comunitaria;2024-03-09;mensual
Katie;Woodward Jacobs;M;71;Colombia;Fundación Crescendo;conocido;2022-02-28;mensual
Rebecca;Hale Copeland;F;19;Argentina;WWF Chile;experiencia personal;2021-04-01;mensual
David;Cooper Brown;F;59;Bolivia;Fundación Sonrisas;responsabilidad empresarial;2024-06-18;trimestral
Jared;Green Carson;F;67;Perú;Coanil;conocido;2022-05-04;única
Julian;Knox Cabrera;M;69;México;DKMS Chile;ayuda comunitaria;2022-09-29;mensual
Mark;Gregory Mcbride;M;56;México;Aldeas Infantiles SOS Chile;responsabilidad empresarial;2024-08-21;mensual
Jacqueline;Boyd Smith;F;33;Uruguay;Coanil;ayuda comunitaria;2023-08-18;trimestral
Jennifer;Hernandez Gomez;F;72;Perú;Coanil;responsabilidad empresarial;2020-05-07;trimestral
Candice;Nash Warren;M;64;Argentina;Fundación Sonrisas;responsabilidad empresarial;2024-07-11;anual
Daniel;Blake Miller;M;66;Uruguay;Coanil;experiencia personal;2024-07-29;mensual
Jaclyn;Hansen Snow;M;23;Argentina;Fundación Sonrisas;conciencia social;2022-03-18;trimestral
Tara;Drake Williams;F;29;Bolivia;Fundación Sonrisas;experiencia personal;2020-06-09;mensual
Mark;Erickson Jennings;M;65;Ecuador;Coanil;conocido;2023-08-15;única
William;Pope Williams;M;28;Bolivia;DKMS Chile;responsabilidad empresarial;2022-04-17;anual
Levi;Martinez Smith;M;70;Bolivia;Aldeas Infantiles SOS Chile;conocido;2021-10-10;trimestral
Anthony;Kelly Cox;F;20;Paraguay;Fundación Sonrisas;conocido;2023-11-05;trimestral
Mark;Carter Morales;F;66;Argentina;Fundación Crescendo;experiencia personal;2023-07-06;única
Vincent;Eaton Gonzales;F;58;Uruguay;Fundación Sonrisas;conciencia social;2025-02-19;única
Teresa;Nelson Smith;F;53;Colombia;Fundación Crescendo;responsabilidad empresarial;2021-08-14;anual
Amber;Le Hubbard;M;25;México;Fundación Crescendo;ayuda comunitaria;2020-10-10;única
Kelsey;Jordan Taylor;M;27;Argentina;WWF Chile;experiencia personal;2022-03-28;anual
Kelly;Miller Hill;M;23;Perú;Fundación Sonrisas;conocido;2021-06-13;única
Christian;Harrison Lee;M;64;Bolivia;WWF Chile;conocido;2022-01-03;única
Garrett;Bush Hale;F;25;Uruguay;Aldeas Infantiles SOS Chile;conocido;2025-02-14;anual
Brittney;Anderson Lee;M;42;Ecuador;Coanil;conocido;2023-05-24;trimestral
Angela;Scott Villa;M;35;Paraguay;DKMS Chile;responsabilidad empresarial;2022-01-13;mensual
Anthony;Strong Olson;F;64;Paraguay;DKMS Chile;experiencia personal;2023-04-30;trimestral
Larry;Gonzalez Clark;M;69;Ecuador;Coanil;experiencia personal;2021-09-05;anual
Jerry;Ferguson Harris;F;54;México;DKMS Chile;responsabilidad empresarial;2024-02-14;trimestral
Victor;Girard;M;58;Italia;Aldeas Infantiles SOS Chile;experiencia personal;2024-04-20;mensual
Christine;Gosselin;F;44;India;WWF Chile;conciencia social;2024-10-28;mensual
Danielle;Devaux;F;47;Canadá;Fundación Sonrisas;conciencia social;2022-10-31;mensual
Lucas;Carlier;M;45;Sudáfrica;DKMS Chile;ayuda comunitaria;2023-01-01;única
Laetitia;Samson;F;37;Canadá;Fundación Sonrisas;conocido;2023-09-06;trimestral
Marguerite;Lagarde;M;59;Sudáfrica;DKMS Chile;conocido;2024-05-02;única
Joséphine;Fernandez;M;43;Sudáfrica;Coanil;responsabilidad empresarial;2021-02-21;única
Juliette;Germain;M;57;Sudáfrica;DKMS Chile;experiencia personal;2023-02-26;anual
Claude;Tessier;M;65;Alemania;Fundación Crescendo;experiencia personal;2021-01-10;mensual
Thibaut;Masson;M;32;Alemania;Fundación Sonrisas;conciencia social;2025-01-25;única
José        ;Romero;M;25;Chile;DKMS Chile;conciencia social;2023-03-26;mensual
María;López;F;33;Argentina;WWF Chile;responsabilidad empresarial;14-02-2024;trimestral
José;Pérez;M;61;México;DKMS Chile;conocido;02-12-2022;mensual
Camila;Fernández;F;27;Perú;Aldeas Infantiles SOS Chile;ayuda comunitaria;27-01-2024;única
Andrés;González;M;54;Colombia;Fundación Sonrisas;experiencia personal;10-05-2023;mensual
Valentina;Morales;F;39;Venezuela;Coanil;conciencia social;19-09-2023;trimestral
Luis;Torres;M;42;Argentina;WWF Chile;ayuda comunitaria;02-03-2024;mensual
Antonia;Rojas;F;24;Chile;DKMS Chile;conocido;25-07-2023;única
Felipe;Soto;M;36;Perú;Fundación Crescendo;responsabilidad empresarial;06-10-2022;mensual
Fernanda;Silva;F;31;México;Coanil;conciencia social;20-11-2023;trimestral
Joaquín;Reyes;M;45;Colombia;Aldeas Infantiles SOS Chile;ayuda comunitaria;18-02-2024;mensual
Daniela;Navarro;F;28;Venezuela;Fundación Sonrisas;experiencia personal;15-03-2023;mensual
Matías;Castillo;M;63;Argentina;Fundación Crescendo;conocido;11-04-2024;única
Isidora;Vera;F;35;Chile;WWF Chile;responsabilidad empresarial;02-08-2023;mensual
Benjamín;Herrera;M;52;México;DKMS Chile;conciencia social;21-11-2022;mensual
Elisa ;Camilo;F;49;Chile;Fundación Crescendo;experiencia personal;09-06-2023;trimestral
Alan ;Saavedra;M;62;Argentina;WWF Chile;conocido;15-03-2023;mensual
Julian ;Samaniego;M;45;Colombia;DKMS Chile;conciencia social;28-09-2023;mensual
Ramon ;Zuñiga;M;58;México;Fundación Sonrisas;ayuda comunitaria;19-06-2024;trimestral
Mark;Gonzalez;M;33;Perú;Coanil;responsabilidad empresarial;02-12-2023;anual
Juan;Perez;M;22;Ecuador;Aldeas Infantiles SOS Chile;experiencia personal;08-11-2023;mensual
Fransisco;Matus;M;36;Uruguay;Fundación Crescendo;conocido;11-04-2024;única
Pierre;Aubameyang;M;40;Paraguay;WWF Chile;conciencia social;24-08-2022;trimestral
Vicente;Pavez;M;65;Bolivia;DKMS Chile;ayuda comunitaria;16-01-2024;mensual
Arturo;Mundaca;M;71;Chile;Fundación Sonrisas;responsabilidad empresarial;03-07-2023;mensual
Camilo;Espina;M;35;Argentina;Coanil;experiencia personal;18-02-2024;única
Cristobal;Cazanova;M;19;Colombia;Aldeas Infantiles SOS Chile;conocido;11-05-2023;mensual
Isidora;Berrios;F;60;México;Fundación Crescendo;conciencia social;09-03-2024;única
Catalina;Ortega;F;53;Perú;WWF Chile;ayuda comunitaria;25-12-2023;trimestral
Sebastian;Varas;M;25;Ecuador;DKMS Chile;responsabilidad empresarial;03-10-2023;mensual
Jessica;Chavez;F;43;Uruguay;Fundación Sonrisas;experiencia personal;12-08-2023;anual
Alex;Rombierg;M;30;Paraguay;Coanil;conocido;29-07-2023;trimestral
Camila;Garcia;F;59;Bolivia;Aldeas Infantiles SOS Chile;conciencia social;20-10-2022;única
Omar;Contreras;M;75;Chile;Fundación Crescendo;ayuda comunitaria;01-09-2023;mensual
Agustin;Chavez;M;61;Argentina;WWF Chile;responsabilidad empresarial;06-11-2022;mensual
Cesar;Maldonado;M;55;Colombia;DKMS Chile;experiencia personal;23-06-2023;trimestral
Martin;Etcheberry;M;41;México;Fundación Sonrisas;conocido;14-08-2023;anual
Pablo;Pereira;M;23;Perú;Coanil;conciencia social;11-11-2023;mensual
Lionel;Cuccitini;M;44;Ecuador;Aldeas Infantiles SOS Chile;ayuda comunitaria;19-03-2023;trimestral
Yuki;Ishikawa;M;50;Uruguay;Fundación Crescendo;responsabilidad empresarial;06-09-2023;única
Kaj;Krogh;M;69;Paraguay;WWF Chile;experiencia personal;10-12-2023;trimestral
Dusan;Bonacic;M;64;Bolivia;DKMS Chile;conocido;17-04-2023;anual
Piero;Pastene;M;38;Chile;Fundación Sonrisas;conciencia social;30-10-2023;única
Priscila;Ortiz;F;47;Argentina;Coanil;ayuda comunitaria;19-07-2023;mensual
Penelope;Lourdes;F;66;Colombia;Aldeas Infantiles SOS Chile;responsabilidad empresarial;22-11-2023;mensual
Natalia;Valdebenito;F;32;México;Fundación Crescendo;experiencia personal;27-08-2023;anual
Trinidad;Ulloa;F;37;Perú;WWF Chile;conocido;25-04-2024;trimestral
Carola;De Moras;F;52;Ecuador;DKMS Chile;conciencia social;15-12-2022;única
Carolina;Jerez;F;46;Uruguay;Fundación Sonrisas;ayuda comunitaria;21-05-2023;mensual
Patricia;Yañez;F;28;Paraguay;Coanil;responsabilidad empresarial;08-01-2024;mensual
Alejandra;Gonzalez;F;34;Bolivia;Aldeas Infantiles SOS Chile;experiencia personal;01-03-2024;anual
Valentina;Salcedo;F;21;Chile;Fundación Crescendo;conocido;05-08-2023;mensual
Valentina;Machuca;F;20;Argentina;WWF Chile;conciencia social;01-07-2023;única
Mara;Metz;F;70;Colombia;DKMS Chile;ayuda comunitaria;10-06-2023;mensual
Marie;Depay;F;48;México;Fundación Sonrisas;responsabilidad empresarial;15-09-2022;trimestral
Michael;Jordan;M;29;Perú;Coanil;experiencia personal;03-09-2023;mensual
Emma;Myers;F;31;Ecuador;Aldeas Infantiles SOS Chile;conocido;25-11-2022;trimestral
Alexander;Simpson;M;63;Uruguay;Fundación Crescendo;conciencia social;17-11-2023;anual
Brian;Jacobs;M;42;Paraguay;WWF Chile;ayuda comunitaria;12-03-2023;mensual
Brayan;Perez;M;26;Bolivia;DKMS Chile;responsabilidad empresarial;28-05-2023;mensual
John;Kennedy;M;67;Chile;Fundación Sonrisas;experiencia personal;29-06-2023;única
Christian;Berrios;M;18;Argentina;Coanil;conocido;13-10-2023;trimestral
Joao;Felix;M;54;Colombia;Aldeas Infantiles SOS Chile;conciencia social;05-10-2022;única
Cristopher;Contador;M;24;México;Fundación Crescendo;ayuda comunitaria;22-08-2023;anual
Juana;Babileck;F;39;Perú;WWF Chile;responsabilidad empresarial;27-11-2022;trimestral
Juan;Contreras;M;35;Ecuador;DKMS Chile;experiencia personal;09-02-2024;mensual
Jovany;Campuzano;M;73;Uruguay;Fundación Sonrisas;conocido;26-01-2023;mensual
Alejandro;Magno;M;27;Paraguay;Coanil;conciencia social;17-07-2023;mensual
Pascal;Ortiz;M;56;Bolivia;Aldeas Infantiles SOS Chile;ayuda comunitaria;08-03-2023;anual
Josefa;Saez;F;68;Chile;Fundación Crescendo;responsabilidad empresarial;20-12-2023;única
Vicente;Baeza;M;57;Argentina;WWF Chile;experiencia personal;03-01-2024;trimestral
Benjamin;Saez;M;60;Colombia;DKMS Chile;conocido;02-05-2023;anual
Bastian;Arcaya;M;42;México;Aldeas Infantiles SOS Chile;responsabilidad empresarial;03-05-2023;mensual
Fermina;Jofre;F;35;Perú;Aldeas Infantiles SOS Chile;experiencia personal;04-05-2023;mensual
Pedro;Pascal;M;27;Ecuador;Aldeas Infantiles SOS Chile;conocido;05-05-2023;mensual
Tomás;Muñoz;M;37;Chile;DKMS Chile;ayuda comunitaria;11-08-2023;trimestral
Valentina;Castillo;F;42;Argentina;WWF Chile;conciencia social;19-01-2024;mensual
Joaquín;Vera;M;51;Perú;Aldeas Infantiles SOS Chile;experiencia personal;07-09-2022;única
Josefa;Paredes;F;28;México;Fundación Sonrisas;responsabilidad empresarial;03-11-2023;mensual
Benjamín;Navarro;M;63;Colombia;Coanil;conocido;21-05-2023;anual
Florencia;Riquelme;F;36;Venezuela;Fundación Crescendo;ayuda comunitaria;15-12-2023;única
Matías;Gallardo;M;49;Argentina;DKMS Chile;conciencia social;02-03-2024;mensual
Lucía;Ibáñez;F;31;Chile;WWF Chile;experiencia personal;18-10-2022;trimestral
Santiago;Carrasco;M;45;Perú;Coanil;conocido;28-12-2022;mensual
Martina;Sepúlveda;F;54;Chile;Fundación Sonrisas;responsabilidad empresarial;09-06-2023;anual
Yumiko;Weinhage;F;46;España;Aldeas Infantiles SOS Chile;ayuda comunitaria;22-07-2023;anual
Richard;Graf;M;37;Francia;Coanil;conciencia social;25-10-2023;única
Emmy;Pires;F;65;Australia;WWF Chile;ayuda comunitaria;26-11-2023;única
Eduardo;Terry;M;30;Estados Unidos;Aldeas Infantiles SOS Chile;experiencia personal;10-10-2024;trimestral
Sayuri;Leblanc;F;51;Estados Unidos;WWF Chile;conocido;05-07-2023;única
Tillmann;Mendes;M;35;India;Aldeas Infantiles SOS Chile;experiencia personal;09-07-2023;trimestral
Juliette;Suzuki;F;36;Alemania;Coanil;conciencia social;04-02-2024;anual
Marcantonio;Linke;M;22;Alemania;WWF Chile;experiencia personal;10-12-2023;mensual
Paulo;Kaster;M;63;India;DKMS Chile;experiencia personal;02-04-2024;mensual
Matilda;Juarez;F;37;Brasil;Coanil;responsabilidad empresarial;24-09-2023;mensual
Pedro;Miller;M;18;Alemania;DKMS Chile;responsabilidad empresarial;02-01-2024;mensual
Kana;Turpin;F;64;Francia;DKMS Chile;responsabilidad empresarial;24-03-2024;anual
Isabelle;Sanchez;F;35;Australia;Fundación Sonrisas;experiencia personal;01-05-2025;mensual
Momoko;Conceicao;F;54;Italia;Coanil;ayuda comunitaria;02-07-2023;anual
Hannah;Nakamura;F;39;Japon;DKMS Chile;experiencia personal;26-10-2023;única
Minoru;Castro;M;33;Alemania;Aldeas Infantiles SOS Chile;conocido;05-04-2025;anual
Naoto;Ebert;M;71;Australia;Fundación Crescendo;responsabilidad empresarial;01-04-2025;mensual
Penelope;Murakami;F;33;Estados Unidos;Fundación Crescendo;conciencia social;09-06-2024;anual
Naoko;Allen;F;44;Alemania;Coanil;experiencia personal;17-07-2024;trimestral
Davi;Pinto;M;43;Japon;DKMS Chile;conciencia social;18-08-2024;trimestral
Raul;Perez;M;26;Estados Unidos;DKMS Chile;conciencia social;30-11-2023;única
Christelle;Allain;F;65;Alemania;Coanil;conocido;21-04-2025;anual
Edward;Reilly;M;29;Japon;Fundación Sonrisas;conciencia social;15-06-2024;mensual
Gian;Bourgeois;M;75;Canada;Fundación Sonrisas;conciencia social;18-12-2023;mensual
Gregory;Dussen;M;40;Japon;Coanil;experiencia personal;08-09-2024;única
Jessica;Sales;F;37;Brasil;Fundación Crescendo;experiencia personal;26-03-2024;anual
Isis;Miles;F;75;Francia;Fundación Sonrisas;conocido;22-05-2023;anual
Marcus;Ramos;M;73;Canada;Aldeas Infantiles SOS Chile;experiencia personal;31-08-2023;anual
Miki;Williamson;F;56;Italia;Coanil;experiencia personal;02-03-2024;única
Marliese;Caldeira;F;39;India;WWF Chile;conciencia social;02-07-2024;anual
